"","ID","Genotype_rec","Genotype","CMD","DMC","Year","Institutional.source.of.this.variety","Pedigree","CIAT.related","CMD.Resistance","Dry.matter.content..in...","X.1","MATINH","ID.y","X","IDHO","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","M4B12A1_C0A","M4B12A1_C0B","M4B12A1_C0C","M4B12A1_C0D","M4B12A2_C1","M4B12A2_C1A","M4B12A2_C1A_GHIRO","M4B12A3_TENTR","M4B12A3_C2","M4B12A3_C3","M4B12A3_C4","M4B12A3_C5","M4B12A3_C6","M4B12A3_C6_GHIRO","M4B12A3_C7","M4B12A3_C8","M4B12A3_C91","M4B12A3_C92","M4B12A3_C93","M4B12A3_C94","M4B12A3_C95","M4B12A3_C10D","M4B12A3_C10M","M4B12A4_C1","M4B12A4_KD","M4B12A4_VD","M4B12A1_MA","M4B12A1_C1","M4B12A1_C1_GHIRO","M4B12A1_C2","M4B12A1_C3","M4B12A1_C4","M4B12A1_C5","M4B12A1_C6","Province_name","Region"
"1","10","Dịa phương","sắn nếp/giống địa phương",FALSE,FALSE,NA,NA,NA,"No",NA,NA,353,26,"26-248-8914019011",1428,8914019011,248,8914,19,11,4,1,NA,NA,NA,1,NA,"","ĐẤT VƯỜN",1,1,"sắn nếp",1,6,"",15,2,1,2,1,2,1,10,11,NA,NA,NA,1,4,"","",NA,NA,NA,3000,"Vinh Phuc","RRD"
"2","1002","KM140","KM140",FALSE,TRUE,13,"IAS","KM 36 x KM98-1","Yes","No",38.5,660,62,"62-613-23455005010",1573,23455005010,613,23455,5,10,4,1,2,2,2,1,1,"","VÁC Y NHÔNG 1",1,1,"km140",2,2,"",2,1,1,1,1,1,1,17,11,NA,NA,NA,1,1,"","nhà máy mỳ Kon rẫy",23488,5,NA,23000,"Kon Tum","Central Highlands"
"3","1003","Dịa phương","sắn địa phương",TRUE,TRUE,NA,NA,NA,"No",NA,NA,624,62,"62-610-23350006001",283,23350006001,610,23350,6,1,3,1,2,2,2,1,1,"","THỬA 1",1,1,"sắn địa phương",1,6,"",8,2,1,1,1,2,1,23,8,NA,NA,NA,1,2,"","phương hoa",23371,8,NA,80000,"Kon Tum","Central Highlands"
"4","1005","KM140","KM140",FALSE,TRUE,13,"IAS","KM 36 x KM98-1","Yes","No",38.5,653,62,"62-612-23443003002",297,23443003002,612,23443,3,2,3,1,2,2,2,1,1,"","SUỐI ĐĂK MƠ",2,1,"KM94",2,6,"",5,2,1,1,1,1,1,13,8,NA,NA,NA,1,3,"","Nhà máy tinh bột sắn Đăk Tô",23437,10,NA,93600,"Kon Tum","Central Highlands"
"5","1006","KM140","KM140",FALSE,TRUE,13,"IAS","KM 36 x KM98-1","Yes","No",38.5,651,62,"62-612-23437001010",1553,23437001010,612,23437,1,10,4,1,2,2,2,1,1,"","CÁNH ĐỒNG THÔN 5",1,1,"cao sản",1,6,"",8,2,1,1,1,1,1,19,11,NA,NA,NA,1,1,"","Nhà máy chế biến tinh bột sắn Đăk Tô",23437,8,NA,36000,"Kon Tum","Central Highlands"
"6","1007","KM94","KM94/KU50",FALSE,TRUE,28,"Kassetsart University/IAS","Rayong1 x Rayong90","Yes","No",40.5,627,62,"62-610-23353005007",1160,23353005007,610,23353,5,7,1,1,2,2,2,1,NA,NA,"THỬA 1",1,1,"km98-5",1,3,NA,5,2,1,1,1,1,1,7,3,NA,NA,NA,1,2,NA,"nhà máy phương hoa",23371,6,NA,90000,"Kon Tum","Central Highlands"
"7","1008","KM140","KM140",FALSE,TRUE,13,"IAS","KM 36 x KM98-1","Yes","No",38.5,621,62,"62-608-23320001001",1534,23320001001,608,23320,1,1,4,1,2,2,2,1,NA,"","THỬA ĐẤT 1",1,1,"km94",2,2,"",7,2,1,1,1,1,1,10,11,NA,NA,NA,1,1,"","công ty tnhh tinh bột sắn Kon tum",23545,8,NA,95000,"Kon Tum","Central Highlands"
"8","1010","Cao San","Cao sản",TRUE,TRUE,NA,NA,NA,"No",NA,NA,640,62,"62-611-23395004011",773,23395004011,611,23395,4,11,2,1,2,2,2,1,NA,NA,"CÁNH ĐỒNG THÔN BẮC PHONG",1,1,"km95",2,5,NA,4,2,1,2,1,2,1,19,5,NA,NA,NA,1,3,NA,"nhà máy tinh bột sắn ngọc hồi",23386,5,NA,20000,"Kon Tum","Central Highlands"
"9","1011","KM140","KM140",FALSE,TRUE,13,"IAS","KM 36 x KM98-1","Yes","No",38.5,631,62,"62-610-23374007002",759,23374007002,610,23374,7,2,2,1,2,2,2,1,NA,NA,"THỬA 1",1,1,"giống địa phương",1,6,NA,5,2,1,1,1,1,1,13,5,NA,NA,NA,1,2,NA,"nhà máy phương hoa",23371,8,NA,90000,"Kon Tum","Central Highlands"
"10","1012","HL-S11","HL-S11",FALSE,TRUE,8,"IAS","SM937-26 x KM60","Yes","Yes",42,747,64,"64-639-23983012009",393,23983012009,639,23983,12,9,3,1,2,2,2,1,NA,"","BRIÊNG",1,1,"cao sản",1,5,"",4,2,1,1,1,1,1,17,8,NA,NA,NA,1,1,"","99",23983,4,NA,15000,"Gia lai","Central Highlands"
"11","1014","Unknown","",FALSE,TRUE,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1016","Cao San","cao sản",FALSE,FALSE,NA,NA,NA,"No",NA,NA,709,64,"64-632-23888002013",1203,23888002013,632,23888,2,13,1,1,2,2,2,1,NA,NA,"LÀNG  K L Ã",1,1,"cao sản",2,6,NA,3,2,1,1,1,1,1,27,2,NA,NA,NA,1,1,NA,"99",23563,3,NA,70000,"Gia lai","Central Highlands"
"13","1017","Cao San","mỳ cao sản",FALSE,TRUE,NA,NA,NA,"No",NA,NA,697,64,"64-629-23800013002",335,23800013002,629,23800,13,2,3,1,2,2,2,1,NA,"","CÁNH ĐỒNG GLOM",3,1,"mỳ cao sản",1,6,"",6,2,1,1,1,1,1,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gia lai","Central Highlands"
"14","1018","KM94","KM94/KU50",FALSE,TRUE,28,"Kassetsart University/IAS","Rayong1 x Rayong90","Yes","No",40.5,701,64,"64-630-23824014001",339,23824014001,630,23824,14,1,3,1,2,2,2,1,NA,"","M1",1,1,"k94",1,5,"",3,2,1,2,1,2,1,11,8,NA,NA,NA,1,1,"","99",23633,1,NA,24200,"Gia lai","Central Highlands"
"15","1019","KM94","KM94/KU50",FALSE,TRUE,28,"Kassetsart University/IAS","Rayong1 x Rayong90","Yes","No",40.5,729,64,"64-637-24112006001",356,24112006001,637,24112,6,1,3,1,2,2,2,1,1,"","THỬA 2",2,1,"KM98.5",2,6,"",2,2,1,1,1,1,1,19,8,NA,NA,NA,1,2,"","Nhà máy tinh bột sắn Gia Lai",24076,3,NA,182160,"Gia lai","Central Highlands"
"16","1020","KM419","KM419",FALSE,TRUE,7,"TUAF","BKA900 x (KM98-5 x KM98-5","No","No",NA,728,64,"64-637-24091004013",1605,24091004013,637,24091,4,13,4,1,2,2,2,1,NA,"","RUỘNG 1",1,1,"KM140",2,6,"",8,2,1,2,2,2,1,22,11,NA,NA,NA,1,3,"","Nhà máy chế biến tinh bột sắn sắn gia lai",24076,5,NA,240000,"Gia lai","Central Highlands"
"17","1021","KM94","KM94/KU50",FALSE,TRUE,28,"Kassetsart University/IAS","Rayong1 x Rayong90","Yes","No",40.5,737,64,"64-637-24115003014",366,24115003014,637,24115,3,14,3,1,2,2,2,1,1,"","BUÔN JI",1,1,"KM94",99,6,"",2,2,1,2,1,1,1,14,8,NA,NA,NA,1,2,"","Nhà máy tinh bột sắn Gia Lai",24076,5,NA,27600,"Gia lai","Central Highlands"
"18","1022","KM60","KM60/R60/TAI8",FALSE,FALSE,28,"RFCRC","MCol 1684 x R 1","Yes","No",39.5,711,64,"64-632-23926004010",1205,23926004010,632,23926,4,10,1,1,2,2,2,1,NA,NA,"LÀNG HÁT",1,1,"cao sản",2,6,NA,4,2,1,1,1,1,1,4,3,NA,NA,NA,1,1,NA,"99",23563,4,NA,20000,"Gia lai","Central Highlands"
"19","1023","Other landraces","sắn đỏ",TRUE,FALSE,NA,NA,NA,"No",NA,NA,694,64,"64-627-23731006002",1579,23731006002,627,23731,6,2,4,1,2,2,2,1,NA,"","MẢNH 1",1,1,"sắn đỏ",1,5,"",5,2,1,1,1,1,1,9,11,NA,NA,NA,1,1,"","99",23728,8,NA,30500,"Gia lai","Central Highlands"
"20","1024","KM419","KM419",FALSE,TRUE,7,"TUAF","BKA900 x (KM98-5 x KM98-5","No","No",NA,726,64,"64-637-24091004006",1600,24091004006,637,24091,4,6,4,1,2,2,2,1,1,"","RUỘNG 1",1,1,"KM98-5",2,6,"",10,2,2,2,2,2,1,21,11,NA,NA,NA,1,1,"","Nhà máy tinh  bột sắn gia lai",24076,3,NA,36800,"Gia lai","Central Highlands"
"21","1025","KM94","KM94/KU50",FALSE,TRUE,28,"Kassetsart University/IAS","Rayong1 x Rayong90","Yes","No",40.5,702,64,"64-630-23824014005",340,23824014005,630,23824,14,5,3,2,2,2,1,1,NA,"","M1",1,1,"giống địa phương",1,6,"",1,2,2,2,1,2,1,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gia lai","Central Highlands"
"22","1026","Other landraces","sắn đỏ",TRUE,FALSE,NA,NA,NA,"No",NA,NA,749,64,"64-627-23731006011",1585,23731006011,627,23731,6,11,4,1,2,2,2,1,NA,"","MẢNH 2",2,1,"sắn đỏ",1,5,"",5,2,1,1,1,1,1,14,11,NA,NA,NA,1,1,"","99",23728,5,NA,53550,"Gia lai","Central Highlands"
"23","1027","HL-S11","HL-S11",FALSE,TRUE,8,"IAS","SM937-26 x KM60","Yes","Yes",42,725,64,"64-637-24091004004",1598,24091004004,637,24091,4,4,4,1,2,2,2,1,NA,"","MẢNH 1",1,1,"KM140",2,6,"",3,2,1,2,1,1,2,13,11,NA,NA,NA,1,2,"","Nhà máy tinh bột sắn Phú Túc",24076,5,NA,252560,"Gia lai","Central Highlands"
"24","1028","KM94","KM94/KU50",FALSE,TRUE,28,"Kassetsart University/IAS","Rayong1 x Rayong90","Yes","No",40.5,716,64,"64-632-23932001014",814,23932001014,632,23932,1,14,2,1,2,2,2,1,NA,NA,"PĂC PÓ",1,1,"cao sản",2,2,NA,4,2,1,1,1,1,1,16,5,NA,NA,NA,1,1,NA,"99",23563,6,NA,4e+05,"Gia lai","Central Highlands"
"25","1028","KM94","KM94/KU50",FALSE,TRUE,28,"Kassetsart University/IAS","Rayong1 x Rayong90","Yes","No",40.5,714,64,"64-632-23932001012",812,23932001012,632,23932,1,12,2,1,2,2,2,1,NA,NA,"PẮC PÓ",1,1,"cao sản",2,2,NA,4,2,1,1,1,1,1,17,5,NA,NA,NA,1,1,NA,"99",23563,4,NA,350000,"Gia lai","Central Highlands"
"26","1030","Other landraces","sắn đỏ",TRUE,FALSE,NA,NA,NA,"No",NA,NA,693,64,"64-627-23731006010",1584,23731006010,627,23731,6,10,4,1,2,2,2,1,NA,"","MẢNH 1",1,1,"mỳ đỏ",2,5,"",3,2,1,1,1,1,1,15,11,NA,NA,NA,1,1,"","99",23731,5,NA,20000,"Gia lai","Central Highlands"
"27","1031","KM140","KM140",FALSE,TRUE,13,"IAS","KM 36 x KM98-1","Yes","No",38.5,690,64,"64-625-23638030014",1578,23638030014,625,23638,30,14,4,1,2,2,2,1,NA,"","RẪY",1,1,"lai tai xanh",2,3,"",2,2,2,2,2,2,1,9,11,NA,NA,NA,1,2,"","Cúc Phàn",23638,1,NA,30000,"Gia lai","Central Highlands"
"28","1032","Cao San","mỳ cao sản",FALSE,TRUE,NA,NA,NA,"No",NA,NA,699,64,"64-629-23800013007",336,23800013007,629,23800,13,7,3,1,2,2,2,1,NA,"","CÁNH ĐỒNG ANGUL",1,1,"mỳ cao sản",1,6,"",5,2,1,1,1,1,1,17,8,NA,NA,NA,1,1,"","99",23800,2,NA,7900,"Gia lai","Central Highlands"
"29","1035","KM140","KM140",FALSE,TRUE,13,"IAS","KM 36 x KM98-1","Yes","No",38.5,734,64,"64-637-24115003005",370,24115003005,637,24115,3,5,3,1,2,2,2,1,NA,"","ĐẤT RẪY",2,1,"KM98_5",2,6,"",1,2,1,1,1,1,2,13,8,NA,NA,NA,1,2,"","Nhà máy tinh bột sắn Gia Lai",24076,3,NA,71070,"Gia lai","Central Highlands"
"30","1037","HL-S11","HL-S11",FALSE,TRUE,8,"IAS","SM937-26 x KM60","Yes","Yes",42,727,64,"64-637-24091004011",1603,24091004011,637,24091,4,11,4,1,2,2,2,1,NA,"","ĐÁM 1",1,1,"km140",2,3,"",2,2,1,1,1,1,2,14,11,NA,NA,NA,1,3,"","Công ty  chế biến nông lâm sản đường Vạn Phát",24106,3,NA,9520000,"Gia lai","Central Highlands"
"31","1039","KM60","KM60/R60/TAI8",FALSE,FALSE,28,"RFCRC","MCol 1684 x R 1","Yes","No",39.5,708,64,"64-632-23888002002",1202,23888002002,632,23888,2,2,1,1,2,2,2,1,NA,NA,"LÀNG KLĂ",1,1,"cao sản",2,6,NA,5,2,1,1,1,1,1,27,2,NA,NA,NA,1,1,NA,"99",23563,5,NA,80000,"Gia lai","Central Highlands"
"32","104","KM57","KM57_VNM8",TRUE,TRUE,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","1040","Other landraces","sắn đồng nai",FALSE,TRUE,NA,NA,NA,"No",NA,NA,735,64,"64-637-24115003008",365,24115003008,637,24115,3,8,3,1,2,2,2,1,1,"","RUỘNG 1",1,1,"KM94",1,6,"",10,2,2,2,1,2,1,14,8,NA,NA,NA,1,2,"","nhà máy tinh  bột sắn gia lai",24076,7,NA,39100,"Gia lai","Central Highlands"
"34","1042","KM94","KM94/KU50",FALSE,TRUE,28,"Kassetsart University/IAS","Rayong1 x Rayong90","Yes","No",40.5,738,64,"64-637-24115003015",374,24115003015,637,24115,3,15,3,1,2,2,2,1,1,"","RUỘNG 1",1,2,"HN3",2,6,"",1,2,1,1,1,2,2,14,8,NA,NA,NA,1,2,"","nhà máy tinh  bột sắn gia lai",24076,10,NA,46200,"Gia lai","Central Highlands"
"35","1043","VNM1","VNM1",FALSE,FALSE,NA,NA,NA,"No",NA,NA,710,64,"64-632-23914002004",1204,23914002004,632,23914,2,4,1,1,2,2,2,1,2,NA,"VƯỜN SẮN",1,1,"Cao sản",1,6,NA,2,2,1,2,1,1,1,18,2,NA,NA,NA,1,1,NA,"cơ sở thứ mua Hồng Thọ",23887,3,NA,6000,"Gia lai","Central Highlands"
"36","1044","KM140","KM140",FALSE,TRUE,13,"IAS","KM 36 x KM98-1","Yes","No",38.5,745,64,"64-639-23983012003",392,23983012003,639,23983,12,3,3,1,2,2,2,1,NA,"","BRIÊNG",1,1,"cao sản",1,3,"",1,2,1,1,1,1,1,15,8,NA,NA,NA,1,1,"","99",23983,5,NA,15000,"Gia lai","Central Highlands"
"37","1045","Other landraces","sắn đỏ",TRUE,FALSE,NA,NA,NA,"No",NA,NA,692,64,"64-627-23731006005",1581,23731006005,627,23731,6,5,4,1,2,2,2,1,NA,"","MẢNH 1",1,1,"sắn đỏ",1,5,"",6,2,1,1,1,1,1,2,11,NA,NA,NA,1,1,"","99",23731,2,NA,16800,"Gia lai","Central Highlands"
"38","1046","KM419","KM419",FALSE,TRUE,7,"TUAF","BKA900 x (KM98-5 x KM98-5","No","No",NA,733,64,"64-637-24112006014",364,24112006014,637,24112,6,14,3,1,2,2,2,1,1,"","RUỘNG 1",1,1,"KM 98-5",1,6,"",5,2,2,2,1,2,2,20,8,NA,NA,NA,1,2,"","Nhà máy tinh bột sắn gia lai",24076,5,NA,41800,"Gia lai","Central Highlands"
"39","1048","KM94","KM94/KU50",FALSE,TRUE,28,"Kassetsart University/IAS","Rayong1 x Rayong90","Yes","No",40.5,706,64,"64-630-23845002007",349,23845002007,630,23845,2,7,3,1,2,2,2,1,NA,"","1",1,1,"k94",1,6,"",3,2,1,1,1,2,1,7,8,NA,NA,NA,1,2,"","Công ty TNHH 1 TV Bột mỳ an khê gia lai",23633,3,NA,110000,"Gia lai","Central Highlands"
"40","1049","KM94","KM94/KU50",FALSE,TRUE,28,"Kassetsart University/IAS","Rayong1 x Rayong90","Yes","No",40.5,713,64,"64-632-23932001006",811,23932001006,632,23932,1,6,2,1,2,2,2,1,NA,NA,"PĂC PÓ",1,1,"cao sản",2,2,NA,3,2,1,1,1,1,1,12,5,NA,NA,NA,1,1,NA,"99",23563,3,NA,120000,"Gia lai","Central Highlands"
"41","105","Other landraces","San trang",TRUE,TRUE,NA,NA,NA,"No",NA,NA,44,6,"6-60-1858004012",435,1858004012,60,1858,4,12,2,2,2,2,1,1,NA,NA,"NẶM SAM",1,1,"mì kè",1,6,NA,2,2,2,2,2,2,2,25,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bac Can","NMMA"
"42","1050","KM94","KM94/KU50",FALSE,TRUE,28,"Kassetsart University/IAS","Rayong1 x Rayong90","Yes","No",40.5,740,64,"64-638-24060012008",381,24060012008,638,24060,12,8,3,2,2,1,2,1,NA,"","SẮN TRÊN NƯƠNG",1,1,"KM94",1,6,"",7,2,1,1,1,1,1,16,8,NA,NA,NA,3,1,"","99",24060,7,NA,5000,"Gia lai","Central Highlands"
"43","1051","KM419","KM419",FALSE,TRUE,7,"TUAF","BKA900 x (KM98-5 x KM98-5","No","No",NA,730,64,"64-637-24112006003",353,24112006003,637,24112,6,3,3,1,2,2,2,1,NA,"","GẦN NÚI",1,2,"KM140",2,6,"",2,2,1,1,2,2,1,15,8,NA,NA,NA,1,2,"","nhà máy tinh bột sắn gia lai",24076,3,NA,60400,"Gia lai","Central Highlands"
"44","1053","Other landraces","sắn đỏ",TRUE,FALSE,NA,NA,NA,"No",NA,NA,695,64,"64-627-23731006015",1587,23731006015,627,23731,6,15,4,1,2,2,2,1,NA,"","MẢNH 1",1,1,"sắn đỏ",1,5,"",2,2,1,1,1,1,1,12,11,NA,NA,NA,1,1,"","99",23731,2,NA,26300,"Gia lai","Central Highlands"
"45","1054","Cao San","cao sản",TRUE,FALSE,NA,NA,NA,"No",NA,NA,739,64,"64-638-24060012003",382,24060012003,638,24060,12,3,3,2,2,2,1,1,1,"","RÃY TRÊN NÚI",1,1,"Cao sản",2,6,"",2,2,1,2,1,2,1,11,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gia lai","Central Highlands"
"46","1055","HL-S11","HL-S11",FALSE,TRUE,8,"IAS","SM937-26 x KM60","Yes","Yes",42,724,64,"64-637-24091004001",1597,24091004001,637,24091,4,1,4,1,2,2,2,1,NA,"","MẢNH 1",1,1,"KM140",2,6,"",3,2,1,2,1,1,2,14,11,NA,NA,NA,1,2,"","Nhà máy tinh bột sắn Gia Lai",24076,5,NA,118020,"Gia lai","Central Highlands"
"47","1056","KM94","KM94/KU50",FALSE,TRUE,28,"Kassetsart University/IAS","Rayong1 x Rayong90","Yes","No",40.5,703,64,"64-630-23824014007",343,23824014007,630,23824,14,7,3,1,2,2,2,1,NA,"","M1",1,1,"k94",1,6,"",2,2,1,2,1,2,1,9,8,NA,NA,NA,1,1,"","99",23620,3,NA,10000,"Gia lai","Central Highlands"
"48","1057","Unknown","",FALSE,FALSE,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1058","Cao San","mỳ cao sản",FALSE,TRUE,NA,NA,NA,"No",NA,NA,698,64,"64-629-23800013006",334,23800013006,629,23800,13,6,3,1,2,2,2,1,NA,"","CÁNH ĐỒNG LÀNG JOLONG",1,1,"mỳ cao sản",1,6,"",1,2,1,1,1,1,1,4,8,NA,NA,NA,1,1,"","99",23800,1,NA,8000,"Gia lai","Central Highlands"
"50","1059","KM94","KM94/KU50",FALSE,TRUE,28,"Kassetsart University/IAS","Rayong1 x Rayong90","Yes","No",40.5,715,64,"64-632-23932001013",813,23932001013,632,23932,1,13,2,1,2,2,2,1,NA,NA,"PẮC PÓ",1,1,"cao sản",2,2,NA,5,2,1,1,1,1,1,16,5,NA,NA,NA,1,1,NA,"99",23563,5,NA,1e+05,"Gia lai","Central Highlands"
"51","1060","KM94","k94",FALSE,FALSE,28,"Kassetsart University/IAS","Rayong1 x Rayong90","Yes","No",40.5,705,64,"64-630-23824014011",341,23824014011,630,23824,14,11,3,1,2,2,2,1,NA,"","M1",1,1,"k94",1,6,"",3,2,1,2,1,2,1,16,8,NA,NA,NA,1,1,"","99",23627,1,NA,5060,"Gia lai","Central Highlands"
"52","1061","Cao San","cao sẳn",FALSE,TRUE,NA,NA,NA,"No",NA,NA,722,64,"64-635-24031004012",1595,24031004012,635,24031,4,12,4,1,2,2,2,1,NA,"","SẮN",1,1,"mì cao sản",1,5,"",8,2,1,1,1,1,1,19,11,NA,NA,NA,1,1,"","99",24013,1,NA,20000,"Gia lai","Central Highlands"
"53","1061","Cao San","cao sẳn",FALSE,TRUE,NA,NA,NA,"No",NA,NA,721,64,"64-635-24031004011",1594,24031004011,635,24031,4,11,4,1,2,2,2,1,NA,"","SẮN",1,1,"cao sẳn",1,6,"",20,2,2,2,1,2,1,20,11,NA,NA,NA,1,1,"","99",24013,1,NA,33000,"Gia lai","Central Highlands"
"54","1061","Cao San","cao sẳn",FALSE,TRUE,NA,NA,NA,"No",NA,NA,723,64,"64-635-24031004014",1596,24031004014,635,24031,4,14,4,1,2,2,2,1,NA,"","SẮN",1,2,"HN3",1,6,"",20,2,2,2,1,2,1,24,11,NA,NA,NA,1,1,"","99",24013,2,NA,0,"Gia lai","Central Highlands"
"55","1063","KM94","KM94/KU50",FALSE,TRUE,28,"Kassetsart University/IAS","Rayong1 x Rayong90","Yes","No",40.5,742,64,"64-638-24060012013",383,24060012013,638,24060,12,13,3,2,2,1,2,1,NA,"","RẪY NƯƠNG",1,1,"km94",2,6,"",8,2,1,1,1,1,1,17,8,NA,NA,NA,3,1,"","99",24060,12,NA,25000,"Gia lai","Central Highlands"
"56","1064","Cao San","Cao San",TRUE,FALSE,NA,NA,NA,"No",NA,NA,744,64,"64-639-23983012001",385,23983012001,639,23983,12,1,3,1,2,2,2,1,NA,"","BRIÊNG",1,1,"cao sản",1,5,"",3,1,1,1,1,1,1,18,8,NA,NA,NA,1,1,"","99",23983,4,NA,22000,"Gia lai","Central Highlands"
"57","1065","KM94","KM94/KU50",FALSE,TRUE,28,"Kassetsart University/IAS","Rayong1 x Rayong90","Yes","No",40.5,731,64,"64-637-24112006012",362,24112006012,637,24112,6,12,3,1,2,2,2,1,1,"","RUỘNG1",1,1,"KM94",1,6,"",2,2,1,1,1,2,2,20,8,NA,NA,NA,1,2,"","Nhà máy tinh bột sắn gia lai",24076,5,NA,29900,"Gia lai","Central Highlands"
"58","1066","KM419","KM419",FALSE,TRUE,7,"TUAF","BKA900 x (KM98-5 x KM98-5","No","No",NA,732,64,"64-637-24112006013",363,24112006013,637,24112,6,13,3,1,2,2,2,1,1,"","RUỘNG 1",1,1,"KM98-5",1,6,"",3,2,2,2,2,2,2,20,8,NA,NA,NA,1,2,"","Nhà máy tinh bột sắn sắn gia lai",24076,6,NA,41800,"Gia lai","Central Highlands"
"59","1067","KM419","KM419",FALSE,TRUE,7,"TUAF","BKA900 x (KM98-5 x KM98-5","No","No",NA,696,64,"64-629-23800013001",332,23800013001,629,23800,13,1,3,1,2,2,2,1,NA,"","CÁNH ĐỒNG GLOM",3,1,"mỳ cao sản",1,6,"",5,2,1,1,1,1,1,14,8,NA,NA,NA,1,1,"","99",23800,2,NA,14600,"Gia lai","Central Highlands"
"60","1068","KM419","KM419",FALSE,TRUE,7,"TUAF","BKA900 x (KM98-5 x KM98-5","No","No",NA,700,64,"64-629-23800013011",333,23800013011,629,23800,13,11,3,1,2,2,2,1,NA,"","CÁNH ĐỒNG ATRA",2,1,"mỳ cao sản",1,6,"",5,2,1,1,1,1,1,7,8,NA,NA,NA,1,1,"","99",23800,3,NA,2170,"Gia lai","Central Highlands"
"61","1070","Other landraces","sắn đỏ",TRUE,FALSE,NA,NA,NA,"No",NA,NA,691,64,"64-627-23731006003",1580,23731006003,627,23731,6,3,4,1,2,2,2,1,NA,"","MẢNH 1",1,1,"sắn đỏ",1,5,"",2,2,1,1,1,1,1,5,11,NA,NA,NA,1,1,"","99",23731,3,NA,45000,"Gia lai","Central Highlands"
"62","1071","KM94","KM94/KU50",FALSE,TRUE,28,"Kassetsart University/IAS","Rayong1 x Rayong90","Yes","No",40.5,712,64,"64-632-23932001004",810,23932001004,632,23932,1,4,2,1,2,2,2,1,NA,NA,"PĂC PÓ",1,1,"cao sản",2,2,NA,4,2,1,1,1,1,1,15,5,NA,NA,NA,1,1,NA,"99",23563,4,NA,80000,"Gia lai","Central Highlands"
"63","1072","KM94","KM94/KU50",FALSE,TRUE,28,"Kassetsart University/IAS","Rayong1 x Rayong90","Yes","No",40.5,718,64,"64-635-24031004003",1590,24031004003,635,24031,4,3,4,1,2,2,2,1,NA,"","THỬA 1",1,1,"sắn KM98",1,6,"",5,2,2,1,1,2,1,6,11,NA,NA,NA,1,1,"","99",24031,12,NA,58000,"Gia lai","Central Highlands"
"64","1073","KM94","k94",FALSE,FALSE,28,"Kassetsart University/IAS","Rayong1 x Rayong90","Yes","No",40.5,704,64,"64-630-23824014010",342,23824014010,630,23824,14,10,3,2,2,2,1,1,NA,"","M1",1,1,"k94",1,6,"",3,2,1,1,1,2,1,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gia lai","Central Highlands"
"65","1074","KM140","km 140",FALSE,TRUE,13,"IAS","KM 36 x KM98-1","Yes","No",38.5,720,64,"64-635-24031004007",1593,24031004007,635,24031,4,7,4,1,2,2,2,1,NA,"","SẮN MÌ",1,1,"km 98",1,6,"",4,2,2,2,1,1,1,15,11,NA,NA,NA,1,1,"","99",24013,1,NA,60000,"Gia lai","Central Highlands"
"66","1074","KM140","km 140",FALSE,TRUE,13,"IAS","KM 36 x KM98-1","Yes","No",38.5,719,64,"64-635-24031004006",1592,24031004006,635,24031,4,6,4,1,2,2,2,1,NA,"","SẴN",1,1,"km 140",1,6,"",4,2,1,2,1,1,1,14,11,NA,NA,NA,1,1,"","99",24013,1,NA,18000,"Gia lai","Central Highlands"
"67","1075","Cao San","mỳ cao sản",FALSE,TRUE,NA,NA,NA,"No",NA,NA,707,64,"64-630-23845002011",346,23845002011,630,23845,2,11,3,1,2,2,2,1,NA,"","TNANG",1,1,"mỳ cao sản",2,2,"",4,2,1,1,1,2,1,16,8,NA,NA,NA,1,1,"","99",23633,3,NA,49200,"Gia lai","Central Highlands"
"68","1077","KM94","KM94/KU50",FALSE,TRUE,28,"Kassetsart University/IAS","Rayong1 x Rayong90","Yes","No",40.5,743,64,"64-638-24060012015",384,24060012015,638,24060,12,15,3,1,2,2,2,1,NA,"","RÃY TRÊN NÚI",1,1,"Cao sản",2,5,"",2,2,1,1,1,1,1,14,8,NA,NA,NA,1,1,"","99",23968,5,NA,109800,"Gia lai","Central Highlands"
