"","ID","Genotype_rec","Genotype","CMD","DMC","Year","Institutional.source.of.this.variety","Pedigree","CIAT.related","CMD.Resistance","Dry.matter.content..in...","X.1","MATINH","ID.y","X","IDHO","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","M4B12A1_C0A","M4B12A1_C0B","M4B12A1_C0C","M4B12A1_C0D","M4B12A2_C1","M4B12A2_C1A","M4B12A2_C1A_GHIRO","M4B12A3_TENTR","M4B12A3_C2","M4B12A3_C3","M4B12A3_C4","M4B12A3_C5","M4B12A3_C6","M4B12A3_C6_GHIRO","M4B12A3_C7","M4B12A3_C8","M4B12A3_C91","M4B12A3_C92","M4B12A3_C93","M4B12A3_C94","M4B12A3_C95","M4B12A3_C10D","M4B12A3_C10M","M4B12A4_C1","M4B12A4_KD","M4B12A4_VD","M4B12A1_MA","M4B12A1_C1","M4B12A1_C1_GHIRO","M4B12A1_C2","M4B12A1_C3","M4B12A1_C4","M4B12A1_C5","M4B12A1_C6","Province_name","Region"
"177","209","Cao San","cao sản",FALSE,TRUE,NA,NA,NA,"No",NA,NA,82,11,"11-101-3211003005",496,3211003005,101,3211,3,5,2,1,2,2,2,1,NA,NA,"NƯƠNG SẮN",1,1,"cao sản",2,6,NA,4,2,1,1,1,1,1,22,5,NA,NA,NA,1,1,NA,"99",3358,4,NA,3600,"Dien Bien","NMMA"
"178","21","Other landraces","sắn nếp",TRUE,TRUE,NA,NA,NA,"No",NA,NA,345,26,"26-247-8896001003",190,8896001003,247,8896,1,3,3,2,2,2,1,1,NA,"","ĐỒI CAO",1,1,"hà bắc",1,5,"",10,2,1,1,1,1,1,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vinh Phuc","RRD"
"179","210","Cao San","cao sản",FALSE,TRUE,NA,NA,NA,"No",NA,NA,94,11,"11-101-3211003003",494,3211003003,101,3211,3,3,2,1,2,2,2,1,2,NA,"NƯƠNG SẮN",1,1,"cao sản",2,6,NA,4,2,1,1,1,1,1,19,5,NA,NA,NA,1,1,NA,"99",3358,4,NA,7000,"Dien Bien","NMMA"
"180","211","KM98-5","KM98/CR63/TAI9",TRUE,TRUE,18,"IAS","Rayong 90  * KM 98-1","Yes","",NA,112,11,"11-96-3161006008",62,3161006008,96,3161,6,8,3,1,2,2,2,1,NA,"","M1",1,1,"sắn thường",1,6,"",3,2,2,2,1,2,1,17,8,NA,NA,NA,1,4,"","",NA,NA,NA,800,"Dien Bien","NMMA"
"181","212","KM98-5","KM98-5/BRA1305/ARG49",FALSE,FALSE,18,"IAS","Rayong 90  * KM 98-1","Yes","",NA,86,11,"11-101-3214008005",892,3214008005,101,3214,8,5,1,2,2,1,2,1,NA,NA,"NƯƠNG SẮN",1,1,"Địa phương",1,6,NA,2,2,2,1,2,2,1,25,2,NA,NA,NA,3,1,NA,"99",3358,1,NA,12000,"Dien Bien","NMMA"
"182","213","KM98-5","KM98/CR63/TAI9",TRUE,TRUE,18,"IAS","Rayong 90  * KM 98-1","Yes","",NA,110,11,"11-96-3161006004",63,3161006004,96,3161,6,4,3,1,2,2,2,1,NA,"","M1",1,1,"sắn thuờng",1,6,"",4,2,1,2,1,2,1,17,8,NA,NA,NA,1,2,"","99",3161,8,NA,600,"Dien Bien","NMMA"
"183","214","KM98-5","KM98-5/BRA1305/ARG49",FALSE,FALSE,18,"IAS","Rayong 90  * KM 98-1","Yes","",NA,122,11,"11-97-3202001004",483,3202001004,97,3202,1,4,2,1,2,2,2,1,NA,NA,"THỬA 1",1,1,"KM140",1,2,NA,7,2,2,2,1,2,1,10,5,NA,NA,NA,1,4,NA,NA,NA,NA,NA,1500,"Dien Bien","NMMA"
"184","215","Other landraces","sắn trắng",TRUE,TRUE,NA,NA,NA,"No",NA,NA,113,11,"11-96-3161006012",54,3161006012,96,3161,6,12,3,1,NA,NA,NA,1,NA,"","M1",1,1,"Sẵn Thường",1,6,"",2,2,2,2,1,2,1,15,8,NA,NA,NA,1,4,"","",NA,NA,NA,3120,"Dien Bien","NMMA"
"185","216","Cao San","cao sản",FALSE,TRUE,NA,NA,NA,"No",NA,NA,84,11,"11-101-3211003009",498,3211003009,101,3211,3,9,2,2,2,1,2,1,NA,NA,"THỬA 1",1,1,"sắn cao sản",2,5,NA,3,2,1,1,2,1,1,21,5,NA,NA,NA,3,1,NA,"99",3358,5,NA,22000,"Dien Bien","NMMA"
"186","219","Sắn tre","Sắn đỏ ( Sắn tre)",TRUE,TRUE,NA,NA,NA,"No",NA,NA,106,11,"11-96-3158003008",461,3158003008,96,3158,3,8,2,2,2,2,1,1,2,NA,"MẢNH 1",1,1,"sắn thường",1,7,"của gia đình để từ vụ trước",9,2,2,2,2,2,1,25,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dien Bien","NMMA"
