"IDHO","region","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","Expr1","Expr2","Expr3","Expr4","Expr6","Expr5","M4B111_C6","M4B111_C7","M4B111_C8","M4B111_C9","M4B111_C10","M4B111_C11","M4B111_C121","M4B111_C122","M4B111_C123","M4B111_C124","M4B111_C125","M4B111_C13","M4B111_C14","M4B112_C1","M4B113_C1","M4B113_C2","M4B113_C3","M4B113_C4","M4B113_C5","M4B113_C6","M4B113_C7","M4B113_C8","M4B113_C9","M4B113_C101","M4B113_C102","M4B113_C103","M4B113_C104","M4B113_C105","M4B113_C106","M4B113_C111","M4B113_C112","M4B113_C113","M4B113_C114","M4B113_C115","M4B113_C116","M4B113_C117","M4B113_C117GHIRO","M4B113_C121","M4B113_C122","M4B113_C123","M4B113_C124","M4B113_C125","M4B113_C131","M4B113_C132","M4B113_C133","M4B113_C134","M4B113_C135","M4B113_C14N","M4B113_C14T","M4B113_C16","KINHDO","VIDO","season","wt45"
"04435008005",2,"15","136","04435","008","005",3,"15","136","04435","008","005",3,1,0,NA,3,1,2,2,2,1,2,2,2,NA,1,1,"TRUNG TÂM",720,1,"chiêm hương",1,1,7,NA,2,1,1,2,1,2,2,2,2,1,2,2,2,"",2,2,2,1,2,NA,NA,NA,2,NA,7,3,"01041",104.6551294,21.8421243,1,629
"04435008006",2,"15","136","04435","008","006",3,"15","136","04435","008","006",3,1,0,NA,3,1,4,2,2,1,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,629
"04435008008",2,"15","136","04435","008","008",3,"15","136","04435","008","008",3,1,0,NA,3,1,4,2,2,1,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,629
"04435008009",2,"15","136","04435","008","009",3,"15","136","04435","008","009",3,1,0,NA,3,1,4,2,2,1,2,2,1,NA,1,2,"1",1440,1,"chiêm hương",2,1,7,NA,2,2,2,2,1,2,2,2,2,1,2,2,2,"",2,2,1,2,2,NA,NA,1,NA,NA,8,3,"00800",104.6949682,21.8725247,1,629
"04435008010",2,"15","136","04435","008","010",3,"15","136","04435","008","010",3,4,0,NA,3,1,3,2,2,1,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,629
"04435008011",2,"15","136","04435","008","011",3,"15","136","04435","008","011",3,1,0,NA,3,1,4,2,2,1,2,2,1,NA,1,2,"TRUNG TÂM",1260,1,"chiêm hương",2,1,7,NA,2,2,2,2,1,2,2,2,2,1,2,2,2,"",2,2,1,2,2,NA,NA,1,NA,NA,8,3,"00799",104.6552811,21.842362,1,629
"04435008012",2,"15","136","04435","008","012",3,"15","136","04435","008","012",3,1,0,NA,3,1,3,2,2,1,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,629
"04435008013",2,"15","136","04435","008","013",3,"15","136","04435","008","013",3,1,0,NA,3,1,4,2,2,1,2,2,1,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,629
"04435008014",2,"15","136","04435","008","014",3,"15","136","04435","008","014",3,1,0,NA,3,1,3,2,2,1,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,629
"04435008015",2,"15","136","04435","008","015",3,"15","136","04435","008","015",3,1,0,NA,3,1,5,2,2,1,2,2,1,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,629
"04453003001",2,"15","136","04453","003","001",6,"15","136","04453","003","001",6,1,0,NA,3,1,5,1,2,2,2,2,1,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,746
"04453003002",2,"15","136","04453","003","002",6,"15","136","04453","003","002",6,1,0,NA,3,1,5,1,2,2,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,746
"04453003003",2,"15","136","04453","003","003",6,"15","136","04453","003","003",6,1,0,NA,3,1,4,1,2,2,2,2,1,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,746
"04453003004",2,"15","136","04453","003","004",6,"15","136","04453","003","004",6,1,0,NA,3,1,4,2,2,1,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,746
"04453003005",2,"15","136","04453","003","005",6,"15","136","04453","003","005",6,1,0,NA,3,1,4,1,2,2,2,2,1,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,746
"04453003006",2,"15","136","04453","003","006",6,"15","136","04453","003","006",6,1,0,NA,3,1,3,2,2,1,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,746
"04453003007",2,"15","136","04453","003","007",6,"15","136","04453","003","007",6,1,0,NA,3,1,4,1,2,2,2,2,1,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,746
"04453003008",2,"15","136","04453","003","008",6,"15","136","04453","003","008",6,1,0,NA,3,1,5,1,2,2,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,746
"04453003009",2,"15","136","04453","003","009",6,"15","136","04453","003","009",6,1,0,NA,3,1,5,1,2,2,2,2,1,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,746
"04453003010",2,"15","136","04453","003","010",6,"15","136","04453","003","010",6,4,0,NA,3,1,4,1,2,2,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,746
"04453003011",2,"15","136","04453","003","011",6,"15","136","04453","003","011",6,1,0,NA,3,1,4,1,2,2,2,2,3,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,746
"04453003012",2,"15","136","04453","003","012",6,"15","136","04453","003","012",6,1,0,NA,3,1,5,1,2,2,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,746
"04453003013",2,"15","136","04453","003","013",6,"15","136","04453","003","013",6,1,0,NA,3,1,2,2,2,1,2,2,1,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,746
"04453003014",2,"15","136","04453","003","014",6,"15","136","04453","003","014",6,4,0,NA,3,1,4,1,2,2,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,746
"04453003016",2,"15","136","04453","003","016",6,"15","136","04453","003","016",6,1,0,NA,3,1,4,1,2,2,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,746
"04456003002",2,"15","137","04456","003","002",1,"15","137","04456","003","002",1,4,1,10,3,1,3,1,2,2,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,241
"04456003005",2,"15","137","04456","003","005",1,"15","137","04456","003","005",1,4,3,0,1,2,3,1,2,2,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,241
"04456003006",2,"15","137","04456","003","006",1,"15","137","04456","003","006",1,4,1,10,1,1,3,1,2,2,2,2,4,1,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,241
"04456003007",2,"15","137","04456","003","007",1,"15","137","04456","003","007",1,1,0,NA,1,2,3,1,2,2,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,241
"04456003008",2,"15","137","04456","003","008",1,"15","137","04456","003","008",1,4,1,10,3,1,3,1,2,2,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,241
"04456003009",2,"15","137","04456","003","009",1,"15","137","04456","003","009",1,1,0,NA,1,1,3,1,2,2,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,241
"04456003010",2,"15","137","04456","003","010",1,"15","137","04456","003","010",1,4,1,10,3,1,3,1,2,2,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,241
"04456003011",2,"15","137","04456","003","011",1,"15","137","04456","003","011",1,4,0,NA,1,1,2,1,2,2,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,241
"04456003012",2,"15","137","04456","003","012",1,"15","137","04456","003","012",1,4,1,10,3,1,3,1,2,2,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,241
"04456003013",2,"15","137","04456","003","013",1,"15","137","04456","003","013",1,4,0,NA,1,1,3,1,2,2,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,241
"04456003014",2,"15","137","04456","003","014",1,"15","137","04456","003","014",1,4,1,10,3,1,3,1,2,2,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,241
"04501005001",2,"15","138","04501","005","001",8,"15","138","04501","005","001",8,1,1,4,1,1,2,1,2,2,2,2,5,1,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,346
"04501005002",2,"15","138","04501","005","002",8,"15","138","04501","005","002",8,1,1,3,1,1,4,1,2,2,2,2,5,6,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,346
"04501005003",2,"15","138","04501","005","003",8,"15","138","04501","005","003",8,1,1,4,1,1,4,1,2,2,2,2,2,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,346
"04501005005",2,"15","138","04501","005","005",8,"15","138","04501","005","005",8,1,2,5,1,1,3,1,2,2,2,2,1,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,346
"04501005006",2,"15","138","04501","005","006",8,"15","138","04501","005","006",8,4,1,5,3,1,4,1,2,2,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,346
"04501005007",2,"15","138","04501","005","007",8,"15","138","04501","005","007",8,1,3,6,1,1,4,1,2,2,2,2,2,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,346
"04501005011",2,"15","138","04501","005","011",8,"15","138","04501","005","011",8,4,2,5,1,1,2,2,2,1,2,2,1,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,346
"04501005012",2,"15","138","04501","005","012",8,"15","138","04501","005","012",8,5,2,5,1,1,2,2,2,1,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,346
"04501005013",2,"15","138","04501","005","013",8,"15","138","04501","005","013",8,4,1,5,3,1,2,1,2,2,2,2,1,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,346
"04504003001",2,"15","138","04504","003","001",5,"15","138","04504","003","001",5,5,1,7,1,1,10,1,2,2,2,2,5,6,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,292
"04531002003",2,"15","138","04531","002","003",10,"15","138","04531","002","003",10,1,4,5,1,1,4,1,2,2,2,2,1,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,611
"04531002004",2,"15","138","04531","002","004",10,"15","138","04531","002","004",10,4,1,4,1,1,2,1,2,2,2,2,2,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,611
"04531002005",2,"15","138","04531","002","005",10,"15","138","04531","002","005",10,5,2,5,1,1,2,2,2,1,2,2,1,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,611
"04531002006",2,"15","138","04531","002","006",10,"15","138","04531","002","006",10,1,2,5,1,1,2,2,2,1,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,611
