"","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","STT","M4B11A3_C3","M4B11A3_C41","M4B11A3_C42","M4B11A3_C43","M4B11A3_C499","M4B11A3_C5","M4B11A3_C6","M4B11A3_C8","KYDIEUTRA"
"69","04","042","01318","009","006","01318009006",0,"4;",1,2,2,2,8,1,NA,1
"70","04","042","01318","009","007","01318009007",0,"4;",1,2,2,2,8,1,NA,1
"71","04","042","01318","009","012","01318009012",0,"4;",2,1,2,2,6,1,NA,1
"72","04","042","01318","009","013","01318009013",0,"4;",2,1,2,2,6,2,NA,1
"73","04","042","01318","009","014","01318009014",0,"4;",2,1,2,2,3,2,NA,1
"74","04","042","01318","009","015","01318009015",0,"4;",2,1,2,2,4,1,NA,1
"75","04","043","01321","011","006","01321011006",0,"3;",2,1,2,2,9,0,NA,1
"76","04","043","01321","011","008","01321011008",0,"4;6;",2,1,2,2,15,1,NA,1
"77","04","043","01321","011","011","01321011011",0,"17;",2,1,2,2,10,1,NA,1
"78","04","043","01321","011","013","01321011013",0,"3;",2,1,2,2,9,1,NA,1
"79","04","047","01498","004","001","01498004001",0,"4;",1,2,2,2,0,1,NA,1
"80","04","047","01498","004","002","01498004002",0,"2;",1,2,2,2,0,1,NA,1
"81","04","047","01498","004","012","01498004012",0,"1;",1,2,2,2,0,1,NA,1
"82","04","048","01537","004","001","01537004001",0,"4;",1,2,2,2,5,1,NA,1
"83","04","048","01537","004","002","01537004002",0,"4;",1,2,2,2,3,1,NA,1
"84","04","048","01537","004","003","01537004003",0,"4;",1,2,2,2,5,1,NA,1
"85","04","048","01537","004","005","01537004005",0,"4;",1,2,2,2,5,2,NA,1
"86","04","048","01537","004","006","01537004006",0,"4;",2,1,2,2,4,1,NA,1
"87","04","048","01537","004","010","01537004010",0,"4;",1,1,2,2,2,1,NA,1
"88","04","048","01537","004","011","01537004011",0,"4;",1,2,2,2,4,1,NA,1
"89","04","048","01537","004","013","01537004013",0,"4;",1,2,2,2,6,2,NA,1
"90","04","048","01537","004","014","01537004014",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"91","04","048","01537","004","015","01537004015",0,"4;",1,2,2,2,5,2,NA,1
"92","04","051","01666","003","001","01666003001",0,"1;",2,1,2,2,2,1,NA,1
"93","04","051","01666","003","002","01666003002",1,NA,1,1,2,NA,0,NA,NA,1
"94","04","051","01666","003","003","01666003003",0,"4;",1,2,2,2,5,2,NA,1
"95","04","051","01666","003","003","01666003003",1,"2;7;",1,1,2,2,9,1,NA,1
"96","04","051","01666","003","004","01666003004",0,"4;",2,1,2,2,6,2,NA,1
"97","04","051","01666","003","004","01666003004",1,"8;",2,1,2,2,8,1,NA,1
"98","04","051","01666","003","005","01666003005",0,"4;",2,1,2,2,3,1,NA,1
"99","04","051","01666","003","005","01666003005",1,"6;",2,1,2,2,5,2,NA,1
"100","04","051","01666","003","006","01666003006",1,NA,2,2,2,NA,NA,NA,NA,1
"101","04","051","01666","003","007","01666003007",0,"7;",1,1,2,2,3,2,NA,1
"102","04","051","01666","003","007","01666003007",1,"2;4;",1,1,2,2,9,2,NA,1
"103","04","051","01666","003","008","01666003008",0,"4;",2,1,2,2,6,1,NA,1
"104","04","051","01666","003","008","01666003008",1,"8;",2,1,2,2,8,1,NA,1
"105","04","051","01666","003","009","01666003009",0,"1;",2,1,2,2,2,1,NA,1
"106","04","051","01666","003","010","01666003010",1,NA,1,1,2,NA,10,1,NA,1
"107","04","051","01666","003","011","01666003011",0,"7;",1,1,2,2,3,2,NA,1
"108","04","051","01666","003","011","01666003011",1,"4;",1,1,2,2,9,1,NA,1
"109","04","051","01666","003","013","01666003013",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"110","04","051","01666","003","014","01666003014",0,"7;",1,1,2,2,3,2,NA,1
"111","04","051","01666","003","014","01666003014",1,"2;6;12;",1,1,2,2,9,2,NA,1
"112","04","051","01666","003","015","01666003015",0,"8;",2,1,2,2,6,2,NA,1
"113","04","051","01666","003","015","01666003015",1,"4;",2,1,2,2,8,1,NA,1
"114","04","051","01699","004","001","01699004001",0,"4;",2,1,2,2,4,1,NA,1
"115","04","051","01699","004","002","01699004002",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"116","04","051","01699","004","004","01699004004",0,"8;",2,1,2,2,7,1,NA,1
"117","04","051","01699","004","004","01699004004",1,"4;",2,1,2,2,9,1,NA,1
"118","04","051","01699","004","005","01699004005",0,"7;",2,1,2,2,4,1,NA,1
"119","04","051","01699","004","006","01699004006",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"120","04","051","01699","004","007","01699004007",0,"4;6;",1,1,2,2,5,1,NA,1
"121","04","051","01699","004","007","01699004007",1,"12;",1,2,2,2,11,1,NA,1
"122","04","051","01699","004","008","01699004008",0,"8;",2,1,2,2,5,1,NA,1
"123","04","051","01699","004","008","01699004008",1,"4;",2,1,2,2,7,1,NA,1
"124","04","051","01699","004","009","01699004009",0,"4;",2,1,2,2,5,1,NA,1
"125","04","051","01699","004","009","01699004009",1,"7;",2,1,2,2,9,1,NA,1
"126","04","051","01699","004","010","01699004010",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"127","04","040","01705","013","001","01705013001",0,"20;",1,1,2,2,6,1,NA,1
"128","04","040","01705","013","002","01705013002",0,"23;",1,1,2,2,6,1,NA,1
"129","04","040","01705","013","002","01705013002",1,"4;8;9;12;26;",1,1,2,2,10,1,NA,1
"130","04","040","01705","013","003","01705013003",0,"2;4;5;",2,1,2,2,2,2,NA,1
"131","04","040","01705","013","003","01705013003",1,"2;3;4;",2,1,2,2,3,2,NA,1
"132","04","040","01705","013","004","01705013004",0,"2;3;6;7;",2,1,2,2,1,2,NA,1
"133","04","040","01705","013","005","01705013005",0,"2;3;4;",2,1,2,2,2,2,NA,1
"134","04","040","01705","013","005","01705013005",1,"1;2;6;7;",2,1,2,2,5,2,NA,1
"135","04","040","01705","013","007","01705013007",0,"1;2;",2,1,2,2,3,2,NA,1
"136","04","040","01705","013","007","01705013007",1,"1;2;3;",2,1,2,2,5,2,NA,1
"137","04","040","01705","013","008","01705013008",0,"7;",1,1,2,2,4,1,NA,1
"138","04","040","01705","013","008","01705013008",1,"8;9;10;12;",1,1,2,2,6,1,NA,1
"139","04","040","01705","013","009","01705013009",0,"8;9;10;12;",1,1,2,2,5,1,NA,1
"140","04","040","01705","013","009","01705013009",1,"20;",1,1,2,2,9,1,NA,1
"141","04","040","01705","013","012","01705013012",0,"2;4;",2,1,2,2,1,2,NA,1
