"","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","STT","M4B11A3_C3","M4B11A3_C41","M4B11A3_C42","M4B11A3_C43","M4B11A3_C499","M4B11A3_C5","M4B11A3_C6","M4B11A3_C8","KYDIEUTRA"
"5873","66","646","24223","017","005","24223017005",0,"8;17;",1,2,2,2,5,1,NA,1
"5874","66","646","24223","017","005","24223017005",1,"18;",2,1,2,2,16,1,NA,1
"5875","66","646","24223","017","006","24223017006",0,"4;",2,1,2,2,1,2,NA,1
"5876","66","646","24223","017","007","24223017007",0,"8;",2,1,2,2,3,2,NA,1
"5877","66","646","24223","017","007","24223017007",1,"4;7;",2,1,2,2,11,2,NA,1
"5878","66","646","24223","017","008","24223017008",0,"1;",2,1,2,2,5,1,NA,1
"5879","66","646","24223","017","008","24223017008",1,"4;",2,1,2,2,9,1,NA,1
"5880","66","646","24223","017","009","24223017009",0,"15;",1,1,2,2,3,1,NA,1
"5881","66","646","24223","017","009","24223017009",1,"4;7;8;",1,1,2,2,11,2,NA,1
"5882","66","646","24223","017","010","24223017010",0,"15;",2,1,2,2,2,2,NA,1
"5883","66","646","24223","017","010","24223017010",1,"7;8;",1,2,2,2,11,2,NA,1
"5884","66","646","24223","017","011","24223017011",0,"15;",1,1,2,2,6,2,NA,1
"5885","66","646","24223","017","011","24223017011",1,"4;7;8;",1,1,2,2,11,2,NA,1
"5886","66","646","24223","017","012","24223017012",0,"15;",1,1,2,2,2,2,NA,1
"5887","66","646","24223","017","012","24223017012",1,"4;7;",1,1,2,2,3,2,NA,1
"5888","66","646","24223","017","012","24223017012",2,"8;",1,2,2,2,12,1,NA,1
"5889","66","646","24223","017","013","24223017013",0,"15;",1,1,2,2,1,1,NA,1
"5890","66","646","24223","017","013","24223017013",1,"7;8;",1,1,2,2,11,2,NA,1
"5891","66","646","24223","017","014","24223017014",0,"8;15;",2,1,2,2,2,2,NA,1
"5892","66","646","24223","017","014","24223017014",1,"7;",2,1,2,2,6,2,NA,1
"5893","66","646","24223","017","014","24223017014",2,"8;",1,2,2,2,11,2,NA,1
"5894","66","646","24223","017","015","24223017015",0,"15;",2,1,2,2,1,1,NA,1
"5895","66","646","24223","017","015","24223017015",1,"4;7;8;",1,1,2,2,11,2,NA,1
"5896","66","648","24271","014","004","24271014004",0,"5;",2,1,2,2,9,1,NA,1
"5897","66","648","24271","014","004","24271014004",1,"7;",2,1,2,2,13,1,NA,1
"5898","66","648","24271","014","006","24271014006",0,"4;5;",2,1,2,2,3,2,NA,1
"5899","66","648","24271","014","006","24271014006",1,"5;",2,1,2,2,9,1,NA,1
"5900","66","648","24271","014","010","24271014010",0,"4;5;6;",2,1,2,2,5,2,NA,1
"5901","66","648","24271","014","010","24271014010",1,"6;",2,1,2,2,9,1,NA,1
"5902","66","648","24271","014","010","24271014010",2,"5;",2,1,2,2,12,1,NA,1
"5903","66","648","24271","014","011","24271014011",0,"5;",2,1,2,2,13,1,NA,1
"5904","66","648","24271","014","013","24271014013",0,"4;5;",2,1,2,2,11,1,NA,1
"5905","66","648","24271","014","013","24271014013",1,"5;",2,1,2,2,11,1,NA,1
"5906","66","648","24271","014","014","24271014014",0,"4;5;",2,1,2,2,13,2,NA,1
"5907","66","648","24271","014","014","24271014014",1,"4;",2,1,2,2,13,2,NA,1
"5908","66","648","24271","014","015","24271014015",1,NA,NA,NA,NA,NA,NA,NA,NA,1
"5909","66","651","24404","012","003","24404012003",0,"8;",2,1,2,2,3,2,NA,1
"5910","66","651","24404","012","003","24404012003",1,"4;",2,1,2,2,4,1,NA,1
"5911","66","651","24404","012","003","24404012003",2,"7;",2,1,2,2,4,1,NA,1
"5912","66","651","24404","012","003","24404012003",3,"7;",2,1,2,2,4,1,NA,1
"5913","66","651","24404","012","004","24404012004",0,"7;",2,1,2,2,2,1,NA,1
"5914","66","651","24404","012","004","24404012004",1,"4;",2,1,2,2,4,1,NA,1
"5915","66","651","24404","012","004","24404012004",2,"7;",2,1,2,2,6,1,NA,1
"5916","66","651","24404","012","005","24404012005",0,"4;",2,1,2,2,2,1,NA,1
"5917","66","651","24404","012","005","24404012005",1,"5;",2,1,2,2,6,1,NA,1
"5918","66","651","24404","012","006","24404012006",0,"4;6;8;",2,1,2,2,3,1,NA,1
"5919","66","651","24404","012","006","24404012006",1,"1;",2,1,2,2,6,1,NA,1
"5920","66","651","24404","012","006","24404012006",2,"4;",2,1,2,2,8,1,NA,1
"5921","66","651","24404","012","007","24404012007",0,"4;6;7;8;9;11;14;15;17;18;19;20;21;22;23;",2,1,2,2,5,1,NA,1
"5922","66","651","24404","012","007","24404012007",1,"15;",2,1,2,2,8,2,NA,1
"5923","66","651","24404","012","007","24404012007",2,"4;",2,1,2,2,11,2,NA,1
"5924","66","651","24404","012","008","24404012008",0,"4;7;8;12;15;17;19;20;23;",2,1,2,2,1,3,NA,1
"5925","66","651","24404","012","008","24404012008",1,"2;4;7;",2,1,2,2,4,2,NA,1
"5926","66","651","24404","012","008","24404012008",2,"20;23;",2,1,2,2,12,3,NA,1
"5927","66","651","24404","012","008","24404012008",3,"17;18;19;20;23;",2,1,2,2,13,3,NA,1
"5928","66","651","24404","012","008","24404012008",4,"19;",2,1,2,2,14,1,NA,1
"5929","66","651","24404","012","009","24404012009",0,"3;4;7;15;",2,1,2,2,6,2,NA,1
"5930","66","651","24404","012","009","24404012009",1,"17;20;23;",2,1,2,2,12,4,NA,1
"5931","66","651","24404","012","010","24404012010",0,"4;",2,1,2,2,5,3,NA,1
"5932","66","651","24404","012","010","24404012010",1,"5;7;8;",2,1,2,2,9,4,NA,1
"5933","66","651","24404","012","010","24404012010",2,"19;20;24;",2,1,2,2,14,4,NA,1
"5934","66","651","24404","012","011","24404012011",0,"2;4;16;",1,2,2,2,5,2,NA,1
"5935","66","651","24404","012","011","24404012011",1,"2;5;7;",2,1,2,2,7,3,NA,1
"5936","66","651","24404","012","012","24404012012",0,"2;4;",1,2,2,2,3,3,NA,1
"5937","66","651","24404","012","014","24404012014",0,"4;7;",2,1,2,2,3,1,NA,1
"5938","66","651","24404","012","014","24404012014",1,"2;",2,1,2,2,5,2,NA,1
"5939","66","651","24404","012","014","24404012014",2,"7;",2,1,2,2,9,2,NA,1
"5940","66","651","24404","012","015","24404012015",0,"4;",1,2,2,2,2,1,NA,1
"5941","66","651","24404","012","015","24404012015",1,"16;",2,1,2,2,5,1,NA,1
"5942","66","651","24404","012","015","24404012015",2,"5;",2,1,2,2,7,1,NA,1
"5943","66","651","24404","012","015","24404012015",3,"17;",2,1,2,2,8,1,NA,1
"5944","66","652","24442","007","001","24442007001",0,"20;26;",1,2,2,2,5,2,NA,1
"5945","66","652","24442","007","001","24442007001",1,"8;",2,1,2,2,12,1,NA,1
"5946","66","652","24442","007","001","24442007001",2,"17;",2,1,2,2,14,1,NA,1
"5947","66","652","24442","007","003","24442007003",0,"26;",1,2,2,2,5,1,NA,1
"5948","66","652","24442","007","003","24442007003",1,"12;",2,1,2,2,14,1,NA,1
"5949","66","652","24442","007","004","24442007004",0,"4;",2,1,2,2,3,1,NA,1
"5950","66","652","24442","007","004","24442007004",1,"8;",2,1,2,2,4,1,NA,1
"5951","66","652","24442","007","004","24442007004",2,"20;",2,1,2,2,6,1,NA,1
"5952","66","652","24442","007","005","24442007005",0,"4;8;",2,1,2,2,3,2,NA,1
"5953","66","652","24442","007","005","24442007005",1,"8;",2,1,2,2,8,1,NA,1
"5954","66","652","24442","007","007","24442007007",0,"26;",2,1,2,2,6,1,NA,1
"5955","66","652","24442","007","007","24442007007",1,"12;",2,1,2,2,7,1,NA,1
"5956","66","652","24442","007","007","24442007007",2,"20;",2,1,2,2,13,1,NA,1
"5957","66","652","24442","007","010","24442007010",0,"1;2;",1,2,2,2,1,2,NA,1
"5958","66","652","24442","007","010","24442007010",1,"1;2;3;4;",1,1,2,2,2,2,NA,1
"5959","66","652","24442","007","012","24442007012",0,"1;2;",1,1,2,2,1,2,NA,1
"5960","66","652","24442","007","012","24442007012",1,"1;2;3;4;",1,1,1,2,2,1,NA,1
"5961","66","652","24442","007","013","24442007013",0,"2;",2,2,2,1,2,2,NA,1
"5962","66","652","24442","007","014","24442007014",0,"1;2;3;",1,1,1,2,3,2,NA,1
"5963","66","652","24442","007","014","24442007014",1,"1;3;4;",1,1,1,2,3,1,NA,1
"5964","66","652","24442","007","014","24442007014",2,"1;2;",2,1,2,2,2,1,NA,1
"5965","66","653","24487","011","001","24487011001",0,"20;",2,1,2,2,5,1,NA,1
"5966","66","653","24487","011","002","24487011002",1,"5;",2,1,2,2,3,2,NA,1
"5967","66","653","24487","011","002","24487011002",2,"15;",1,2,2,2,8,1,NA,1
"5968","66","653","24487","011","003","24487011003",0,"15;",1,2,2,2,6,2,NA,1
"5969","66","653","24487","011","004","24487011004",0,"15;",1,2,2,2,6,2,NA,1
"5970","66","653","24487","011","005","24487011005",0,"8;15;",2,1,2,2,2,1,NA,1
"5971","66","653","24487","011","005","24487011005",1,"15;",1,2,2,2,1,1,NA,1
"5972","66","653","24487","011","005","24487011005",2,"8;",2,1,2,2,2,1,NA,1
"5973","66","653","24487","011","007","24487011007",0,"15;",2,1,2,2,6,1,NA,1
"5974","66","653","24487","011","009","24487011009",0,"8;9;",2,1,2,2,6,1,NA,1
"5975","66","653","24487","011","010","24487011010",0,"2;4;8;9;",2,1,2,2,6,1,NA,1
"5976","66","653","24487","011","010","24487011010",1,"1;4;9;",2,1,2,2,12,1,NA,1
"5977","66","653","24487","011","011","24487011011",0,"8;9;",2,1,2,2,7,1,NA,1
"5978","66","653","24487","011","012","24487011012",0,"4;8;9;12;",2,1,2,2,5,1,NA,1
"5979","66","653","24487","011","012","24487011012",1,"4;5;8;20;",2,1,2,2,13,2,NA,1
"5980","66","653","24487","011","013","24487011013",0,"4;8;9;12;",2,1,2,2,9,2,NA,1
"5981","66","653","24487","011","014","24487011014",0,"2;4;",2,1,2,2,8,1,NA,1
"5982","66","653","24487","011","015","24487011015",0,"8;9;12;15;20;",2,1,2,2,7,2,NA,1
"5983","66","653","24487","011","015","24487011015",1,"4;8;9;",2,1,2,2,13,2,NA,1
"5984","66","657","24541","019","001","24541019001",0,"8;",2,1,2,2,3,1,NA,1
"5985","66","657","24541","019","001","24541019001",1,"7;17;",2,1,2,2,6,2,NA,1
"5986","66","657","24541","019","003","24541019003",0,"15;",2,1,2,2,4,1,NA,1
"5987","66","657","24541","019","003","24541019003",1,"20;",2,1,2,2,11,1,NA,1
"5988","66","657","24541","019","005","24541019005",0,"8;",2,1,2,2,1,1,NA,1
"5989","66","657","24541","019","005","24541019005",1,"20;",2,1,2,2,7,2,NA,1
"5990","66","657","24541","019","006","24541019006",0,"7;",2,1,2,2,3,1,NA,1
"5991","66","657","24541","019","006","24541019006",1,"8;",2,1,2,2,7,1,NA,1
"5992","66","657","24541","019","007","24541019007",0,"15;",2,1,2,2,6,1,NA,1
"5993","66","657","24541","019","007","24541019007",1,"22;",2,1,2,2,13,1,NA,1
"5994","66","657","24541","019","008","24541019008",0,"4;",2,1,2,2,7,1,NA,1
"5995","66","657","24541","019","008","24541019008",1,"8;",2,1,2,2,13,1,NA,1
"5996","66","657","24541","019","009","24541019009",0,"7;",2,1,2,2,3,1,NA,1
"5997","66","657","24541","019","009","24541019009",1,"20;",2,1,2,2,10,1,NA,1
"5998","66","657","24541","019","010","24541019010",0,"7;",2,1,2,2,5,1,NA,1
"5999","66","657","24541","019","010","24541019010",1,"8;",2,1,2,2,11,1,NA,1
"6000","66","657","24541","019","012","24541019012",1,"7;",2,1,2,2,3,1,NA,1
"6001","66","657","24541","019","012","24541019012",2,"8;",2,1,2,2,7,1,NA,1
"6002","66","657","24541","019","013","24541019013",0,"4;",2,1,2,2,3,1,NA,1
"6003","66","657","24541","019","013","24541019013",1,"8;",2,1,2,2,8,1,NA,1
"6004","66","657","24541","019","013","24541019013",2,"8;",2,1,2,2,13,1,NA,1
"6005","66","657","24541","019","014","24541019014",1,"7;",2,1,2,2,7,1,NA,1
"6006","66","657","24541","019","014","24541019014",2,"15;",2,1,2,2,11,2,NA,1
"6007","66","655","24565","009","001","24565009001",0,"1;16;",1,2,2,2,2,2,NA,1
"6008","66","655","24565","009","001","24565009001",1,"2;",2,1,2,2,4,2,NA,1
"6009","66","655","24565","009","001","24565009001",2,"3;4;",2,1,1,2,7,2,NA,1
"6010","66","655","24565","009","007","24565009007",0,"15;",2,1,2,2,4,1,NA,1
"6011","66","655","24565","009","009","24565009009",0,"15;",2,1,2,2,1,1,NA,1
"6012","66","655","24565","009","009","24565009009",1,"15;",2,1,2,2,6,1,NA,1
"6013","66","655","24565","009","009","24565009009",2,"20;",2,1,2,2,8,1,NA,1
"6014","66","655","24565","009","012","24565009012",0,"2;4;8;14;",1,1,2,2,1,1,NA,1
"6015","66","655","24565","009","012","24565009012",1,"2;17;18;20;",2,1,2,2,9,1,NA,1
"6016","66","655","24565","009","013","24565009013",0,"2;4;8;14;16;",1,2,2,2,1,1,NA,1
"6017","66","655","24565","009","013","24565009013",1,"2;4;7;8;14;15;17;20;",2,1,2,2,5,1,NA,1
"6018","66","655","24565","009","014","24565009014",0,"2;4;7;8;15;",1,2,2,2,1,2,NA,1
"6019","66","655","24565","009","014","24565009014",1,"2;17;18;20;24;",2,1,2,2,6,2,NA,1
"6020","67","664","24688","012","015","24688012015",0,"4;5;8;20;",2,1,2,2,11,2,NA,1
"6021","67","664","24688","012","015","24688012015",1,"20;",2,1,2,2,15,1,NA,1
"6022","67","664","24709","006","005","24709006005",0,"4;",1,1,2,2,1,1,NA,1
"6023","67","664","24709","006","009","24709006009",0,"1;2;4;5;8;9;14;",2,1,2,2,4,1,NA,1
"6024","67","664","24709","006","009","24709006009",1,"1;2;4;5;8;9;",2,1,2,2,4,1,NA,1
"6025","67","666","24750","023","014","24750023014",0,"4;",1,2,2,2,1,2,NA,1
"6026","68","683","25177","006","002","25177006002",0,"8;",2,1,2,2,3,2,NA,1
"6027","68","683","25177","006","002","25177006002",1,"4;9;18;",2,1,2,2,6,2,NA,1
"6028","68","683","25177","006","003","25177006003",0,"1;",2,1,2,2,0,2,NA,1
"6029","68","683","25177","006","004","25177006004",0,"4;8;",2,1,2,2,1,2,NA,1
"6030","68","683","25177","006","004","25177006004",1,"8;19;",2,1,2,2,10,2,NA,1
"6031","68","683","25177","006","005","25177006005",0,"4;8;",2,1,2,2,1,2,NA,1
"6032","68","683","25177","006","005","25177006005",1,"8;18;",2,1,2,2,5,2,NA,1
"6033","68","683","25177","006","006","25177006006",0,"1;",1,1,2,2,3,1,NA,1
"6034","68","683","25177","006","007","25177006007",0,"4;8;",2,1,2,2,1,2,NA,1
"6035","68","683","25177","006","007","25177006007",1,"8;",2,1,2,2,12,2,NA,1
"6036","68","683","25177","006","007","25177006007",2,"19;",1,1,2,2,12,2,NA,1
"6037","68","683","25177","006","008","25177006008",0,"4;8;",2,1,2,2,1,2,NA,1
"6038","68","683","25177","006","010","25177006010",0,"1;12;",1,1,2,2,12,1,NA,1
"6039","68","683","25177","006","011","25177006011",0,"1;",2,1,2,2,0,2,NA,1
"6040","68","683","25177","006","012","25177006012",0,"1;",2,1,2,2,0,2,NA,1
"6041","68","683","25177","006","013","25177006013",0,"1;",2,1,2,2,0,2,NA,1
"6042","68","683","25177","006","014","25177006014",0,"2;",1,1,2,2,3,1,NA,1
"6043","68","683","25177","006","014","25177006014",1,"3;",1,1,2,2,8,1,NA,1
"6044","68","683","25177","006","015","25177006015",0,"4;5;6;",1,1,2,2,0,1,NA,1
"6045","68","683","25177","006","015","25177006015",1,"1;",1,1,2,2,3,1,NA,1
"6046","70","692","25305","007","001","25305007001",0,"4;7;",2,1,2,2,3,1,NA,1
"6047","70","692","25305","007","001","25305007001",1,"7;",2,1,2,2,5,1,NA,1
"6048","70","692","25305","007","009","25305007009",0,"4;7;",2,1,2,2,10,1,NA,1
"6049","70","692","25305","007","009","25305007009",1,"4;",2,1,2,2,15,1,NA,1
"6050","70","692","25305","007","013","25305007013",0,"7;",2,1,2,2,10,1,NA,1
"6051","70","692","25305","007","017","25305007017",0,"4;20;",1,1,2,2,12,1,NA,1
"6052","70","692","25305","007","017","25305007017",1,"4;8;",2,1,2,2,15,1,NA,1
"6053","70","693","25321","021","015","25321021015",0,"1;",2,1,2,2,1,1,NA,1
"6054","70","693","25321","021","015","25321021015",1,"1;",1,2,2,2,2,1,NA,1
"6055","72","708","25609","006","002","25609006002",0,"2;",1,2,2,2,1,1,NA,1
"6056","72","708","25609","006","002","25609006002",1,"4;9;17;",2,2,1,2,4,2,NA,1
"6057","72","708","25609","006","002","25609006002",2,"2;4;8;9;17;19;20;22;",2,1,2,2,6,3,NA,1
"6058","72","708","25609","006","006","25609006006",0,"1;2;4;",2,1,2,2,2,1,NA,1
"6059","72","708","25609","006","006","25609006006",1,"7;",2,1,2,2,4,1,NA,1
"6060","72","708","25609","006","006","25609006006",2,"7;19;",2,1,2,2,6,2,NA,1
"6061","72","708","25609","006","006","25609006006",3,"19;",2,2,2,2,6,2,NA,1
"6062","72","708","25609","006","010","25609006010",1,"1;7;9;",1,2,1,2,14,3,NA,1
"6063","72","708","25609","006","014","25609006014",1,"1;2;4;5;6;7;8;9;10;11;12;13;14;15;18;19;20;21;22;23;24;25;26;27;",1,1,1,2,5,3,NA,1
"6064","72","710","25678","004","010","25678004010",0,"4;",2,1,2,2,2,1,NA,1
"6065","72","710","25678","004","010","25678004010",1,"4;",2,1,2,2,8,1,NA,1
"6066","72","710","25678","004","010","25678004010",2,"4;",2,1,2,2,12,1,NA,1
"6067","72","712","25729","001","001","25729001001",0,"4;7;8;",2,1,1,2,1,2,NA,1
"6068","72","712","25729","001","001","25729001001",1,"7;",1,1,2,2,2,2,NA,1
"6069","72","712","25729","001","003","25729001003",0,"7;",1,2,2,2,0,2,NA,1
"6070","72","712","25729","001","003","25729001003",1,"4;",1,1,2,2,3,2,NA,1
"6071","72","712","25729","001","003","25729001003",2,"8;",2,1,1,2,5,3,NA,1
"6072","72","712","25729","001","005","25729001005",0,"4;",1,1,2,2,1,2,NA,1
"6073","72","712","25729","001","005","25729001005",1,"8;",1,1,2,2,2,2,NA,1
"6074","72","712","25729","001","007","25729001007",0,"4;7;8;",1,2,2,2,1,2,NA,1
"6075","72","712","25729","001","007","25729001007",1,"7;",2,1,2,2,4,2,NA,1
"6076","72","712","25729","001","007","25729001007",2,"8;",2,1,2,2,14,2,NA,1
"6077","72","712","25729","001","008","25729001008",0,"4;",1,2,2,2,1,2,NA,1
"6078","72","712","25729","001","008","25729001008",1,"7;",1,1,2,2,2,2,NA,1
"6079","72","712","25729","001","008","25729001008",2,"8;",1,1,2,2,2,2,NA,1
"6080","72","712","25729","001","013","25729001013",0,"4;",1,1,2,2,1,2,NA,1
"6081","72","712","25729","001","013","25729001013",1,"7;8;",1,1,2,2,3,2,NA,1
"6082","72","712","25729","001","013","25729001013",2,"8;",2,1,2,2,5,2,NA,1
"6083","77","750","26590","013","006","26590013006",0,"6;8;14;",1,2,2,2,4,3,NA,1
"6084","77","750","26590","013","006","26590013006",1,"4;6;",1,2,2,2,4,3,NA,1
"6085","77","750","26590","013","007","26590013007",0,"4;",1,2,2,2,4,2,NA,1
"6086","77","750","26590","013","013","26590013013",0,"4;19;",2,1,1,2,4,2,NA,1
"6087","79","783","27511","022","010","27511022010",0,"4;7;27;",1,1,1,2,2,2,NA,1
"6088","79","783","27511","022","010","27511022010",1,"2;4;7;9;12;17;18;",1,1,2,2,11,3,NA,1
"6089","79","783","27511","022","010","27511022010",2,"1;2;4;8;9;15;17;18;19;20;22;",1,1,2,2,15,3,NA,1
"6090","79","783","27511","022","010","27511022010",3,"1;2;4;8;12;15;18;20;21;23;26;27;",1,1,1,2,15,3,NA,1
"6091","80","794","27703","005","006","27703005006",0,"20;",1,2,2,2,3,1,NA,1
"6092","80","794","27703","005","006","27703005006",1,"4;",2,1,2,2,3,3,NA,1
"6093","80","794","27703","005","006","27703005006",2,"4;",2,1,2,2,5,1,NA,1
"6094","80","794","27703","005","006","27703005006",3,"20;",1,2,2,2,7,1,NA,1
"6095","80","794","27703","005","006","27703005006",4,"16;",1,2,2,2,12,1,NA,1
"6096","80","794","27703","005","006","27703005006",5,"17;",1,2,2,2,12,1,NA,1
"6097","80","794","27703","005","008","27703005008",0,"15;",2,1,2,2,1,1,NA,1
"6098","80","794","27703","005","008","27703005008",1,"20;",2,1,2,2,3,1,NA,1
"6099","80","794","27703","005","008","27703005008",2,"4;",2,1,2,2,4,1,NA,1
"6100","80","794","27703","005","008","27703005008",3,"20;22;",1,2,2,2,7,2,NA,1
"6101","80","794","27703","005","008","27703005008",5,"19;",1,2,2,2,12,2,NA,1
"6102","80","794","27703","005","010","27703005010",0,"15;",2,1,2,2,2,1,NA,1
"6103","80","794","27703","005","010","27703005010",1,"20;",2,1,2,2,3,1,NA,1
"6104","80","794","27703","005","010","27703005010",2,"4;",2,1,2,2,4,1,NA,1
"6105","80","794","27703","005","010","27703005010",3,"22;",2,1,2,2,7,2,NA,1
"6106","80","794","27703","005","010","27703005010",4,"19;",2,1,2,2,12,2,NA,1
"6107","80","799","27847","004","001","27847004001",0,"2;",2,1,2,2,3,2,NA,1
"6108","80","799","27847","004","001","27847004001",1,"4;8;",1,1,2,2,7,2,NA,1
"6109","80","799","27847","004","001","27847004001",2,"9;11;",1,1,2,2,8,2,NA,1
"6110","80","799","27847","004","001","27847004001",3,"16;17;",1,1,2,2,9,2,NA,1
"6111","80","799","27847","004","001","27847004001",4,"19;20;22;",1,1,1,2,15,3,NA,1
"6112","80","799","27847","004","005","27847004005",0,"1;2;",2,1,2,2,1,2,NA,1
"6113","80","799","27847","004","005","27847004005",1,"4;8;10;",1,1,2,2,2,2,NA,1
"6114","80","799","27847","004","005","27847004005",2,"4;7;8;11;",1,1,2,2,3,3,NA,1
"6115","80","799","27847","004","005","27847004005",3,"4;7;11;15;17;18;",1,1,2,2,5,3,NA,1
"6116","80","799","27847","004","005","27847004005",4,"13;16;17;18;19;23;",1,1,1,2,8,4,NA,1
"6117","80","799","27847","004","007","27847004007",0,"2;",2,1,2,2,1,1,NA,1
"6118","80","799","27847","004","007","27847004007",1,"4;7;",2,1,2,2,2,2,NA,1
"6119","80","799","27847","004","007","27847004007",2,"9;13;",1,1,2,2,3,2,NA,1
"6120","80","799","27847","004","007","27847004007",3,"16;17;",1,1,2,2,6,2,NA,1
"6121","80","799","27847","004","007","27847004007",4,"19;22;",1,1,1,2,16,3,NA,1
"6122","80","799","27847","004","008","27847004008",0,"1;2;",2,1,2,2,1,2,NA,1
"6123","80","799","27847","004","008","27847004008",1,"4;8;",2,1,2,2,2,2,NA,1
"6124","80","799","27847","004","008","27847004008",2,"4;11;",2,1,2,2,3,2,NA,1
"6125","80","799","27847","004","008","27847004008",3,"5;8;",2,1,2,2,5,2,NA,1
"6126","80","799","27847","004","008","27847004008",4,"17;19;",2,1,2,2,8,2,NA,1
"6127","80","799","27847","004","009","27847004009",0,"1;2;3;11;12;13;15;",1,2,2,2,2,3,NA,1
"6128","80","799","27847","004","009","27847004009",1,"4;7;10;11;14;15;16;17;18;20;",1,2,2,2,4,4,NA,1
"6129","80","799","27847","004","009","27847004009",2,"8;9;10;11;12;13;15;16;17;20;",2,1,2,2,5,5,NA,1
"6130","80","799","27847","004","011","27847004011",0,"1;2;3;12;13;15;",1,2,2,2,1,2,NA,1
"6131","80","799","27847","004","011","27847004011",1,"3;4;5;7;8;11;13;15;16;20;",2,1,2,2,3,4,NA,1
"6132","80","799","27847","004","011","27847004011",2,"4;5;7;8;9;15;17;18;20;22;",1,2,2,2,5,4,NA,1
"6133","80","799","27847","004","011","27847004011",3,"7;8;11;15;17;18;20;21;23;25;",2,1,2,2,6,4,NA,1
"6134","80","799","27847","004","017","27847004017",0,"2;11;",1,2,2,2,4,2,NA,1
"6135","80","799","27847","004","017","27847004017",1,"7;15;",1,1,2,2,7,2,NA,1
"6136","80","799","27847","004","017","27847004017",2,"17;20;",1,1,2,2,9,2,NA,1
"6137","80","799","27853","004","001","27853004001",0,"4;",1,2,2,2,5,2,NA,1
"6138","80","799","27853","004","001","27853004001",1,"2;7;",2,1,2,2,6,3,NA,1
"6139","80","799","27853","004","001","27853004001",2,"7;11;20;",2,1,2,2,11,4,NA,1
"6140","80","799","27853","004","001","27853004001",3,"7;8;20;",1,1,2,2,15,4,NA,1
"6141","80","799","27853","004","003","27853004003",0,"1;2;3;",2,1,2,2,1,2,NA,1
"6142","80","799","27853","004","003","27853004003",1,"4;7;8;9;10;11;12;15;",1,2,2,2,2,3,NA,1
"6143","80","799","27853","004","003","27853004003",2,"4;7;8;11;13;15;16;17;20;21;23;",1,2,2,2,3,3,NA,1
"6144","80","799","27853","004","003","27853004003",3,"7;8;10;12;15;17;20;23;",1,2,2,2,4,3,NA,1
"6145","80","799","27853","004","003","27853004003",4,"8;10;11;12;15;16;17;19;22;",1,2,2,2,6,3,NA,1
"6146","80","799","27853","004","004","27853004004",0,"20;",2,1,2,2,9,2,NA,1
"6147","80","799","27853","004","004","27853004004",1,"17;21;",2,1,1,2,13,3,NA,1
"6148","80","799","27853","004","007","27853004007",0,"2;4;11;",1,2,2,2,4,2,NA,1
"6149","80","799","27853","004","007","27853004007",1,"7;11;",1,1,2,2,7,3,NA,1
"6150","80","799","27853","004","007","27853004007",2,"7;8;20;",1,1,2,2,9,4,NA,1
"6151","80","799","27853","004","007","27853004007",3,"7;8;20;",1,1,2,2,12,4,NA,1
"6152","80","799","27853","004","009","27853004009",0,"1;2;3;4;5;6;9;10;11;15;",1,2,2,2,1,4,NA,1
"6153","80","799","27853","004","009","27853004009",1,"2;3;4;5;7;8;9;10;11;12;14;15;",1,2,2,2,2,4,NA,1
"6154","80","799","27853","004","009","27853004009",2,"7;8;9;10;11;14;15;17;18;19;20;23;",1,2,2,2,3,3,NA,1
"6155","80","799","27853","004","009","27853004009",3,"7;8;11;15;16;17;18;19;20;21;22;23;",1,2,2,2,5,4,NA,1
"6156","80","799","27853","004","012","27853004012",0,"1;2;3;4;8;9;10;11;12;13;14;15;16;",1,2,2,2,1,3,NA,1
"6157","80","799","27853","004","012","27853004012",1,"4;5;7;8;10;11;12;14;15;18;19;20;21;22;23;",2,1,2,2,3,4,NA,1
"6158","80","799","27853","004","012","27853004012",2,"4;7;11;12;14;15;16;17;18;19;20;21;23;24;25;",2,1,2,2,4,4,NA,1
"6159","80","799","27853","004","013","27853004013",0,"4;",1,2,2,2,3,4,NA,1
"6160","80","799","27853","004","013","27853004013",1,"15;16;",1,1,2,2,7,2,NA,1
"6161","80","799","27853","004","013","27853004013",2,"2;7;8;",2,2,1,2,13,4,NA,1
"6162","80","799","27853","004","013","27853004013",3,"7;8;20;",2,2,1,2,15,4,NA,1
"6163","80","799","27853","004","014","27853004014",0,"2;",2,1,2,2,2,1,NA,1
"6164","80","799","27853","004","014","27853004014",1,"3;4;",2,1,2,2,5,2,NA,1
"6165","80","799","27853","004","014","27853004014",2,"8;9;",2,1,2,2,6,3,NA,1
"6166","80","799","27853","004","014","27853004014",3,"16;17;18;",1,1,1,2,7,3,NA,1
"6167","80","799","27853","004","014","27853004014",4,"19;20;22;",1,1,1,2,15,3,NA,1
"6168","80","799","27853","004","015","27853004015",0,"1;2;3;4;5;6;8;10;11;12;13;15;",1,2,2,2,1,3,NA,1
"6169","80","799","27853","004","015","27853004015",1,"1;3;4;7;8;11;12;13;14;15;16;17;18;",2,1,2,2,2,4,NA,1
"6170","80","799","27853","004","015","27853004015",2,"4;7;12;14;15;16;18;19;20;21;22;23;24;25;26;",2,1,2,2,3,4,NA,1
