indNames,01_GIFT,02_GIFTff,03_BEST,04_ExCEL,05_Molobicus,06_NileXMoss,07_Abbassa_10,08_Chitralada,09_FaST,10_Mossambicus,GENOGain,RIA1,Similarity,pop,country
Q1-252,3.85E-212,5.19E-211,7.79E-281,1.08E-235,7.17376450249013e-317,6.69E-230,2.57E-304,1.36E-235,0,0,0.28902723,0.71097277,RIA1,Ha_01,Unspecified
Q1-254,3.23E-214,2.05E-214,1.42E-283,5.21E-245,8.67081782072043e-312,3.13E-229,0,1.71E-238,0,0,0.999999655,3.45E-07,GENOGain,Ha_01,Unspecified
Q1-26,1.10E-191,8.79E-186,1.15E-261,9.00E-214,1.35E-285,1.19E-209,1.76E-285,5.52E-212,0,0,1.87E-14,1,RIA1,Ha_28,Unspecified
Q1-27,1.02E-189,1.69E-185,9.37E-254,1.27E-213,1.77E-281,5.19E-200,1.84E-282,5.02E-199,8.03863432058556e-316,0,6.26E-19,1,RIA1,Ha_19,Unspecified
Q1-273,1.84E-180,5.28E-178,1.39E-244,1.81E-204,2.52E-279,2.31E-199,4.22E-284,2.75E-198,2.09E-304,0,5.37E-18,1,RIA1,Ha_20,Unspecified
Q1-277,4.04E-151,1.26E-147,3.60E-219,8.36E-174,2.15E-234,7.78E-160,9.31E-210,1.79E-154,2.81E-266,2.28E-292,6.99E-17,1,RIA1,Ha_24,Unspecified
Q1-282,1.22E-184,5.65E-184,8.08E-248,1.31E-205,7.95E-273,1.19E-193,2.36E-258,4.98E-186,2.78E-299,1.23516411460312e-322,6.42E-21,1,RIA1,Ha_22,Unspecified
Q1-289,1.72E-184,3.78E-178,4.16E-246,8.66E-198,3.44E-262,3.38E-189,5.79E-262,8.00E-185,3.06136413935674e-318,1.51620841658345e-318,1.49E-22,1,RIA1,Ha_34,Unspecified
Q1-291,1.47E-168,1.97E-158,1.34E-218,4.94E-175,8.29E-243,1.31E-167,2.06E-234,1.13E-165,6.94E-295,3.34E-290,7.25E-26,1,RIA1,Ha_27,Unspecified
Q1-293,3.39E-212,3.32E-202,1.13E-267,3.04E-228,2.76E-301,1.79E-220,8.34E-306,1.43E-223,0,0,1.49E-32,1,RIA1,Ha_30,Unspecified
Q1-294,6.34E-205,1.12E-195,3.32E-264,2.41E-222,2.87E-294,2.29E-215,1.81E-295,6.58E-216,0,0,1.60E-18,1,RIA1,Ha_29,Unspecified
