indNames,01_GIFT,02_GIFTff,03_BEST,04_ExCEL,05_Molobicus,06_NileXMoss,07_Abbassa_10,08_Chitralada,09_FaST,10_Mossambicus,GENOGain,RIA1,Similarity,pop,country
Q1-171,1.28E-241,1.11E-224,5.54E-232,7.94E-233,8.75E-15,2.00E-119,3.48E-298,8.97E-218,0,1,0,0,10_Mossambicus,HH_021,Unspecified
Q1-178,1.31E-246,9.53E-224,6.88E-232,3.27E-227,1.72E-07,4.73E-123,3.64E-296,8.88E-212,0,0.999999828,0,0,10_Mossambicus,HH_092,Unspecified
Q1-179,3.48E-252,3.29E-228,2.97E-239,3.48E-237,1.52E-11,2.19E-126,3.44E-307,3.76E-217,0,1,0,0,10_Mossambicus,HH_078,Unspecified
Q1-181,6.87E-253,4.53E-232,6.19E-241,1.99E-242,7.71E-09,1.50E-129,3.06335079298055e-313,2.14E-220,0,0.999999992,0,0,10_Mossambicus,HH_023,Unspecified
Q1-182,1.88E-239,2.06E-218,1.04E-230,2.28E-232,3.00E-08,3.20E-118,4.86E-302,5.06E-211,0,0.99999997,0,0,10_Mossambicus,HH_102,Unspecified
Q1-189,3.18E-254,1.29E-234,6.72E-247,8.30E-247,1.17E-17,6.13E-129,3.26496896423698e-313,3.79E-223,0,1,0,0,10_Mossambicus,HH_060,Unspecified
Q1-19,3.52E-248,8.24E-228,1.91E-240,1.34E-235,6.06E-10,2.57E-124,1.64E-306,1.07E-213,0,0.999999999,0,0,10_Mossambicus,HH_011,Unspecified
Q1-196,1.96E-238,2.77E-218,6.73E-229,2.98E-228,0.315312172,2.50E-118,1.01E-301,3.04E-209,0,0.684687828,0,0,10_Mossambicus,HH_060,Unspecified
Q1-198,1.72E-248,7.82E-228,3.72E-238,3.25E-236,3.60E-12,6.70E-124,0.00E+00,1.29E-215,0,1,0,0,10_Mossambicus,HH_013,Unspecified
Q1-202,3.33E-185,6.00E-180,5.42E-242,6.38E-200,7.57E-278,1.00E-197,2.45E-285,8.47E-193,0,0,2.59E-17,1,RIA1,HH_010,Unspecified
Q1-209,3.89E-251,1.80E-226,2.46E-235,1.21E-235,1.90E-09,2.14E-125,5.31E-301,7.95E-218,0,0.999999998,0,0,10_Mossambicus,HH_058,Unspecified
Q1-21,1.64E-188,5.18E-177,1.02E-241,2.58E-198,8.97E-267,1.27E-185,2.21E-251,1.88E-192,4.94065645841247e-324,1.05356465415051e-312,3.59E-20,1,RIA1,HH_002,Unspecified
Q1-211,3.11E-248,1.33E-227,6.59E-240,3.26E-238,7.20E-09,1.02E-120,0.00E+00,1.29E-217,0,0.999999993,0,0,10_Mossambicus,HH_027,Unspecified
Q1-22,7.40E-108,1.88E-90,2.36E-135,4.62E-100,1,5.68E-30,6.35E-170,2.78E-89,9.64E-219,5.32E-13,3.14E-196,6.40E-188,05_Molobicus,HH_009,Unspecified
Q1-221,4.58E-236,2.37E-214,1.71E-218,2.83E-227,0.383526709,1.64E-118,4.02E-293,1.28E-209,0,0.616473291,0,0,10_Mossambicus,HH_073,Unspecified
Q1-234,1.58E-238,8.01E-220,5.69E-232,9.74E-234,0.000465353,1.13E-118,1.08E-302,2.80E-207,0,0.999534647,0,0,10_Mossambicus,HH_071,Unspecified
Q1-236,1.00E-246,7.28E-226,3.94E-235,4.36E-236,2.32E-14,5.85E-121,1.92E-298,3.51E-213,0,1,0,0,10_Mossambicus,HH_069,Unspecified
Q1-243,6.37E-251,3.15E-227,2.07E-240,2.25E-237,7.20E-12,4.42E-121,5.12E-307,1.10E-217,0,1,0,0,10_Mossambicus,HH_020,Unspecified
Q1-244,3.46E-230,1.80E-211,3.55E-225,5.28E-221,0.008282322,1.79E-111,3.42E-291,7.12E-200,0,0.991717678,0,0,10_Mossambicus,HH_072,Unspecified
Q1-247,1.46E-252,2.63E-232,4.10E-239,7.09E-241,7.37E-22,4.04E-126,8.41E-305,3.97E-222,0,1,0,0,10_Mossambicus,HH_028,Unspecified
Q1-25,5.38E-112,1.75E-104,1.31E-153,1.76E-117,1.53E-173,2.71E-106,2.92E-150,5.87E-105,1.30E-223,6.44E-215,8.94E-15,1,RIA1,HH_017,Unspecified
Q1-255,1.60E-244,3.26E-224,1.81E-238,1.07E-235,2.69E-10,1.32E-125,2.08E-305,1.50E-213,0,1,0,0,10_Mossambicus,HH_027,Unspecified
Q1-256,1.40E-181,1.60E-173,1.50E-238,2.13E-193,5.70E-273,2.63E-190,2.70E-247,2.12E-190,2.73E-300,0,7.40E-18,1,RIA1,HH_038,Unspecified
Q1-258,4.47E-216,3.55E-199,4.79E-213,2.11E-213,4.11E-05,4.01E-105,1.36E-283,9.45E-192,0,0.999958931,0,0,10_Mossambicus,HH_012,Unspecified
Q1-263,9.77E-252,1.02E-229,1.86E-237,7.76E-241,2.99E-13,1.07E-127,2.68E-308,2.47E-218,0,1,0,0,10_Mossambicus,HH_020,Unspecified
Q1-265,2.93E-244,1.12E-223,2.39E-231,3.83E-233,1.23E-11,2.41E-123,1.97E-302,6.99E-210,0,1,0,0,10_Mossambicus,HH_086,Unspecified
Q1-268,7.09E-244,5.68E-222,4.25E-235,8.80E-232,6.86E-07,5.15E-121,5.81E-302,9.05E-212,0,0.999999314,0,0,10_Mossambicus,HH_026,Unspecified
Q1-274,3.55E-243,6.46E-221,1.87E-226,4.50E-231,8.69E-16,3.40E-121,2.39E-304,3.30E-211,0,1,0,0,10_Mossambicus,HH_053,Unspecified
Q1-275,5.98E-246,8.51E-225,9.44E-238,3.92E-236,0.000272709,9.13E-123,2.08E-302,8.77E-216,0,0.999727291,0,0,10_Mossambicus,HH_029,Unspecified
Q1-28,6.44E-238,1.36E-218,1.60E-233,1.22E-231,0.002669406,3.40E-116,1.28E-295,5.51E-205,0,0.997330594,0,0,10_Mossambicus,HH_015,Unspecified
Q1-280,1.31E-186,6.81E-180,1.65E-242,3.73E-205,1.07E-274,4.21E-198,1.18E-273,3.81E-197,0,0,5.97E-20,1,RIA1,HH_005,Unspecified
Q1-281,5.12E-162,8.89E-151,2.77E-219,8.38E-172,1.20E-229,1.87E-159,8.52E-229,3.71E-146,1.06E-288,1.06E-286,3.81E-18,1,RIA1,HH_004,Unspecified
Q1-284,2.14E-207,5.92E-200,6.23E-270,4.15E-232,4.00E-294,2.78E-215,1.29E-299,5.17E-221,0,0,4.29E-24,1,RIA1,HH_003,Unspecified
Q1-286,7.25E-222,3.60E-206,1.21E-228,1.71E-216,0.956596178,5.27E-111,3.04E-281,2.05E-202,0,0.043403822,0,0,05_Molobicus,HH_021,Unspecified
Q1-290,2.65E-247,3.59E-225,1.46E-238,4.03E-235,8.38E-13,2.80E-124,3.64E-306,2.30E-213,0,1,0,0,10_Mossambicus,HH_033,Unspecified
Q1-292,2.29E-185,1.53E-176,1.57E-241,1.03E-201,2.00E-269,1.41E-189,9.35E-241,1.67E-193,2.97301976715822e-317,7.13924858240601e-320,1.17E-20,1,RIA1,HH_038,Unspecified
Q1-295,4.41E-176,3.03E-173,1.05E-230,8.01E-192,1.83E-258,3.48E-184,5.07E-256,9.96E-187,9.38E-300,6.29582911839042e-319,1.17E-15,1,RIA1,HH_002,Unspecified
Q1-298,9.69E-248,4.14E-227,8.86E-237,5.54E-238,1.75E-15,7.69E-122,9.89E-307,8.65E-218,0,1,0,0,10_Mossambicus,HH_029,Unspecified
Q1-299,2.39E-194,3.49E-191,1.80E-255,2.92E-214,2.12E-284,6.91E-206,1.25E-289,1.54E-205,3.47E-306,0,5.44E-14,1,RIA1,HH_041,Unspecified
Q1-3,1.07E-162,9.50E-150,5.52E-214,1.24E-171,2.90E-241,9.49E-154,1.61E-187,3.05E-154,3.01E-264,7.19E-275,5.47E-17,1,RIA1,HH_016,Unspecified
Q1-30,3.16E-239,1.59E-216,4.09E-233,1.43E-226,2.15E-12,1.51E-119,8.60E-296,6.30E-203,0,1,0,0,10_Mossambicus,HH_025,Unspecified
Q1-300,8.18E-247,9.91E-225,8.63E-238,1.13E-232,5.41E-18,5.55E-120,4.18E-304,1.88E-209,0,1,0,0,10_Mossambicus,HH_011,Unspecified
Q1-301,3.39E-192,1.28E-180,2.64E-232,1.11E-186,1.30E-270,1.06E-191,1.30E-277,4.24E-193,1.41E-286,0,2.60E-15,1,RIA1,HH_007,Unspecified
Q1-304,6.96E-117,5.82E-105,1.02E-153,1.99E-119,9.15E-180,5.27E-104,1.00E-128,2.99E-104,9.12E-224,1.92E-215,1.77E-17,1,RIA1,HH_017,Unspecified
Q1-305,8.06E-154,1.84E-132,5.74E-146,2.03E-149,1,5.65E-71,1.56E-209,7.65E-128,6.64E-276,2.20E-17,0,0,05_Molobicus,HH_035,Unspecified
Q1-309,2.99E-142,6.97E-142,1.48E-199,3.46E-163,7.27E-225,8.43E-147,5.01E-221,2.74E-147,1.29E-251,2.94E-271,1.40E-13,1,RIA1,HH_042,Unspecified
Q1-310,2.60E-235,2.52E-214,3.73E-220,6.34E-224,2.38E-08,4.65E-120,1.55E-294,5.44E-208,0,0.999999976,0,0,10_Mossambicus,HH_019,Unspecified
