"","MATINH","MAHUYEN","MAXA","M43_C2","pfes_dummy","panel"
"452","86","858","29650",NA,0,2024
"453","86","859","29716",NA,0,2024
"454","86","860","29725",NA,0,2024
"455","86","863","29779",NA,0,2024
"456","86","861","29812",NA,0,2024
"457","86","862","29830",NA,0,2024
"458","87","866","29896",NA,0,2024
"459","87","870","29998",NA,0,2024
"460","87","871","30010",NA,0,2024
"461","87","873","30079",NA,0,2024
"462","87","873","30112",NA,0,2024
"463","87","874","30145",NA,0,2024
"464","87","875","30175",NA,0,2024
"465","87","875","30202",NA,0,2024
"466","87","877","30253",NA,0,2024
"467","87","877","30268",NA,0,2024
"468","89","886","30370",NA,0,2024
"469","89","887","30397",NA,0,2024
"470","89","888","30421",NA,0,2024
"471","89","888","30436",NA,0,2024
"472","89","890","30538",NA,0,2024
"473","89","890","30541",NA,0,2024
"474","89","891","30574",NA,0,2024
"475","89","892","30625",NA,0,2024
"476","89","893","30667",NA,0,2024
"477","89","894","30700",NA,0,2024
"478","91","902","30809",NA,0,2024
"479","91","903","30835",NA,0,2024
"480","91","903","30836",NA,0,2024
"481","91","904","30877",NA,0,2024
"482","91","906","30943",NA,0,2024
"483","91","906","30947",NA,0,2024
"484","91","907","30967",NA,0,2024
"485","91","910","31075",NA,0,2024
"486","91","911","31087",NA,0,2024
"487","91","912","31111",NA,0,2024
"488","92","925","31249",NA,0,2024
"489","92","925","31264",NA,0,2024
"490","92","927","31298",NA,0,2024
"491","93","932","31357",NA,0,2024
"492","93","934","31408",NA,0,2024
"493","93","934","31417",NA,0,2024
"494","93","934","31426",NA,0,2024
"495","93","937","31480",NA,0,2024
"496","93","937","31481",NA,0,2024
"497","93","936","31483",NA,0,2024
"498","94","942","31576",NA,0,2024
"499","94","944","31603",NA,0,2024
"500","94","944","31609",NA,0,2024
"501","94","946","31663",NA,0,2024
"502","94","946","31666",NA,0,2024
"503","94","951","31672",NA,0,2024
"504","94","951","31681",NA,0,2024
"505","94","951","31687",NA,0,2024
"506","94","951","31696",NA,0,2024
"507","95","954","31834",NA,0,2024
"508","95","956","31858",NA,0,2024
"509","95","956","31863",NA,0,2024
"510","95","958","31903",NA,0,2024
"511","95","961","31930",NA,0,2024
"512","95","959","31963",NA,0,2024
"513","95","960","31981",NA,0,2024
"514","96","964","32026",NA,0,2024
"515","96","964","32041",NA,0,2024
"516","96","967","32083",NA,0,2024
"517","96","968","32104",NA,0,2024
"518","96","968","32107",NA,0,2024
"519","96","969","32137",NA,0,2024
"520","96","970","32173",NA,0,2024
"521","96","970","32176",NA,0,2024
"522","96","973","32242",NA,0,2024
"523","01","017","00457",NA,0,2024
"524","01","017","00460",NA,0,2024
"525","01","017","00508",NA,0,2024
"526","01","018","00556",NA,0,2024
"527","02","030","00703",1778.3,1,2024
"528","02","026","00745",2439,1,2024
"529","02","027","00790",991.48,1,2024
"530","02","031","00985",10,1,2024
"531","02","032","01057",966.57,1,2024
"532","02","033","01102",903.67,1,2024
"533","02","035","01240",3127.5,1,2024
"534","04","042","01304",3476,1,2024
"535","04","045","01375",NA,0,2024
"536","04","047","01498",1056.54,1,2024
"537","04","047","01501",NA,0,2024
"538","04","049","01618",NA,0,2024
"539","04","051","01723",1598.15,1,2024
"540","06","061","01891",351,1,2024
"541","06","061","01912",1913,1,2024
"542","06","061","01924",1813,1,2024
"543","06","063","01975",NA,0,2024
"544","06","064","02047",NA,0,2024
"545","06","065","02110",NA,0,2024
"546","06","065","02125",NA,0,2024
"547","08","071","02233",NA,0,2024
"548","08","074","02410",NA,0,2024
"549","08","075","02449",NA,0,2024
"550","08","075","02452",NA,0,2024
"551","08","075","02476",NA,0,2024
"552","08","070","02503",NA,0,2024
"553","08","070","02515",NA,0,2024
"554","08","070","02521",250,1,2024
"555","10","080","02680",500,1,2024
"556","10","082","02701",20.58,1,2024
"557","10","085","02890",NA,0,2024
"558","10","086","02923",14.61,1,2024
"559","10","087","02971",NA,0,2024
"560","10","087","02977",0,1,2024
"561","11","096","03163",2997,1,2024
"562","11","097","03197",3438,1,2024
"563","11","101","03208",3500,1,2024
"564","11","099","03268",NA,0,2024
"565","11","099","03295",NA,0,2024
"566","11","102","03307",501.17,1,2024
"567","11","100","03364",NA,0,2024
"568","12","106","03418",1441.62,1,2024
"569","12","106","03427",442.55,1,2024
"570","12","108","03496",3254,1,2024
"571","12","109","03568",2982.5,1,2024
"572","12","110","03618",1773.62,1,2024
"573","12","110","03634",583,1,2024
"574","12","110","03643",1942.35,1,2024
"575","14","119","03778",1200,1,2024
"576","14","120","03814",4648,1,2024
"577","14","121","03880",2916,1,2024
"578","14","122","03910",851.23,1,2024
"579","14","124","04090",1631,1,2024
"580","14","125","04117",1149.51,1,2024
"581","14","126","04186",3440,1,2024
"582","14","126","04198",2205,1,2024
"583","15","136","04429",33,1,2024
"584","15","137","04474",7588,1,2024
"585","15","138","04501",NA,0,2024
"586","15","132","04558",411,1,2024
"587","15","140","04630",NA,0,2024
"588","15","141","04726",1519.59,1,2024
"589","15","141","04765",187.12,1,2024
"590","17","150","04855",NA,0,2024
"591","17","153","05077",NA,0,2024
"592","17","155","05170",NA,0,2024
"593","17","156","05254",1941,1,2024
"594","19","169","05665",NA,0,2024
"595","19","169","05674",NA,0,2024
"596","19","171","05785",NA,0,2024
"597","19","173","05923",NA,0,2024
"598","19","173","05935",NA,0,2024
"599","19","173","05947",NA,0,2024
"600","19","173","05959",NA,0,2024
"601","20","178","05986",NA,0,2024
"602","20","182","06166",208,1,2024
"603","20","183","06196",NA,0,2024
"604","20","186","06394",NA,0,2024
"605","20","187","06517",NA,0,2024
"606","20","188","06577",NA,0,2024
"607","22","193","07048",NA,0,2024
"608","22","205","07108",NA,0,2024
"609","22","205","07111",NA,0,2024
"610","24","216","07345",NA,0,2024
"611","24","216","07366",NA,0,2024
"612","24","217","07384",NA,0,2024
"613","24","217","07396",NA,0,2024
"614","24","218","07522",NA,0,2024
"615","24","219","07570",NA,0,2024
"616","24","219","07576",NA,0,2024
"617","24","219","07597",NA,0,2024
"618","24","223","07831",NA,0,2024
"619","24","223","07834",NA,0,2024
"620","25","227","07921",NA,0,2024
"621","25","228","07954",NA,0,2024
"622","25","230","07987",NA,0,2024
"623","25","232","08179",NA,0,2024
"624","25","232","08224",NA,0,2024
"625","25","233","08275",NA,0,2024
"626","25","235","08392",NA,0,2024
"627","25","236","08443",NA,0,2024
"628","25","237","08539",NA,0,2024
"629","25","240","08620",NA,0,2024
"630","25","238","08641",NA,0,2024
"631","26","246","08833",NA,0,2024
"632","26","247","08872",NA,0,2024
"633","26","247","08875",NA,0,2024
"634","26","247","08899",NA,0,2024
"635","01","250","08986",NA,0,2024
"636","01","250","08998",NA,0,2024
"637","26","251","09061",NA,0,2024
"638","26","252","09082",NA,0,2024
"639","26","252","09103",NA,0,2024
"640","26","252","09109",NA,0,2024
"641","27","258","09232",NA,0,2024
"642","27","260","09334",NA,0,2024
"643","27","260","09340",NA,0,2024
"644","27","262","09409",NA,0,2024
"645","27","264","09526",NA,0,2024
"646","27","264","09529",NA,0,2024
"647","01","271","09697",NA,0,2024
"648","01","272","09733",NA,0,2024
"649","01","274","09850",NA,0,2024
"650","01","275","09898",NA,0,2024
"651","01","277","10027",NA,0,2024
"652","01","277","10030",NA,0,2024
"653","01","278","10180",NA,0,2024
"654","01","279","10201",NA,0,2024
"655","01","280","10303",NA,0,2024
"656","01","281","10366",NA,0,2024
"657","01","282","10501",NA,0,2024
"658","30","291","10612",NA,0,2024
"659","30","291","10618",NA,0,2024
"660","30","291","10639",NA,0,2024
"661","30","292","10705",NA,0,2024
"662","30","294","10864",NA,0,2024
"663","30","294","10876",NA,0,2024
"664","30","295","10894",NA,0,2024
"665","30","295","10927",NA,0,2024
"666","30","298","11098",NA,0,2024
"667","30","298","11119",NA,0,2024
"668","30","298","11137",NA,0,2024
"669","30","299","11203",NA,0,2024
"670","31","311","11503",NA,0,2024
"671","31","311","11524",NA,0,2024
"672","31","311","11542",NA,0,2024
"673","31","311","11563",NA,0,2024
"674","31","313","11677",NA,0,2024
"675","31","314","11722",NA,0,2024
"676","31","314","11728",NA,0,2024
"677","31","315","11761",NA,0,2024
"678","33","325","11995",NA,0,2024
"679","33","326","12028",NA,0,2024
"680","33","326","12049",NA,0,2024
"681","33","327","12058",NA,0,2024
"682","33","329","12181",NA,0,2024
"683","33","329","12184",NA,0,2024
"684","33","330","12211",NA,0,2024
"685","33","330","12247",NA,0,2024
"686","33","331","12328",NA,0,2024
"687","33","333","12403",NA,0,2024
"688","33","333","12421",NA,0,2024
"689","34","338","12484",NA,0,2024
"690","34","338","12529",NA,0,2024
"691","34","338","12550",NA,0,2024
"692","34","338","12583",NA,0,2024
"693","34","340","12703",NA,0,2024
"694","34","340","12745",NA,0,2024
"695","34","340","12784",NA,0,2024
"696","34","340","12802",NA,0,2024
"697","34","341","12964",NA,0,2024
"698","34","342","13000",NA,0,2024
"699","34","343","13102",NA,0,2024
"700","34","343","13180",NA,0,2024
"701","34","344","13216",NA,0,2024
"702","35","347","13306",NA,0,2024
"703","35","349","13351",NA,0,2024
"704","35","347","13372",NA,0,2024
"705","35","351","13453",NA,0,2024
"706","35","351","13456",NA,0,2024
"707","35","351","13486",NA,0,2024
"708","35","352","13510",NA,0,2024
"709","35","353","13600",NA,0,2024
"710","35","353","13627",NA,0,2024
"711","36","359","13780",NA,0,2024
"712","36","359","13783",NA,0,2024
"713","36","360","13870",NA,0,2024
"714","36","360","13876",NA,0,2024
"715","36","362","13972",NA,0,2024
"716","36","362","14005",NA,0,2024
"717","36","363","14047",NA,0,2024
"718","36","363","14053",NA,0,2024
"719","36","365","14176",NA,0,2024
"720","36","365","14200",NA,0,2024
"721","36","366","14239",NA,0,2024
"722","36","366","14251",NA,0,2024
"723","36","366","14314",NA,0,2024
"724","37","372","14407",NA,0,2024
"725","37","372","14434",NA,0,2024
"726","37","372","14443",NA,0,2024
"727","37","375","14569",NA,0,2024
"728","37","375","14599",NA,0,2024
"729","37","375","14611",NA,0,2024
"730","37","375","14617",NA,0,2024
"731","37","377","14710",NA,0,2024
"732","37","377","14749",NA,0,2024
"733","38","390","15178",NA,0,2024
"734","38","391","15256",NA,0,2024
"735","38","394","15463",NA,0,2024
"736","38","395","15493",NA,0,2024
"737","38","395","15598",NA,0,2024
"738","38","397","15754",NA,0,2024
"739","38","399","15886",NA,0,2024
"740","38","400","16018",NA,0,2024
"741","38","401","16096",NA,0,2024
"742","38","404","16375",NA,0,2024
"743","38","405","16402",NA,0,2024
"744","38","405","16426",NA,0,2024
"745","40","415","16747",17400.9,1,2024
"746","40","418","16882",8895,1,2024
"747","40","418","16904",4880,1,2024
"748","40","420","17077",NA,0,2024
"749","40","432","17104",NA,0,2024
"750","40","422","17233",220.26,1,2024
"751","40","423","17287",NA,0,2024
"752","40","425","17392",NA,0,2024
"753","40","425","17395",NA,0,2024
"754","40","426","17557",NA,0,2024
"755","40","426","17584",NA,0,2024
"756","40","427","17635",NA,0,2024
"757","40","427","17674",NA,0,2024
"758","40","429","17893",NA,0,2024
"759","40","430","17971",NA,0,2024
"760","42","439","18172",NA,0,2024
"761","42","439","18175",NA,0,2024
"762","42","440","18253",NA,0,2024
"763","42","440","18274",NA,0,2024
"764","42","444","18499",NA,0,2024
"765","42","444","18520",NA,0,2024
"766","42","444","18550",NA,0,2024
"767","42","446","18679",NA,0,2024
