"","MATINH","Province_name","Region","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","KYDIEUTRA","app_id","n_app","fert_type","fert_actual","formula","type_other","formula_n","formula_p","formula_k","fert_kg","area_unit","stage","count","id_ea","hh_formula","ea_formula","comm_formula","final_formula"
"141",84,"Tinh Tra Vinh","6_MRD",849,29488,13,6,29488013006,4,0,3,6,4,NA,"đạm, npk, lân. kali",NA,NA,NA,12,4,1,3,"29488013",NA,NA,NA,NA
"142",84,"Tinh Tra Vinh","6_MRD",849,29488,13,6,29488013006,4,1,3,6,4,NA,"npk. đạm. kali. lân",NA,NA,NA,15,4,5,3,"29488013",NA,NA,NA,NA
"143",84,"Tinh Tra Vinh","6_MRD",849,29488,13,6,29488013006,4,2,3,6,4,NA,"kali.npk.lân. đạm",NA,NA,NA,16,4,9,3,"29488013",NA,NA,NA,NA
"144",84,"Tinh Tra Vinh","6_MRD",849,29488,13,8,29488013008,4,0,3,6,4,NA,"đạm. npk. kali",NA,NA,NA,10,4,1,3,"29488013",NA,NA,NA,NA
"145",84,"Tinh Tra Vinh","6_MRD",849,29488,13,8,29488013008,4,1,3,6,4,NA,"đạm. npk. kali",NA,NA,NA,12,4,4,3,"29488013",NA,NA,NA,NA
"146",84,"Tinh Tra Vinh","6_MRD",849,29488,13,8,29488013008,4,2,3,6,4,NA,"đạm. npk .kali",NA,NA,NA,15,4,8,3,"29488013",NA,NA,NA,NA
"147",84,"Tinh Tra Vinh","6_MRD",849,29488,13,9,29488013009,4,0,3,6,4,NA,"DAP. ĐẠM. NPK",NA,NA,NA,10,4,1,3,"29488013",NA,NA,NA,NA
"148",84,"Tinh Tra Vinh","6_MRD",849,29488,13,9,29488013009,4,1,3,6,4,NA,"ĐẠM. NPK. DAP",NA,NA,NA,15,4,3,3,"29488013",NA,NA,NA,NA
"149",84,"Tinh Tra Vinh","6_MRD",849,29488,13,9,29488013009,4,2,3,6,4,NA,"NPK. ĐẠM. DAP",NA,NA,NA,10,4,8,3,"29488013",NA,NA,NA,NA
"150",84,"Tinh Tra Vinh","6_MRD",849,29488,13,10,29488013010,4,0,3,6,4,NA,"NPK. DAP. ĐẠM",NA,NA,NA,12,4,1,3,"29488013",NA,NA,NA,NA
"151",84,"Tinh Tra Vinh","6_MRD",849,29488,13,10,29488013010,4,1,3,6,4,NA,"NPK. DAP.ĐẠM",NA,NA,NA,15,4,5,3,"29488013",NA,NA,NA,NA
"152",84,"Tinh Tra Vinh","6_MRD",849,29488,13,10,29488013010,4,2,3,6,4,NA,"DAP. NPK.ĐẠM",NA,NA,NA,15,4,9,3,"29488013",NA,NA,NA,NA
"153",84,"Tinh Tra Vinh","6_MRD",849,29488,13,11,29488013011,4,0,3,6,4,NA,"ĐẠM. NPK. KALI",NA,NA,NA,10,4,1,3,"29488013",NA,NA,NA,NA
"154",84,"Tinh Tra Vinh","6_MRD",849,29488,13,11,29488013011,4,1,3,6,4,NA,"ĐẠM. NPK. DAP. KALI",NA,NA,NA,15,4,5,3,"29488013",NA,NA,NA,NA
"155",84,"Tinh Tra Vinh","6_MRD",849,29488,13,11,29488013011,4,2,3,6,4,NA,"ĐẠM. DAP. NPK",NA,NA,NA,12,4,9,3,"29488013",NA,NA,NA,NA
"156",84,"Tinh Tra Vinh","6_MRD",849,29488,13,12,29488013012,4,1,3,6,4,NA,"ĐẠM. KALI. NPK. DAP",NA,NA,NA,12,4,1,3,"29488013",NA,NA,NA,NA
"157",84,"Tinh Tra Vinh","6_MRD",849,29488,13,12,29488013012,4,2,3,6,4,NA,"NPK. ĐẠM. DAP",NA,NA,NA,15,4,5,3,"29488013",NA,NA,NA,NA
"158",84,"Tinh Tra Vinh","6_MRD",849,29488,13,12,29488013012,4,3,3,6,4,NA,"ĐẠM. DAP. NPK",NA,NA,NA,15,4,9,3,"29488013",NA,NA,NA,NA
"159",84,"Tinh Tra Vinh","6_MRD",849,29488,13,15,29488013015,4,0,3,6,4,NA,"DAP. ĐẠM. NPK",NA,NA,NA,15,4,1,3,"29488013",NA,NA,NA,NA
"160",84,"Tinh Tra Vinh","6_MRD",849,29488,13,15,29488013015,4,1,3,6,4,NA,"DAP. ĐẠM. NPK",NA,NA,NA,15,4,4,3,"29488013",NA,NA,NA,NA
"161",84,"Tinh Tra Vinh","6_MRD",849,29488,13,15,29488013015,4,2,3,6,4,NA,"Đạm. NPK. DAP",NA,NA,NA,12,4,9,3,"29488013",NA,NA,NA,NA
