"","MATINH","Province_name","Region","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","KYDIEUTRA","app_id","n_app","fert_type","fert_actual","formula","type_other","formula_n","formula_p","formula_k","fert_kg","area_unit","stage","count","id_ea","hh_formula","ea_formula","comm_formula","final_formula"
"30",31,"Thanh pho Hai Phong","1_RRD",314,11722,8,6,11722008006,2,1,3,6,4,NA,"phân tổng hợp",NA,NA,NA,4,2,9,3,"11722008",NA,NA,NA,NA
"31",31,"Thanh pho Hai Phong","1_RRD",314,11722,8,9,11722008009,2,0,3,6,4,NA,"phân tổng hợp",NA,NA,NA,4,2,1,3,"11722008",NA,NA,NA,NA
"32",31,"Thanh pho Hai Phong","1_RRD",314,11722,8,9,11722008009,2,1,3,6,4,NA,"phân tổng hợp",NA,NA,NA,4,2,8,3,"11722008",NA,NA,NA,NA
"33",31,"Thanh pho Hai Phong","1_RRD",314,11722,8,12,11722008012,2,0,3,6,4,NA,"phân tổng hợp",NA,NA,NA,4,2,0,3,"11722008",NA,NA,NA,NA
"34",31,"Thanh pho Hai Phong","1_RRD",314,11722,8,12,11722008012,2,1,3,6,4,NA,"phân tổng hợp",NA,NA,NA,4,2,9,3,"11722008",NA,NA,NA,NA
"35",31,"Thanh pho Hai Phong","1_RRD",314,11722,8,12,11722008012,2,2,3,6,4,NA,"phân tổng hợp",NA,NA,NA,2,2,12,3,"11722008",NA,NA,NA,NA
"36",31,"Thanh pho Hai Phong","1_RRD",314,11722,8,14,11722008014,2,1,3,6,4,NA,"phân đạm npk",NA,NA,NA,4,2,8,3,"11722008",NA,NA,NA,NA
"37",52,"Tinh Binh Dinh","3_NCCCA",543,21637,22,2,21637022002,2,0,3,6,4,NA,"hồn hợp",NA,NA,NA,7,3,1,3,"21637022",NA,NA,NA,NA
"38",52,"Tinh Binh Dinh","3_NCCCA",543,21637,22,2,21637022002,2,1,3,6,4,NA,"hổn hợp",NA,NA,NA,8,3,3,3,"21637022",NA,NA,NA,NA
"39",52,"Tinh Binh Dinh","3_NCCCA",543,21637,22,2,21637022002,2,2,3,6,4,NA,"hổn hợp",NA,NA,NA,6,3,4,3,"21637022",NA,NA,NA,NA
"40",52,"Tinh Binh Dinh","3_NCCCA",543,21637,22,12,21637022012,2,0,4,6,4,NA,"hõn hợp",NA,NA,NA,3,3,1,4,"21637022",NA,NA,NA,NA
