"","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","KYDIEUTRA","water_source","other_source","laser","pipe","STT","stage","n_day","reason","sink_feet","count","n_drydown"
"66",2,34,1186,11,6,1186011006,1,4,NA,2,2,NA,NA,NA,NA,NA,1,0
"67",2,34,1186,11,9,1186011009,1,4,NA,2,2,0,3,2,6,2,1,1
"68",2,34,1186,11,10,1186011010,1,2,NA,99,NA,NA,NA,NA,NA,NA,1,0
"69",2,34,1186,11,11,1186011011,1,3,NA,99,2,NA,NA,NA,NA,NA,1,0
"70",2,34,1186,11,12,1186011012,1,4,NA,99,2,NA,NA,NA,NA,NA,1,0
"71",2,34,1186,11,13,1186011013,1,3,NA,2,2,NA,NA,NA,NA,NA,1,0
"72",2,34,1186,11,14,1186011014,1,2,NA,2,NA,0,4,1,6,1,1,1
"73",2,34,1186,11,15,1186011015,1,2,NA,2,NA,0,2,1,6,1,1,1
"74",2,34,1186,11,16,1186011016,1,3,NA,99,2,NA,NA,NA,NA,NA,1,0
"75",4,42,1318,9,1,1318009001,1,4,NA,2,2,0,9,6,1,2,1,1
"76",4,42,1318,9,2,1318009002,1,4,NA,2,2,0,9,7,1,2,1,1
"77",4,42,1318,9,3,1318009003,1,4,NA,2,2,0,9,7,1,3,1,1
"78",4,42,1318,9,4,1318009004,1,4,NA,2,2,0,16,10,1,3,1,1
"79",4,42,1318,9,5,1318009005,1,4,NA,2,2,0,14,8,1,4,1,1
"80",4,42,1318,9,6,1318009006,1,4,NA,2,2,0,15,9,1,4,1,1
"81",4,42,1318,9,7,1318009007,1,4,NA,2,2,0,16,12,1,3,1,1
"82",4,42,1318,9,9,1318009009,1,4,NA,2,2,NA,NA,NA,NA,NA,1,0
"83",4,42,1318,9,10,1318009010,1,4,NA,2,2,NA,NA,NA,NA,NA,1,0
"84",4,42,1318,9,11,1318009011,1,4,NA,2,2,NA,NA,NA,NA,NA,1,0
"85",4,42,1318,9,12,1318009012,1,4,NA,2,2,0,16,5,1,8,1,1
"86",4,42,1318,9,13,1318009013,1,4,NA,2,2,0,17,5,1,3,1,1
"87",4,42,1318,9,14,1318009014,1,4,NA,2,2,0,9,5,1,4,1,1
"88",4,42,1318,9,15,1318009015,1,4,NA,2,2,0,17,7,1,5,1,1
"89",4,43,1321,11,2,1321011002,1,5,"nước chảy tự nhiên qua hệ thống kênh mương thủy lợi",2,NA,0,9,2,6,3,2,2
"90",4,43,1321,11,2,1321011002,1,5,"nước chảy tự nhiên qua hệ thống kênh mương thủy lợi",2,NA,1,17,6,1,0,2,2
"91",4,43,1321,11,3,1321011003,1,5,"nước chạy tự nhiên bằng mương thủy lợi",2,NA,0,6,1,6,10,3,3
"92",4,43,1321,11,3,1321011003,1,5,"nước chạy tự nhiên bằng mương thủy lợi",2,NA,1,11,1,6,10,3,3
"93",4,43,1321,11,3,1321011003,1,5,"nước chạy tự nhiên bằng mương thủy lợi",2,NA,3,17,5,1,0,3,3
"94",4,43,1321,11,4,1321011004,1,5,"nước chảy tự nhiên qua hệ thống mương",2,NA,0,5,2,6,5,2,2
"95",4,43,1321,11,4,1321011004,1,5,"nước chảy tự nhiên qua hệ thống mương",2,NA,1,17,5,1,0,2,2
"96",4,43,1321,11,6,1321011006,1,4,NA,2,2,0,5,5,6,3,1,1
"97",4,43,1321,11,7,1321011007,1,4,NA,99,2,NA,NA,NA,NA,NA,1,0
"98",4,43,1321,11,8,1321011008,1,4,NA,99,2,NA,NA,NA,NA,NA,1,0
"99",4,43,1321,11,9,1321011009,1,4,NA,99,2,NA,NA,NA,NA,NA,1,0
