"","MATINH","Province_name","Region","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","KYDIEUTRA","app_id","n_app","fert_type","type_other","formula_n","formula_p","formula_k","fert_kg","area_unit","stage","count"
"49",2,"Tinh Ha Giang","2_NMMA",31,1006,7,9,1006007009,1,0,1,1,NA,46,0,0,3,1,3,1
"50",2,"Tinh Ha Giang","2_NMMA",31,1006,7,11,1006007011,1,0,1,1,NA,46,0,0,3,1,5,1
"51",2,"Tinh Ha Giang","2_NMMA",31,1006,7,12,1006007012,1,0,1,1,NA,46,0,0,2,1,6,1
"52",2,"Tinh Ha Giang","2_NMMA",31,1006,7,13,1006007013,1,0,1,1,NA,46,0,0,2,1,2,1
"53",2,"Tinh Ha Giang","2_NMMA",31,1006,7,15,1006007015,1,0,1,1,NA,46,0,0,3,1,3,1
"54",2,"Tinh Ha Giang","2_NMMA",32,1057,1,1,1057001001,1,NA,0,NA,NA,NA,NA,NA,NA,2,NA,1
"55",2,"Tinh Ha Giang","2_NMMA",32,1057,1,2,1057001002,1,NA,0,NA,NA,NA,NA,NA,NA,2,NA,1
"56",2,"Tinh Ha Giang","2_NMMA",32,1057,1,3,1057001003,1,NA,0,NA,NA,NA,NA,NA,NA,2,NA,1
"57",2,"Tinh Ha Giang","2_NMMA",32,1057,1,4,1057001004,1,NA,0,NA,NA,NA,NA,NA,NA,2,NA,1
"58",2,"Tinh Ha Giang","2_NMMA",32,1057,1,5,1057001005,1,NA,0,NA,NA,NA,NA,NA,NA,2,NA,1
"59",2,"Tinh Ha Giang","2_NMMA",32,1057,1,6,1057001006,1,NA,0,NA,NA,NA,NA,NA,NA,2,NA,1
"60",2,"Tinh Ha Giang","2_NMMA",32,1057,1,7,1057001007,1,NA,0,NA,NA,NA,NA,NA,NA,2,NA,1
"61",2,"Tinh Ha Giang","2_NMMA",32,1057,1,8,1057001008,1,NA,0,NA,NA,NA,NA,NA,NA,2,NA,1
"62",2,"Tinh Ha Giang","2_NMMA",32,1057,1,9,1057001009,1,NA,0,NA,NA,NA,NA,NA,NA,2,NA,1
"63",2,"Tinh Ha Giang","2_NMMA",32,1057,1,10,1057001010,1,NA,0,NA,NA,NA,NA,NA,NA,2,NA,1
"64",2,"Tinh Ha Giang","2_NMMA",32,1057,1,11,1057001011,1,NA,0,NA,NA,NA,NA,NA,NA,2,NA,1
"65",2,"Tinh Ha Giang","2_NMMA",32,1057,1,12,1057001012,1,NA,0,NA,NA,NA,NA,NA,NA,2,NA,1
"66",2,"Tinh Ha Giang","2_NMMA",32,1057,1,13,1057001013,1,NA,0,NA,NA,NA,NA,NA,NA,2,NA,1
"67",2,"Tinh Ha Giang","2_NMMA",32,1057,1,14,1057001014,1,NA,0,NA,NA,NA,NA,NA,NA,2,NA,1
"68",2,"Tinh Ha Giang","2_NMMA",32,1057,1,15,1057001015,1,NA,0,NA,NA,NA,NA,NA,NA,2,NA,1
"69",2,"Tinh Ha Giang","2_NMMA",34,1171,4,2,1171004002,1,0,2,4,NA,21,21,21,100,1,3,2
"70",2,"Tinh Ha Giang","2_NMMA",34,1171,4,2,1171004002,1,1,2,4,NA,21,21,21,100,1,3,2
"71",2,"Tinh Ha Giang","2_NMMA",34,1171,4,13,1171004013,1,0,2,4,NA,20,20,10,1.5,2,12,2
"72",2,"Tinh Ha Giang","2_NMMA",34,1171,4,13,1171004013,1,1,2,3,NA,NA,NA,NA,100,2,15,2
"73",2,"Tinh Ha Giang","2_NMMA",34,1171,4,15,1171004015,1,0,2,4,NA,16,16,8,23,2,5,2
"74",2,"Tinh Ha Giang","2_NMMA",34,1171,4,15,1171004015,1,1,2,3,NA,NA,NA,NA,3,2,7,2
"75",2,"Tinh Ha Giang","2_NMMA",34,1186,11,1,1186011001,1,0,3,4,NA,20,20,15,0.05,1,3,3
"76",2,"Tinh Ha Giang","2_NMMA",34,1186,11,1,1186011001,1,1,3,4,NA,20,20,15,0.05,1,10,3
"77",2,"Tinh Ha Giang","2_NMMA",34,1186,11,1,1186011001,1,2,3,4,NA,20,20,15,0.05,1,8,3
"78",2,"Tinh Ha Giang","2_NMMA",34,1186,11,2,1186011002,1,0,2,4,NA,20,20,20,27,2,2,2
"79",2,"Tinh Ha Giang","2_NMMA",34,1186,11,2,1186011002,1,1,2,4,NA,20,20,50,25,2,3,2
"80",2,"Tinh Ha Giang","2_NMMA",34,1186,11,3,1186011003,1,0,1,2,NA,NA,NA,NA,0.1,1,0,1
"81",2,"Tinh Ha Giang","2_NMMA",34,1186,11,5,1186011005,1,0,3,4,NA,20,10,15,7.5,2,2,3
"82",2,"Tinh Ha Giang","2_NMMA",34,1186,11,5,1186011005,1,1,3,4,NA,20,15,10,6.5,2,2,3
"83",2,"Tinh Ha Giang","2_NMMA",34,1186,11,5,1186011005,1,2,3,4,NA,20,15,10,4.3,2,3,3
"84",2,"Tinh Ha Giang","2_NMMA",34,1186,11,6,1186011006,1,0,3,4,NA,20,20,15,2,1,2,3
"85",2,"Tinh Ha Giang","2_NMMA",34,1186,11,6,1186011006,1,1,3,4,NA,20,20,15,2,1,5,3
"86",2,"Tinh Ha Giang","2_NMMA",34,1186,11,6,1186011006,1,2,3,4,NA,20,20,15,2,1,9,3
"87",2,"Tinh Ha Giang","2_NMMA",34,1186,11,9,1186011009,1,0,2,4,NA,20,20,20,1.13,2,5,2
"88",2,"Tinh Ha Giang","2_NMMA",34,1186,11,9,1186011009,1,1,2,4,NA,20,20,20,97.2,2,2,2
"89",2,"Tinh Ha Giang","2_NMMA",34,1186,11,10,1186011010,1,0,2,4,NA,20,10,8,5,2,2,2
"90",2,"Tinh Ha Giang","2_NMMA",34,1186,11,10,1186011010,1,1,2,4,NA,20,10,8,4.3,2,3,2
