MATINH,IDHO,MAHUYEN,MAXA,MADIABAN,HOSO,breeding_main_variety,Correct_name.DNA2,breeding_seed_origin,breeding_seed_duration,Decision,Convergence.on.Year,IRRI_Parentage,Saltol,qSub1,breeding_certified_seed,KYDIEUTRA,mech_mini_combiner,mech_combine_harvester,mech_straw_baler,mech_row_seeder,mech_seed_blower,straw_burn,straw_incorporated_soil,straw_mulching,straw_other,straw_remove_completely,straw_remove_partly,straw_rm_compost,straw_rm_cooking,straw_rm_livestock,straw_rm_mushroom,straw_rm_other,straw_rm_sold,panel,weight_final_rice,weight_rice_DNA,THUNHAP,TONGCHITIEU,ethnic,rls_head,age,edu_grade,n_member,male,female,internet,land_area_sum,poor_commune,dummy_main_str,dist_main_str,type_main_str,dummy_local_market_wholesale,dist_market_wholesale,dummy_ext_center,dist_ext_center,farmer_participation_pct,dummy_protection_staff,main_str_asphalt,IRRI_Parentage_edited,Quintiles,Bottom_20,Bottom_40,Sub1
51,21415004008,533,21415,004,008,,,,,,,,,,,5,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2022,380.445391887174,,278208,,0,1,58,8,3,1,0,1,2400,0,1,,1,0,25,0,10,,1,1,0,,,,
51,21415004009,533,21415,004,009,,,,,,,,,,,5,0,1,0,0,0,0,0,0,1,0,0,,,,,,,2022,380.445391887174,,132123,,0,1,55,6,3,0,1,0,1100,0,1,,1,0,25,0,10,,1,1,0,,,,
51,21415004010,533,21415,004,010,,,,,,,,,,,5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,380.445391887174,,86305,,0,1,67,12,2,1,0,1,2000,0,1,,1,0,25,0,10,,1,1,0,,,,
51,21415004012,533,21415,004,012,,,,,,,,,,,5,0,1,0,0,0,0,0,0,1,0,0,,,,,,,2022,380.445391887174,,452018,,0,1,50,9,4,1,0,1,2500,0,1,,1,0,25,0,10,,1,1,0,,,,
51,21415004013,533,21415,004,013,,,,,,,,,,,5,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2022,380.445391887174,,25775,25649,0,1,94,,2,0,1,0,1060,0,1,,1,0,25,0,10,,1,1,0,1,1,1,
51,21415004014,533,21415,004,014,,,,,,,,,,,5,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,380.445391887174,,92340,145897,0,1,42,9,5,1,0,1,2000,0,1,,1,0,25,0,10,,1,1,0,5,0,0,
51,21415004015,533,21415,004,015,,,,,,,,,,,5,0,1,0,0,0,0,0,0,1,0,0,,,,,,,2022,380.445391887174,,150672,113790.5,0,1,43,7,4,1,0,1,595,0,1,,1,0,25,0,10,,1,1,0,4,0,0,
51,21439006002,534,21439,006,002,,,,,,,,,,,10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2022,555.529502724126,,135114,,0,1,51,10,4,1,0,1,1280,,,,,,5,,5,,,,0,,,,
51,21439006008,534,21439,006,008,,,,,,,,,,,10,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,555.529502724126,,103968,,0,1,45,6,3,0,1,1,500,,,,,,5,,5,,,,0,,,,
51,21439006010,534,21439,006,010,,,,,,,,,,,10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2022,555.529502724126,,190174,,0,1,40,0,4,1,0,1,570,,,,,,5,,5,,,,0,,,,
51,21439006011,534,21439,006,011,,,,,,,,,,,10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2022,555.529502724126,,68580,,0,1,51,6,3,0,1,1,4000,,,,,,5,,5,,,,0,,,,
51,21442014002,534,21442,014,002,,,,,,,,,,,11,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,601.418780712437,,58996,,0,1,59,5,2,1,0,1,2666,0,1,,1,0,17,0,17,,0,1,0,,,,
51,21442014003,534,21442,014,003,,,,,,,,,,,11,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,601.418780712437,,34368,,0,1,67,4,2,1,0,1,4050,0,1,,1,0,17,0,17,,0,1,0,,,,
51,21442014006,534,21442,014,006,,,,,,,,,,,11,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,601.418780712437,,330704,,0,1,64,7,6,0,1,1,5950,0,1,,1,0,17,0,17,,0,1,0,,,,
51,21442014007,534,21442,014,007,,,,,,,,,,,11,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,601.418780712437,,163187,,0,1,52,12,3,1,0,1,1700,0,1,,1,0,17,0,17,,0,1,0,,,,
51,21442014008,534,21442,014,008,,,,,,,,,,,11,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,601.418780712437,,180061,,0,1,62,3,5,0,1,0,4365,0,1,,1,0,17,0,17,,0,1,0,,,,
51,21442014009,534,21442,014,009,,,,,,,,,,,11,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,601.418780712437,,38545,,0,1,79,10,2,1,0,1,3000,0,1,,1,0,17,0,17,,0,1,0,,,,
51,21442014010,534,21442,014,010,,,,,,,,,,,11,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,601.418780712437,,222526,,0,1,53,7,8,1,0,1,3470,0,1,,1,0,17,0,17,,0,1,0,,,,
51,21442014011,534,21442,014,011,,,,,,,,,,,11,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,601.418780712437,,229966,,0,1,58,6,4,1,0,1,2700,0,1,,1,0,17,0,17,,0,1,0,,,,
51,21445015001,534,21445,015,001,,,,,,,,,,,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2022,353.078634932829,,125400,,0,1,45,12,5,1,0,1,1750,0,1,,1,0,12,0,12,,0,1,0,,,,
51,21445015002,534,21445,015,002,,,,,,,,,,,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,353.078634932829,,188758,,0,1,54,4,5,1,0,0,7000,0,1,,1,0,12,0,12,,0,1,0,,,,
51,21445015003,534,21445,015,003,,,,,,,,,,,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,353.078634932829,,52152,36033,0,1,55,9,2,1,0,1,4400,0,1,,1,0,12,0,12,,0,1,0,1,1,1,
51,21445015005,534,21445,015,005,,,,,,,,,,,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,353.078634932829,,17604,,0,1,64,8,1,0,1,1,750,0,1,,1,0,12,0,12,,0,1,0,,,,
51,21445015006,534,21445,015,006,,,,,,,,,,,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,353.078634932829,,156540,,0,1,48,9,5,1,0,1,3000,0,1,,1,0,12,0,12,,0,1,0,,,,
51,21445015007,534,21445,015,007,,,,,,,,,,,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,353.078634932829,,49392,,0,1,72,5,2,1,0,0,1700,0,1,,1,0,12,0,12,,0,1,0,,,,
51,21445015008,534,21445,015,008,,,,,,,,,,,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,353.078634932829,,31800,27848,0,1,64,1,2,1,0,1,4160,0,1,,1,0,12,0,12,,0,1,0,1,1,1,
51,21445015009,534,21445,015,009,,,,,,,,,,,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,353.078634932829,,180237,,0,1,66,7,5,1,0,1,3000,0,1,,1,0,12,0,12,,0,1,0,,,,
51,21445015010,534,21445,015,010,,,,,,,,,,,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,353.078634932829,,41014,,0,1,75,3,2,1,0,0,3220,0,1,,1,0,12,0,12,,0,1,0,,,,
51,21445015011,534,21445,015,011,,,,,,,,,,,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,353.078634932829,,100225,,0,1,46,12,4,1,0,1,1680,0,1,,1,0,12,0,12,,0,1,0,,,,
51,21445015012,534,21445,015,012,,,,,,,,,,,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,353.078634932829,,63686,,0,1,52,9,3,1,0,0,5150,0,1,,1,0,12,0,12,,0,1,0,,,,
51,21445015013,534,21445,015,013,,,,,,,,,,,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,353.078634932829,,50293,50073,0,1,45,9,3,1,0,1,1040,0,1,,1,0,12,0,12,,0,1,0,2,0,1,
51,21445015014,534,21445,015,014,,,,,,,,,,,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2022,353.078634932829,,54526,,0,1,48,9,4,1,0,1,2512,0,1,,1,0,12,0,12,,0,1,0,,,,
51,21445015015,534,21445,015,015,,,,,,,,,,,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,353.078634932829,,109583,,0,1,49,9,4,1,0,1,2750,0,1,,1,0,12,0,12,,0,1,0,,,,
51,21475001001,534,21475,001,001,,,,,,,,,,,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,404.183822752349,,114434,,0,1,69,5,4,1,0,0,11250,0,1,,1,0,10,0,10,,0,1,0,,,,
51,21475001003,534,21475,001,003,,,,,,,,,,,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,404.183822752349,,209905,,0,1,62,9,4,1,0,0,4000,0,1,,1,0,10,0,10,,0,1,0,,,,
51,21475001004,534,21475,001,004,,,,,,,,,,,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,404.183822752349,,96813,,0,1,33,10,4,1,0,1,12500,0,1,,1,0,10,0,10,,0,1,0,,,,
51,21475001005,534,21475,001,005,,,,,,,,,,,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,404.183822752349,,85571,,0,1,63,9,3,1,0,0,7000,0,1,,1,0,10,0,10,,0,1,0,,,,
51,21475001006,534,21475,001,006,,,,,,,,,,,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,404.183822752349,,91837,,0,1,47,9,3,1,0,1,2150,0,1,,1,0,10,0,10,,0,1,0,,,,
51,21475001008,534,21475,001,008,,,,,,,,,,,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,404.183822752349,,62880,,0,1,52,4,2,0,1,0,4700,0,1,,1,0,10,0,10,,0,1,0,,,,
51,21475001010,534,21475,001,010,,,,,,,,,,,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,404.183822752349,,34596,,0,1,54,6,1,1,0,0,3416,0,1,,1,0,10,0,10,,0,1,0,,,,
51,21475001011,534,21475,001,011,,,,,,,,,,,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,404.183822752349,,41181,,0,1,53,5,2,0,1,1,3950,0,1,,1,0,10,0,10,,0,1,0,,,,
51,21475001012,534,21475,001,012,,,,,,,,,,,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,404.183822752349,,36098,,0,1,65,12,2,1,0,0,7020,0,1,,1,0,10,0,10,,0,1,0,,,,
51,21475001013,534,21475,001,013,,,,,,,,,,,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,404.183822752349,,213793,37354.5,0,1,57,7,2,1,0,1,10150,0,1,,1,0,10,0,10,,0,1,0,1,1,1,
51,21475001014,534,21475,001,014,,,,,,,,,,,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,404.183822752349,,19825,18924,0,1,56,3,1,0,1,0,2000,0,1,,1,0,10,0,10,,0,1,0,1,1,1,
51,21475001015,534,21475,001,015,,,,,,,,,,,4,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2022,404.183822752349,,103377,100647,0,1,40,9,5,1,0,1,3883,0,1,,1,0,10,0,10,,0,1,0,4,0,0,
51,21490013001,535,21490,013,001,,,,,,,,,,,9,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,531.112832590521,,59436,,1,1,42,,3,1,0,0,2000,1,1,,1,0,0,0,15,,0,1,0,,,,
51,21490013002,535,21490,013,002,,,,,,,,,,,9,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2022,531.112832590521,,33119,,1,1,50,,2,1,0,0,1000,1,1,,1,0,0,0,15,,0,1,0,,,,
51,21490013004,535,21490,013,004,,,,,,,,,,,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2022,531.112832590521,,63180,,1,1,39,7,5,1,0,1,1500,1,1,,1,0,0,0,15,,0,1,0,,,,
