"","IDHO","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","STT","M4B51A_C6","M4B51A_C7","M4B51A_C8","M4B51A_C9","M4B51A_C9_GHIRO","M4B51A_C10","M4B51A_C11"
"77","24685008003","67","663","24685","008","003",2,0,1,300,5,1,NA,3,2
"78","32048024006","96","966","32048","024","006",2,1,1,10000,1,1,NA,2,1
"79","32048024008","96","966","32048","024","008",2,1,1,6500,1,1,NA,2,1
"80","32048024012","96","966","32048","024","012",2,1,3,9500,0.9,1,NA,2,1
"81","32048024013","96","966","32048","024","013",2,1,3,6500,1,1,NA,2,1
"82","32069008001","96","967","32069","008","001",2,0,1,19440,0.5,1,NA,3,2
"83","32069008002","96","967","32069","008","002",2,1,1,12960,0.6,1,NA,3,2
"84","32069008003","96","967","32069","008","003",2,0,1,10000,0.6,1,NA,3,2
"85","32069008003","96","967","32069","008","003",2,1,1,10000,0.6,1,NA,3,2
"86","32069008003","96","967","32069","008","003",2,2,1,10000,0.7,1,NA,3,2
"87","32069008003","96","967","32069","008","003",2,3,1,10000,0.6,1,NA,3,2
"88","32069008005","96","967","32069","008","005",2,0,1,16000,0.5,1,NA,3,2
"89","32069008006","96","967","32069","008","006",2,0,1,19440,0.6,1,NA,3,2
"90","32069008007","96","967","32069","008","007",2,1,1,12960,0.5,1,NA,3,2
"91","32077027002","96","967","32077","027","002",2,0,1,7128,0.6,1,NA,3,2
"92","32077027003","96","967","32077","027","003",2,0,1,15000,0.3,1,NA,3,2
"93","32077027004","96","967","32077","027","004",2,0,1,25920,0.4,1,NA,3,2
"94","32077027005","96","967","32077","027","005",2,0,1,60000,0.5,1,NA,3,2
"95","32077027006","96","967","32077","027","006",2,0,1,30000,0.5,1,NA,3,2
"96","32077027007","96","967","32077","027","007",2,0,1,23328,0.5,1,NA,3,2
"97","32077027012","96","967","32077","027","012",2,0,1,5184,0.6,1,NA,3,2
"98","32077027014","96","967","32077","027","014",2,0,1,12000,0.6,1,NA,3,2
"99","32077027015","96","967","32077","027","015",2,0,1,60000,0.5,1,NA,3,2
"100","32125012002","96","968","32125","012","002",2,0,3,10000,0.7,3,NA,3,2
"101","32125012003","96","968","32125","012","003",2,0,3,3888,0.8,3,NA,2,2
"102","32125012003","96","968","32125","012","003",2,1,3,5184,0.7,3,NA,2,2
"103","32125012004","96","968","32125","012","004",2,0,3,25000,0.7,3,NA,3,2
"104","32125012006","96","968","32125","012","006",2,0,3,11000,0.7,3,NA,3,2
"105","32125012007","96","968","32125","012","007",2,0,3,12960,0.8,3,NA,2,2
"106","32125012008","96","968","32125","012","008",2,0,3,2000,0.7,3,NA,3,2
"107","32125012009","96","968","32125","012","009",2,0,3,5832,1,3,NA,2,2
"108","32125012010","96","968","32125","012","010",2,0,3,7776,0.8,3,NA,2,2
"109","32125012011","96","968","32125","012","011",2,0,3,5200,0.7,3,NA,3,2
"110","32125012012","96","968","32125","012","012",2,0,3,28512,0.9,3,NA,2,2
"111","32125012013","96","968","32125","012","013",2,0,3,30000,0.7,3,NA,2,2
"112","32125012014","96","968","32125","012","014",2,0,3,12960,0.7,3,NA,3,2
"113","32143010002","96","969","32143","010","002",2,0,3,3000,1,1,NA,2,2
"114","32143010003","96","969","32143","010","003",2,0,3,6500,1.1,1,NA,2,2
"115","32143010004","96","969","32143","010","004",2,0,3,6100,1.5,1,NA,2,2
"116","32143010005","96","969","32143","010","005",2,0,3,4000,1.2,1,NA,2,2
"117","32143010006","96","969","32143","010","006",2,0,3,8000,1.1,1,NA,2,2
"118","32143010007","96","969","32143","010","007",2,0,3,3400,1.4,1,NA,2,2
"119","32143010008","96","969","32143","010","008",2,0,3,28000,1.1,1,NA,2,2
"120","32143010009","96","969","32143","010","009",2,0,3,19000,1,1,NA,2,2
"121","32143010010","96","969","32143","010","010",2,0,3,6000,1.2,5,"ao, ruộng",2,2
"122","32143010011","96","969","32143","010","011",2,0,3,11000,1,1,NA,2,2
"123","32143010012","96","969","32143","010","012",2,0,3,30000,1.1,1,NA,4,2
"124","32143010013","96","969","32143","010","013",2,0,3,20000,1.6,1,NA,2,2
"125","32143010014","96","969","32143","010","014",2,0,3,5600,1.2,1,NA,2,2
"126","32143010015","96","969","32143","010","015",2,0,3,10400,1,1,NA,4,2
"127","32236002010","96","973","32236","002","010",2,0,1,60000,1.2,1,NA,2,2
"128","32236002014","96","973","32236","002","014",2,0,1,4000,1.2,1,NA,2,2
"129","00811007004","02","027","00811","007","004",1,0,1,250,0.8,1,NA,3,2
"130","01666003008","04","051","01666","003","008",1,0,1,300,1.2,1,NA,2,2
"131","02275005001","08","072","02275","005","001",1,0,1,800,10,1,NA,2,2
"132","02275005005","08","072","02275","005","005",1,0,1,800,10,1,NA,2,2
"133","02383006001","08","074","02383","006","001",1,0,1,360,2,2,NA,3,2
"134","02383006002","08","074","02383","006","002",1,0,1,360,1.2,2,NA,2,2
"135","02383006010","08","074","02383","006","010",1,0,1,360,1,5,"nước tự nhiên",3,2
"136","02542011007","08","076","02542","011","007",1,0,1,360,3,5,"nước nguồn",2,2
"137","02542011008","08","076","02542","011","008",1,0,1,900,2.3,5,"nước nguồn",2,2
"138","02554001003","08","076","02554","001","003",1,0,1,300,1,1,NA,2,2
"139","02572016007","08","076","02572","016","007",1,0,1,360,2,1,NA,3,2
"140","02734008008","10","082","02734","008","008",1,0,1,2000,2,1,NA,2,2
"141","02734008012","10","082","02734","008","012",1,0,1,1000,1.5,1,NA,2,2
"142","04537008003","15","138","04537","008","003",1,0,1,360,1,1,NA,1,2
"143","04537008013","15","138","04537","008","013",1,0,1,192,1.2,5,"nước khe mó",2,2
"144","04768003008","15","141","04768","003","008",1,0,1,360,1.5,1,NA,2,2
