"","MATINH","ID","X","IDHO","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","M4B12A1_C0A","M4B12A1_C0B","M4B12A1_C0C","M4B12A1_C0D","M4B12A2_C1","M4B12A2_C1A","M4B12A2_C1A_GHIRO","M4B12A3_TENTR","M4B12A3_C2","M4B12A3_C3","M4B12A3_C4","M4B12A3_C5","M4B12A3_C6","M4B12A3_C6_GHIRO","M4B12A3_C7","M4B12A3_C8","M4B12A3_C91","M4B12A3_C92","M4B12A3_C93","M4B12A3_C94","M4B12A3_C95","M4B12A3_C10D","M4B12A3_C10M","M4B12A3_C11","M4B12A4_C1","M4B12A4_KD","M4B12A4_VD","M4B12A1_MA","M4B12A1_C1","M4B12A1_C1_GHIRO","M4B12A1_C2","M4B12A1_C3","M4B12A1_C4","M4B12A1_C5","M4B12A1_C6","Province_name","Region"
"20",2,"2-34-1186011001",846,1186011001,34,1186,11,1,1,2,2,2,1,1,NA,NA,"THỬA 1",1,1,"sắn cao sản",99,5,NA,5,2,1,2,2,2,1,9,3,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha Giang","NMMA"
"21",2,"2-34-1186011005",847,1186011005,34,1186,11,5,1,2,2,2,1,1,NA,NA,"THÔN CHANG",1,1,"sắn lai",1,5,NA,3,2,2,2,1,1,1,9,3,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha Giang","NMMA"
"22",2,"2-34-1186011010",848,1186011010,34,1186,11,10,1,2,2,2,1,1,NA,NA,"THÔN CHANG",1,1,"cao sản",2,6,NA,2,2,1,2,1,1,1,9,3,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha Giang","NMMA"
"23",2,"2-34-1186011011",849,1186011011,34,1186,11,11,1,1,2,2,2,1,NA,NA,"THỬA 1",1,1,"sắn",1,5,NA,0,1,1,1,1,1,1,4,3,33,NA,NA,NA,1,1,NA,"99",1153,1,NA,943,"Ha Giang","NMMA"
"24",2,"2-34-1189008001",415,1189008001,34,1189,8,1,2,2,2,2,1,1,NA,NA,"MINH TÂN",1,1,"Giống địa phương",1,6,NA,12,2,2,1,1,1,1,14,5,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha Giang","NMMA"
"25",2,"2-34-1189008002",416,1189008002,34,1189,8,2,2,2,2,2,1,1,NA,NA,"MINH TÂN",1,1,"giống địa phương",1,6,NA,1,2,2,1,2,1,1,12,5,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha Giang","NMMA"
"26",2,"2-34-1189008005",417,1189008005,34,1189,8,5,2,2,2,2,1,1,NA,NA,"MINH TÂN",1,1,"địa phương",1,6,NA,1,2,2,2,1,1,1,6,5,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha Giang","NMMA"
"27",2,"2-34-1189008006",418,1189008006,34,1189,8,6,2,2,2,2,1,1,NA,NA,"MINH TÂN",1,1,"sắn trắng",1,6,NA,10,2,1,2,1,2,1,19,5,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha Giang","NMMA"
"28",2,"2-34-1189008007",419,1189008007,34,1189,8,7,2,2,2,2,1,1,NA,NA,"MINH TÂN",1,1,"sắn trắng",1,6,NA,5,2,2,1,1,1,1,9,5,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha Giang","NMMA"
"29",2,"2-34-1189008010",420,1189008010,34,1189,8,10,2,2,2,2,1,1,NA,NA,"MINH TÂN",1,1,"địa phương",1,6,NA,10,2,2,2,1,1,1,8,5,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha Giang","NMMA"
"30",2,"2-34-1189008013",421,1189008013,34,1189,8,13,2,2,2,2,1,1,NA,NA,"MINH TÂN",1,1,"địa phương",1,6,NA,6,2,2,1,1,1,1,5,5,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha Giang","NMMA"
"31",2,"2-34-1189008014",422,1189008014,34,1189,8,14,2,2,2,2,1,1,NA,NA,"MINH TÂN",1,1,"địa phương",1,6,NA,5,2,2,1,1,1,1,10,5,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha Giang","NMMA"
"32",2,"2-33-1144006007",29,1144006007,33,1144,6,7,3,2,2,2,1,1,NA,"","RUỘNG SẮN",1,1,"Sắn địa phương",1,6,"",25,2,2,1,1,2,1,25,8,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ha Giang","NMMA"
