"MATINH","province_name","MAHUYEN","district_name","MAXA","commune_name","n_rice_hh"
"01","Ha Noi","019","Nam Tu Liem","00628","Tay Mo",310
"01","Ha Noi","019","Nam Tu Liem","00631","Me Tri",97
"01","Ha Noi","019","Nam Tu Liem","00632","Phu Do",0
"01","Ha Noi","019","Nam Tu Liem","00634","Dai Mo",489
"01","Ha Noi","019","Nam Tu Liem","00637","Trung Van",0
"01","Ha Noi","020","Thanh Tri","00643","Tan Trieu",7
"01","Ha Noi","020","Thanh Tri","00646","Thanh Liet",0
"01","Ha Noi","020","Thanh Tri","00649","Ta Thanh Oai",2319
"01","Ha Noi","020","Thanh Tri","00652","Huu Hoa",1757
"01","Ha Noi","020","Thanh Tri","00655","Tam Hiep",280
"01","Ha Noi","020","Thanh Tri","00658","Tu Hiep",294
"01","Ha Noi","020","Thanh Tri","00661","Yen My",1
"01","Ha Noi","020","Thanh Tri","00664","Vinh Quynh",2108
"01","Ha Noi","020","Thanh Tri","00667","Ngu Hiep",435
"01","Ha Noi","020","Thanh Tri","00670","Duyen Ha",1
"01","Ha Noi","020","Thanh Tri","00673","Ngoc Hoi",900
"01","Ha Noi","020","Thanh Tri","00676","Van Phuc",186
"01","Ha Noi","020","Thanh Tri","00679","Dai ang",1726
"01","Ha Noi","020","Thanh Tri","00682","Lien Ninh",1104
"01","Ha Noi","020","Thanh Tri","00685","Dong My",25
"01","Ha Noi","021","Bac Tu Liem","00595","Thuong Cat",420
"01","Ha Noi","021","Bac Tu Liem","00598","Lien Mac",207
"01","Ha Noi","021","Bac Tu Liem","00601","Dong Ngac",0
"01","Ha Noi","021","Bac Tu Liem","00602","Duc Thang",0
"01","Ha Noi","021","Bac Tu Liem","00604","Thuy Phuong",13
"01","Ha Noi","021","Bac Tu Liem","00607","Tay Tuu",0
"01","Ha Noi","021","Bac Tu Liem","00610","Xuan Dinh",0
"01","Ha Noi","021","Bac Tu Liem","00611","Xuan Tao",0
"01","Ha Noi","021","Bac Tu Liem","00613","Minh Khai",0
"01","Ha Noi","021","Bac Tu Liem","00616","Co Nhue 1",0
"01","Ha Noi","021","Bac Tu Liem","00617","Co Nhue 2",0
"01","Ha Noi","021","Bac Tu Liem","00619","Phu Dien",0
"01","Ha Noi","021","Bac Tu Liem","00620","Phuc Dien",0
"01","Ha Noi","250","Me Linh","08973","Chi Dong",1426
"01","Ha Noi","250","Me Linh","08974","Dai Thinh",1276
"01","Ha Noi","250","Me Linh","08977","Kim Hoa",1756
"01","Ha Noi","250","Me Linh","08980","Thach Da",1416
"01","Ha Noi","250","Me Linh","08983","Tien Thang",2378
"01","Ha Noi","250","Me Linh","08986","Tu Lap",2063
"01","Ha Noi","250","Me Linh","08989","Quang Minh",1617
"01","Ha Noi","250","Me Linh","08992","Thanh Lam",2317
"01","Ha Noi","250","Me Linh","08995","Tam Dong",1396
"01","Ha Noi","250","Me Linh","08998","Lien Mac",2319
"01","Ha Noi","250","Me Linh","09001","Van Yen",757
"01","Ha Noi","250","Me Linh","09004","Chu Phan",1576
"01","Ha Noi","250","Me Linh","09007","Tien Thinh",1819
"01","Ha Noi","250","Me Linh","09010","Me Linh",270
"01","Ha Noi","250","Me Linh","09013","Van Khe",2144
"01","Ha Noi","250","Me Linh","09016","Hoang Kim",839
"01","Ha Noi","250","Me Linh","09019","Tien Phong",66
"01","Ha Noi","250","Me Linh","09022","Trang Viet",494
"01","Ha Noi","268","Ha Dong","09542","Van Quan",0
"01","Ha Noi","268","Ha Dong","09544","Van Phuc",0
"01","Ha Noi","268","Ha Dong","09551","La Khe",0
"01","Ha Noi","268","Ha Dong","09552","Phu La",0
"01","Ha Noi","268","Ha Dong","09553","Phuc La",0
