"MATINH","province_name","MAHUYEN","district_name","MAXA","commune_name","n_coffee_hh"
"01","Ha Noi","019","Nam Tu Liem","00631","Me Tri",0
"01","Ha Noi","019","Nam Tu Liem","00632","Phu Do",0
"01","Ha Noi","019","Nam Tu Liem","00634","Dai Mo",0
"01","Ha Noi","019","Nam Tu Liem","00637","Trung Van",0
"01","Ha Noi","020","Thanh Tri","00643","Tan Trieu",0
"01","Ha Noi","020","Thanh Tri","00646","Thanh Liet",0
"01","Ha Noi","020","Thanh Tri","00649","Ta Thanh Oai",0
"01","Ha Noi","020","Thanh Tri","00652","Huu Hoa",0
"01","Ha Noi","020","Thanh Tri","00655","Tam Hiep",0
"01","Ha Noi","020","Thanh Tri","00658","Tu Hiep",0
"01","Ha Noi","020","Thanh Tri","00661","Yen My",0
"01","Ha Noi","020","Thanh Tri","00664","Vinh Quynh",0
"01","Ha Noi","020","Thanh Tri","00667","Ngu Hiep",0
"01","Ha Noi","020","Thanh Tri","00670","Duyen Ha",0
"01","Ha Noi","020","Thanh Tri","00673","Ngoc Hoi",0
"01","Ha Noi","020","Thanh Tri","00676","Van Phuc",0
"01","Ha Noi","020","Thanh Tri","00679","Dai ang",0
"01","Ha Noi","020","Thanh Tri","00682","Lien Ninh",0
"01","Ha Noi","020","Thanh Tri","00685","Dong My",0
"01","Ha Noi","021","Bac Tu Liem","00595","Thuong Cat",0
"01","Ha Noi","021","Bac Tu Liem","00598","Lien Mac",0
"01","Ha Noi","021","Bac Tu Liem","00601","Dong Ngac",0
"01","Ha Noi","021","Bac Tu Liem","00602","Duc Thang",0
"01","Ha Noi","021","Bac Tu Liem","00604","Thuy Phuong",0
"01","Ha Noi","021","Bac Tu Liem","00607","Tay Tuu",0
"01","Ha Noi","021","Bac Tu Liem","00610","Xuan Dinh",0
"01","Ha Noi","021","Bac Tu Liem","00611","Xuan Tao",0
"01","Ha Noi","021","Bac Tu Liem","00613","Minh Khai",0
"01","Ha Noi","021","Bac Tu Liem","00616","Co Nhue 1",0
"01","Ha Noi","021","Bac Tu Liem","00617","Co Nhue 2",0
"01","Ha Noi","021","Bac Tu Liem","00619","Phu Dien",0
"01","Ha Noi","021","Bac Tu Liem","00620","Phuc Dien",0
"01","Ha Noi","250","Me Linh","08973","Chi Dong",0
"01","Ha Noi","250","Me Linh","08974","Dai Thinh",0
"01","Ha Noi","250","Me Linh","08977","Kim Hoa",0
"01","Ha Noi","250","Me Linh","08980","Thach Da",0
