"MATINH","province_name","MAHUYEN","district_name","MAXA","commune_name","n_hh"
"01","Ha Noi","007","Hai Ba Trung","00268","Thanh Luong","7040"
"01","Ha Noi","007","Hai Ba Trung","00271","Thanh Nhan","6052"
"01","Ha Noi","007","Hai Ba Trung","00274","Cau Den","3080"
"01","Ha Noi","007","Hai Ba Trung","00277","Bach Khoa","2785"
"01","Ha Noi","007","Hai Ba Trung","00280","Dong Tam","4511"
"01","Ha Noi","007","Hai Ba Trung","00283","Vinh Tuy","14934"
"01","Ha Noi","007","Hai Ba Trung","00286","Bach Mai","4472"
"01","Ha Noi","007","Hai Ba Trung","00289","Quynh Mai","3588"
"01","Ha Noi","007","Hai Ba Trung","00292","Quynh Loi","4204"
"01","Ha Noi","007","Hai Ba Trung","00295","Minh Khai","5651"
"01","Ha Noi","007","Hai Ba Trung","00298","Truong Dinh","6178"
"01","Ha Noi","008","Hoang Mai","00301","Thanh Tri","7465"
"01","Ha Noi","008","Hoang Mai","00304","Vinh Hung","11380"
"01","Ha Noi","008","Hoang Mai","00307","Dinh Cong","13882"
"01","Ha Noi","008","Hoang Mai","00310","Mai Dong","13982"
"01","Ha Noi","008","Hoang Mai","00313","Tuong Mai","8280"
"01","Ha Noi","008","Hoang Mai","00316","Dai Kim","13986"
"01","Ha Noi","008","Hoang Mai","00319","Tan Mai","6785"
"01","Ha Noi","008","Hoang Mai","00322","Hoang Van Thu","12660"
"01","Ha Noi","008","Hoang Mai","00325","Giap Bat","4757"
"01","Ha Noi","008","Hoang Mai","00328","Linh Nam","8768"
"01","Ha Noi","008","Hoang Mai","00331","Thinh Liet","11924"
"01","Ha Noi","008","Hoang Mai","00334","Tran Phu","4053"
"01","Ha Noi","008","Hoang Mai","00337","Hoang Liet","22186"
"01","Ha Noi","008","Hoang Mai","00340","Yen So","6610"
"01","Ha Noi","009","Thanh Xuan","00343","Nhan Chinh","14710"
"01","Ha Noi","009","Thanh Xuan","00346","Thuong Dinh","8341"
"01","Ha Noi","009","Thanh Xuan","00349","Khuong Trung","10258"
"01","Ha Noi","009","Thanh Xuan","00352","Khuong Mai","5394"
"01","Ha Noi","009","Thanh Xuan","00355","Thanh Xuan Trung","9157"
"01","Ha Noi","009","Thanh Xuan","00358","Phuong Liet","6825"
"01","Ha Noi","009","Thanh Xuan","00361","Ha Dinh","5280"
"01","Ha Noi","009","Thanh Xuan","00364","Khuong Dinh","10316"
"01","Ha Noi","009","Thanh Xuan","00367","Thanh Xuan Bac","5458"
"01","Ha Noi","009","Thanh Xuan","00370","Thanh Xuan Nam","3507"
"01","Ha Noi","009","Thanh Xuan","00373","Kim Giang","3735"
"01","Ha Noi","016","Soc Son","00376","Soc Son","1250"
"01","Ha Noi","016","Soc Son","00379","Bac Son","4281"
"01","Ha Noi","016","Soc Son","00382","Minh Tri","3792"
"01","Ha Noi","016","Soc Son","00385","Hong Ky","3120"
"01","Ha Noi","016","Soc Son","00388","Nam Son","2347"
"01","Ha Noi","016","Soc Son","00391","Trung Gia","3762"
"01","Ha Noi","016","Soc Son","00394","Tan Hung","2626"
"01","Ha Noi","016","Soc Son","00397","Minh Phu","3355"
"01","Ha Noi","016","Soc Son","00400","Phu Linh","3005"
"01","Ha Noi","016","Soc Son","00403","Bac Phu","2716"
"01","Ha Noi","016","Soc Son","00406","Tan Minh","4307"
"01","Ha Noi","016","Soc Son","00409","Quang Tien","2861"
"01","Ha Noi","016","Soc Son","00412","Hien Ninh","3195"
"01","Ha Noi","016","Soc Son","00415","Tan Dan","3780"
"01","Ha Noi","016","Soc Son","00418","Tien Duoc","4794"
"01","Ha Noi","016","Soc Son","00421","Viet Long","1906"
"01","Ha Noi","016","Soc Son","00424","Xuan Giang","2602"
"01","Ha Noi","016","Soc Son","00427","Mai Dinh","5107"
"01","Ha Noi","016","Soc Son","00430","Duc Hoa","1978"
"01","Ha Noi","016","Soc Son","00433","Thanh Xuan","3373"
"01","Ha Noi","016","Soc Son","00436","Dong Xuan","3350"
"01","Ha Noi","016","Soc Son","00439","Kim Lu","2496"
"01","Ha Noi","016","Soc Son","00442","Phu Cuong","3515"
"01","Ha Noi","016","Soc Son","00445","Phu Minh","2663"
"01","Ha Noi","016","Soc Son","00448","Phu Lo","4371"
"01","Ha Noi","016","Soc Son","00451","Xuan Thu","2420"
"01","Ha Noi","017","Dong Anh","00454","Dong Anh","6748"
"01","Ha Noi","017","Dong Anh","00457","Xuan Non","4054"
"01","Ha Noi","017","Dong Anh","00460","Thuy Lam","4909"
"01","Ha Noi","017","Dong Anh","00463","Bac Hong","3368"
"01","Ha Noi","017","Dong Anh","00466","Nguyen Khe","3923"
"01","Ha Noi","017","Dong Anh","00469","Nam Hong","4019"
"01","Ha Noi","017","Dong Anh","00472","Tien Duong","4685"
"01","Ha Noi","017","Dong Anh","00475","Van Ha","2703"
"01","Ha Noi","017","Dong Anh","00478","Uy No","5685"
"01","Ha Noi","017","Dong Anh","00481","Van Noi","3381"
"01","Ha Noi","017","Dong Anh","00484","Lien Ha","4359"
"01","Ha Noi","017","Dong Anh","00487","Viet Hung","5420"
"01","Ha Noi","017","Dong Anh","00490","Kim No","3617"
"01","Ha Noi","017","Dong Anh","00493","Kim Chung","13406"
"01","Ha Noi","017","Dong Anh","00496","Duc Tu","4400"
"01","Ha Noi","017","Dong Anh","00499","Dai Mach","5073"
"01","Ha Noi","017","Dong Anh","00502","Vinh Ngoc","3820"
"01","Ha Noi","017","Dong Anh","00505","Co Loa","4973"
"01","Ha Noi","017","Dong Anh","00508","Hai Boi","6325"
"01","Ha Noi","017","Dong Anh","00511","Xuan Canh","3121"
"01","Ha Noi","017","Dong Anh","00514","Vong La","5094"
"01","Ha Noi","017","Dong Anh","00517","Tam Xa","1163"
"01","Ha Noi","017","Dong Anh","00520","Mai Lam","3987"
"01","Ha Noi","017","Dong Anh","00523","Dong Hoi","3102"
"01","Ha Noi","018","Gia Lam","00526","Yen Vien","3278"
"01","Ha Noi","018","Gia Lam","00529","Yen Thuong","4739"
"01","Ha Noi","018","Gia Lam","00532","Yen Vien","3888"
"01","Ha Noi","018","Gia Lam","00535","Ninh Hiep","4697"
"01","Ha Noi","018","Gia Lam","00538","Dinh Xuyen","3032"
"01","Ha Noi","018","Gia Lam","00541","Duong Ha","2057"
"01","Ha Noi","018","Gia Lam","00544","Phu Dong","3965"
"01","Ha Noi","018","Gia Lam","00547","Trung Mau","1763"
"01","Ha Noi","018","Gia Lam","00550","Le Chi","3610"
