"","IDHO","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","M4B12A1_MA","M4B12A1_C1","M4B12A1_C1_GHIRO","M4B12A1_C2","M4B12A1_C3","M4B12A1_C4","M4B12A1_C5","M4B12A1_C6"
"74","19402012004","45","464","19402","012","004",3,1,1,"","99","19552",5,NA,3780
"75","19495002005","45","466","19495","002","005",3,1,1,"","km94","19495",15,NA,1500
"76","19495002009","45","466","19495","002","009",3,1,4,"","","",NA,NA,1000
"77","19519004015","45","466","19519","004","015",3,1,2,"","99","19600",2,NA,800
"78","19561003005","45","467","19561","003","005",3,1,3,"","nhà máy tinh bột sắn ăn thái","19600",2,NA,5865
"79","19561003009","45","467","19561","003","009",3,1,1,"","99","19600",4,NA,21750
"80","19561003001","45","467","19561","003","001",3,1,1,"","99","19600",3,NA,12320
"81","19561003003","45","467","19561","003","003",3,1,3,"","99","19600",3,NA,33000
"82","19561003002","45","467","19561","003","002",3,1,1,"","99","19600",3,NA,7000
"83","19561003004","45","467","19561","003","004",3,1,3,"","tinh bột","19600",2,NA,8000
"84","19561003006","45","467","19561","003","006",3,1,1,"","99","19600",3,NA,7000
"85","19657004013","45","469","19657","004","013",3,1,1,"","99","19657",10,NA,1920
"86","19657004008","45","469","19657","004","008",3,1,1,"","99","19657",2,NA,1000
"87","19657004011","45","469","19657","004","011",3,1,5,"để gia đình sửa dụng","99","19657",10,NA,0
"88","19657004014","45","469","19657","004","014",3,1,1,"","99","19657",10,NA,2400
"89","19657004004","45","469","19657","004","004",3,1,1,"","99","19657",5,NA,960
"90","19657004006","45","469","19657","004","006",3,1,1,"","99","19657",2,NA,500
"91","19657004007","45","469","19657","004","007",3,1,1,"","99","19657",3,NA,500
"92","19678009014","45","469","19678","009","014",3,1,1,"","k94","19678",15,NA,1440
"93","20011009015","46","480","20011","009","015",3,1,1,"","tình bột sắn Phong điền","19858",2,NA,1600
"94","20011009013","46","480","20011","009","013",3,1,1,"","99","19858",10,NA,1500
"95","20011009012","46","480","20011","009","012",3,1,1,"","99","19858",10,NA,12000
"96","20011009002","46","480","20011","009","002",3,1,1,"","nhà máy phong điền","19858",5,NA,1400
"97","20650019007","49","509","20650","019","007",3,1,1,"","99","20651",6,NA,1000
"98","20650019001","49","509","20650","019","001",3,1,1,"","99","20651",5,NA,540
"99","20650019013","49","509","20650","019","013",3,1,1,"","99","20651",4,NA,1500
"100","20650019010","49","509","20650","019","010",3,1,1,"","99","20651",5,NA,6300
"101","20650019012","49","509","20650","019","012",3,1,1,"","ruộng săn","20651",7,NA,6000
"102","21820003001","52","547","21820","003","001",3,1,1,"","99","21811",5,NA,4400
"103","22132009013","54","559","22132","009","013",3,1,4,"","","",NA,NA,810
"104","22141006001","54","559","22141","006","001",3,1,3,"","nhà máy sắn đồng xuân","22081",1,NA,50000
"105","22285021014","54","562","22285","021","014",3,1,1,"","nhà máy mì sông hinh","22213",2,NA,36000
"106","22285021002","54","562","22285","021","002",3,1,1,"","Cty cp tinh bột sắn phú yên","22228",5,NA,285800
"107","22285021004","54","562","22285","021","004",3,1,2,"","nhà máy mì sông hinh","22222",3,NA,45000
"108","22285021011","54","562","22285","021","011",3,1,1,"","nhà máy mì sông hinh","22222",3,NA,146700
"109","23314001006","62","608","23314","001","006",3,1,1,"","CTY tnhh tinh bột sắn Kon tum","23545",5,NA,190000
"110","23314001015","62","608","23314","001","015",3,1,1,"","CTY tnhh tinh bột sắn Kon tum","23545",5,NA,1e+05
"111","23314001012","62","608","23314","001","012",3,1,1,"","CTY tnhh tinh bột sắn Kon tum","23545",5,NA,140000
"112","23314001001","62","608","23314","001","001",3,1,1,"","CTY tnhh tinh bột sắn kon tum","23545",2,NA,95000
"113","23314001005","62","608","23314","001","005",3,1,1,"","CTY cổ phần XNK nông sản vina","23533",5,NA,250000
"114","23350006012","62","610","23350","006","012",3,1,2,"","phương hoa","23371",8,NA,80000
"115","23350006011","62","610","23350","006","011",3,1,2,"","phương hoa","23371",8,NA,1e+05
"116","23350006009","62","610","23350","006","009",3,1,2,"","phương hoa","23371",9,NA,120000
"117","23350006006","62","610","23350","006","006",3,1,2,"","phương hoa","23371",10,NA,120000
"118","23350006008","62","610","23350","006","008",3,1,2,"","phương hoa","23371",8,NA,80000
"119","23350006015","62","610","23350","006","015",3,1,2,"","phương hoa","23371",12,NA,150000
"120","23350006005","62","610","23350","006","005",3,1,2,"","phương hoa","23371",10,NA,150000
"121","23350006010","62","610","23350","006","010",3,1,2,"","phương hoa","23371",9,NA,1e+05
"122","23350006002","62","610","23350","006","002",3,1,2,"","phương hoa","23371",6,NA,70000
"123","23350006004","62","610","23350","006","004",3,1,2,"","phương hoa","23371",8,NA,90000
"124","23350006013","62","610","23350","006","013",3,1,2,"","phương hoa","23371",8,NA,1e+05
"125","23350006001","62","610","23350","006","001",3,1,2,"","phương hoa","23371",8,NA,80000
"126","23350006003","62","610","23350","006","003",3,1,2,"","phương hoa","23371",9,NA,1e+05
"127","23443003011","62","612","23443","003","011",3,1,3,"","Nhà máy tinh bột sắn Đăk Tô","23437",15,NA,32400
"128","23443003003","62","612","23443","003","003",3,1,1,"","Nhà máy tinh bột sắn Đăk Tô","23437",15,NA,91200
"129","23443003008","62","612","23443","003","008",3,1,3,"","Nhà máy tinh bột sắn Đăk Tô","23437",15,NA,32400
"130","23443003007","62","612","23443","003","007",3,1,3,"","Nhà máy tinh bột sắn Đăk Tô","23437",10,NA,30000
"131","23443003005","62","612","23443","003","005",3,1,3,"","Nhà máy tinh bột sắn Đăk Tô","23437",10,NA,60000
"132","23443003014","62","612","23443","003","014",3,1,3,"","Nhà máy chế biến tinh bột sắn Đăk Tô","23437",10,NA,15600
"133","23443003004","62","612","23443","003","004",3,1,3,"","nhà máy chế biến tinh bột sắn Đăk Tô","23437",10,NA,28800
"134","23443003010","62","612","23443","003","010",3,1,3,"","nhà máy tinh bột sắn Đăk Tô","23437",13,NA,31200
"135","23443003012","62","612","23443","003","012",3,1,3,"","Nhà máy tinh bột sắn Đăk Tô","23437",6,NA,33600
"136","23443003015","62","612","23443","003","015",3,1,3,"","Nhà máy tinh bột sắn Đăk Tô","23437",3,NA,15600
"137","23443003002","62","612","23443","003","002",3,1,3,"","Nhà máy tinh bột sắn Đăk Tô","23437",10,NA,93600
"138","23443003013","62","612","23443","003","013",3,1,3,"","Nhà máy tinh bột sắn Đăk Tô","23437",10,NA,31200
"139","23497004010","62","614","23497","004","010",3,1,1,"","công tỷ cổ phần fecovev Tây Nguyên","23488",3,NA,32200
"140","23497004004","62","614","23497","004","004",3,1,2,"","công ty cổ phần fecovev Tây Nguyên","23488",5,NA,26000
"141","23497004007","62","614","23497","004","007",3,1,2,"","Công tỷ cổ phần fecocev Tây Nguyên","23488",5,NA,19872
"142","23497004009","62","614","23497","004","009",3,1,2,"","công ty cổ phần fecovev Tây Nguyên","23488",5,NA,19200
"143","23497004002","62","614","23497","004","002",3,1,2,"","Công tỷ cổ phần fecocev Tây Nguyên","23488",5,NA,31260
"144","23497004014","62","614","23497","004","014",3,1,2,"","công ty cổ phần fecovev Tây Nguyên","23488",6,NA,25000
"145","23497004003","62","614","23497","004","003",3,1,2,"","công ty cổ phần fecocev Tây Nguyên","23488",5,NA,38880
"146","23497004006","62","614","23497","004","006",3,1,2,"","Công tỷ cổ phần fecocev Tây Nguyên","23488",5,NA,21408
"147","23497004008","62","614","23497","004","008",3,1,2,"","Công tỷ cổ phần Fecocev Tây Nguyên","23488",5,NA,19872
"148","23497004005","62","614","23497","004","005",3,1,2,"","Công ty cổ phần fecocev Tây Nguyên","23488",6,NA,20760
"149","23497004012","62","614","23497","004","012",3,1,2,"","Công ty cổ phần fecocev Tây Nguyên","23488",5,NA,19920
"150","23497004015","62","614","23497","004","015",3,1,2,"","Công ty cổ phần Fecocev Tây Nguyên","23488",4,NA,6300
"151","23497004013","62","614","23497","004","013",3,1,2,"","Công ty cổ phần fecocev Tây Nguyên","23488",4,NA,22896
"152","23497004011","62","614","23497","004","011",3,1,2,"","công ty cổ phần fecocev Tây Nguyên","23488",1,NA,5000
"153","23497004001","62","614","23497","004","001",3,1,2,"","công ty cổ phần fecocev Tây Nguyên","23488",4,NA,8400
"154","23407009007","62","617","23407","009","007",3,1,1,"","99","23425",5,NA,2596
"155","23407009004","62","617","23407","009","004",3,1,1,"","99","23425",5,NA,5214
"156","23407009006","62","617","23407","009","006",3,1,1,"","99","23425",5,NA,5192
"157","23407009014","62","617","23407","009","014",3,1,1,"","99","23425",5,NA,5236
"158","23407009003","62","617","23407","009","003",3,1,1,"","99","23425",10,NA,26290
"159","23407009002","62","617","23407","009","002",3,1,1,"","99","23425",5,NA,2618
"160","23407009012","62","617","23407","009","012",3,1,1,"","99","23425",5,NA,7887
"161","23407009010","62","617","23407","009","010",3,1,1,"","99","23425",5,NA,5214
"162","23407009005","62","617","23407","009","005",3,1,1,"","99","23425",5,NA,2607
"163","23407009001","62","617","23407","009","001",3,1,1,"","99","23425",5,NA,7854
"164","23407009009","62","617","23407","009","009",3,1,1,"","nhà máy mỳ xã Đăk Hà","23425",5,NA,26000
"165","23407009008","62","617","23407","009","008",3,1,1,"","99","23425",5,NA,18326
"166","23800013007","64","629","23800","013","007",3,1,1,"","99","23800",2,NA,7900
"167","23800013006","64","629","23800","013","006",3,1,1,"","99","23800",1,NA,8000
"168","23800013001","64","629","23800","013","001",3,1,1,"","99","23800",2,NA,14600
"169","23800013011","64","629","23800","013","011",3,1,1,"","99","23800",3,NA,2170
"170","23824014001","64","630","23824","014","001",3,1,1,"","99","23633",1,NA,24200
"171","23824014004","64","630","23824","014","004",3,1,1,"","99","23630",1,NA,2200
"172","23824014011","64","630","23824","014","011",3,1,1,"","99","23627",1,NA,5060
"173","23824014007","64","630","23824","014","007",3,1,1,"","99","23620",3,NA,10000
"174","23824014013","64","630","23824","014","013",3,1,1,"","99","23633",2,NA,24500
"175","23824014015","64","630","23824","014","015",3,1,1,"","99","23633",3,NA,36660
"176","23845002007","64","630","23845","002","007",3,1,2,"","Công ty TNHH 1 TV Bột mỳ an khê gia lai","23633",3,NA,110000
"177","23845002015","64","630","23845","002","015",3,1,1,"","99","23633",3,NA,5635
"178","23845002009","64","630","23845","002","009",3,1,1,"","99","21808",4,NA,305000
"179","23845002013","64","630","23845","002","013",3,1,1,"","99","23633",3,NA,123970
"180","23845002011","64","630","23845","002","011",3,1,1,"","99","23633",3,NA,49200
"181","24112006006","64","637","24112","006","006",3,1,2,"","Nhà máy tinh bột sắn Phú Túc","24076",5,NA,81180
"182","24112006012","64","637","24112","006","012",3,1,2,"","Nhà máy tinh bột sắn gia lai","24076",5,NA,29900
"183","24112006015","64","637","24112","006","015",3,1,2,"","Nhà máy tinh bột sắn gia lai","24076",4,NA,105000
"184","24112006011","64","637","24112","006","011",3,1,2,"","Nhà máy tinh bột sắn","24076",6,NA,44100
"185","24112006007","64","637","24112","006","007",3,1,2,"","Nhà máy tinh bột sắn Gia Lai","24076",3,NA,137080
"186","24112006010","64","637","24112","006","010",3,1,2,"","Nhà máy tinh bột sắn gia lai","24076",5,NA,82800
"187","24112006003","64","637","24112","006","003",3,1,2,"","nhà máy tinh bột sắn gia lai","24076",3,NA,60400
"188","24112006004","64","637","24112","006","004",3,1,2,"","Nhà máy tinh bột sắn Gia Lai","24076",5,NA,22440
"189","24112006001","64","637","24112","006","001",3,1,2,"","Nhà máy tinh bột sắn Gia Lai","24076",3,NA,182160
"190","24112006014","64","637","24112","006","014",3,1,2,"","Nhà máy tinh bột sắn gia lai","24076",5,NA,41800
"191","24112006013","64","637","24112","006","013",3,1,2,"","Nhà máy tinh bột sắn sắn gia lai","24076",6,NA,41800
"192","24112006002","64","637","24112","006","002",3,1,2,"","Nhà máy tinh bột sắn Gia Lai","24079",5,NA,42780
"193","24112006008","64","637","24112","006","008",3,1,2,"","Nhà máy tinh bột sắn gia lai","24076",13,NA,45100
"194","24112006005","64","637","24112","006","005",3,1,2,"","Nhà máy tinh bột sắn Gia Lai","24076",3,NA,65200
"195","24115003015","64","637","24115","003","015",3,1,2,"","nhà máy tinh  bột sắn gia lai","24076",10,NA,46200
"196","24115003003","64","637","24115","003","003",3,1,2,"","Nhà máy tinh bột sắn Gia Lai","24076",3,NA,81180
"197","24115003004","64","637","24115","003","004",3,1,2,"","Nhà máy tinh bột sắn sắn gia lai","24076",4,NA,69000
