"IDHO","REGION","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","EXPR1","EXPR2","EXPR3","EXPR4","EXPR6","EXPR5","M4B111_C6","M4B111_C7","M4B111_C8","M4B111_C9","M4B111_C10","M4B111_C11","M4B111_C121","M4B111_C122","M4B111_C123","M4B111_C124","M4B111_C125","M4B111_C13","M4B111_C14","M4B112_C1","M4B113_C1","M4B113_C2","M4B113_C3","M4B113_C4","M4B113_C5","M4B113_C6","M4B113_C7","M4B113_C8","M4B113_C9","M4B113_C101","M4B113_C102","M4B113_C103","M4B113_C104","M4B113_C105","M4B113_C106","M4B113_C111","M4B113_C112","M4B113_C113","M4B113_C114","M4B113_C115","M4B113_C116","M4B113_C117","M4B113_C117GHIRO","M4B113_C121","M4B113_C122","M4B113_C123","M4B113_C124","M4B113_C125","M4B113_C131","M4B113_C132","M4B113_C133","M4B113_C134","M4B113_C135","M4B113_C14N","M4B113_C14T","M4B113_C16","KINHDO","VIDO","SEASON","WT45","ttnt","wt45","Province_name"
"00400011007",1,"01","016","00400","011","007",5,1,16,400,11,7,5,1,3,5,3,1,3,2,2,1,2,2,2,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1049,2,1049,"Thanh pho Ha Noi"
"00400011008",1,"01","016","00400","011","008",5,1,16,400,11,8,5,1,3,6,3,1,3,2,2,1,2,2,2,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1049,2,1049,"Thanh pho Ha Noi"
"00400011012",1,"01","016","00400","011","012",5,1,16,400,11,12,5,4,2,10,2,1,4,2,2,1,2,2,2,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1049,2,1049,"Thanh pho Ha Noi"
"00415003003",1,"01","016","00415","003","003",7,1,16,415,3,3,7,1,1,7,2,1,5,2,2,1,2,2,2,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1044,2,1044,"Thanh pho Ha Noi"
"00415003004",1,"01","016","00415","003","004",7,1,16,415,3,4,7,1,5,30,1,1,2,2,2,1,2,2,2,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1044,2,1044,"Thanh pho Ha Noi"
"00415003005",1,"01","016","00415","003","005",7,1,16,415,3,5,7,1,4,30,1,1,2,2,2,1,2,2,2,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1044,2,1044,"Thanh pho Ha Noi"
"00415003006",1,"01","016","00415","003","006",7,1,16,415,3,6,7,1,3,5,3,1,2,2,2,1,2,2,2,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1044,2,1044,"Thanh pho Ha Noi"
"00415003007",1,"01","016","00415","003","007",7,1,16,415,3,7,7,1,3,5,3,1,3,2,2,1,2,2,2,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1044,2,1044,"Thanh pho Ha Noi"
"00415003009",1,"01","016","00415","003","009",7,1,16,415,3,9,7,1,1,7,2,1,5,2,2,1,2,2,2,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1044,2,1044,"Thanh pho Ha Noi"
"00415003014",1,"01","016","00415","003","014",7,1,16,415,3,14,7,1,2,6,3,1,3,2,2,1,2,2,2,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1044,2,1044,"Thanh pho Ha Noi"
"00415003015",1,"01","016","00415","003","015",7,1,16,415,3,15,7,1,1,7,2,1,5,2,2,1,2,2,2,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1044,2,1044,"Thanh pho Ha Noi"
"00415003017",1,"01","016","00415","003","017",7,1,16,415,3,17,7,1,1,7,2,1,5,2,2,1,2,2,2,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1044,2,1044,"Thanh pho Ha Noi"
"00433007001",1,"01","016","00433","007","001",2,1,16,433,7,1,2,4,2,4,3,1,3,2,2,1,2,2,2,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1115,2,1115,"Thanh pho Ha Noi"
"00433007003",1,"01","016","00433","007","003",2,1,16,433,7,3,2,4,2,5,3,1,4,2,2,1,2,2,2,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1115,2,1115,"Thanh pho Ha Noi"
"00433007004",1,"01","016","00433","007","004",2,1,16,433,7,4,2,4,4,20,1,1,2,2,2,1,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1115,2,1115,"Thanh pho Ha Noi"
"00433007005",1,"01","016","00433","007","005",2,1,16,433,7,5,2,4,4,4,2,1,8,2,2,1,2,2,1,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1115,2,1115,"Thanh pho Ha Noi"
"00433007008",1,"01","016","00433","007","008",2,1,16,433,7,8,2,4,0,NA,2,1,4,2,2,1,2,2,2,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1115,2,1115,"Thanh pho Ha Noi"
"00433007009",1,"01","016","00433","007","009",2,1,16,433,7,9,2,4,1,7,2,1,4,2,2,1,2,2,1,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1115,2,1115,"Thanh pho Ha Noi"
"00460011001",1,"01","017","00460","011","001",10,1,17,460,11,1,10,4,1,8,3,1,3,2,2,1,2,2,3,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1074,2,1074,"Thanh pho Ha Noi"
"00460011002",1,"01","017","00460","011","002",10,1,17,460,11,2,10,4,1,10,3,1,6,2,2,1,2,2,2,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1074,2,1074,"Thanh pho Ha Noi"
"00460011005",1,"01","017","00460","011","005",10,1,17,460,11,5,10,4,1,8,3,1,5,2,2,1,2,2,2,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1074,2,1074,"Thanh pho Ha Noi"
"00460011006",1,"01","017","00460","011","006",10,1,17,460,11,6,10,4,1,8,3,1,5,2,2,1,2,2,2,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1074,2,1074,"Thanh pho Ha Noi"
"00460011008",1,"01","017","00460","011","008",10,1,17,460,11,8,10,4,1,9,3,1,4,2,2,1,2,2,2,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1074,2,1074,"Thanh pho Ha Noi"
"00460011010",1,"01","017","00460","011","010",10,1,17,460,11,10,10,4,1,8,3,1,6,2,2,1,2,2,2,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1074,2,1074,"Thanh pho Ha Noi"
"00460011012",1,"01","017","00460","011","012",10,1,17,460,11,12,10,4,1,10,3,1,5,2,2,1,2,2,3,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1074,2,1074,"Thanh pho Ha Noi"
"00460011013",1,"01","017","00460","011","013",10,1,17,460,11,13,10,4,1,10,3,1,4,2,2,1,2,2,3,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1074,2,1074,"Thanh pho Ha Noi"
"00484026001",1,"01","017","00484","026","001",1,1,17,484,26,1,1,4,1,10,3,2,3,2,2,1,2,2,1,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1065,2,1065,"Thanh pho Ha Noi"
"00484026003",1,"01","017","00484","026","003",1,1,17,484,26,3,1,4,1,10,3,2,3,2,2,1,2,2,2,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1065,2,1065,"Thanh pho Ha Noi"
"00484026004",1,"01","017","00484","026","004",1,1,17,484,26,4,1,4,1,10,3,1,4,2,2,1,2,2,2,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1065,2,1065,"Thanh pho Ha Noi"
"00484026006",1,"01","017","00484","026","006",1,1,17,484,26,6,1,4,1,8,3,2,4,2,2,1,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1065,2,1065,"Thanh pho Ha Noi"
"00484026014",1,"01","017","00484","026","014",1,1,17,484,26,14,1,4,1,8,3,2,4,2,2,1,2,2,2,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1065,2,1065,"Thanh pho Ha Noi"
"00499025001",1,"01","017","00499","025","001",12,1,17,499,25,1,12,4,1,7,2,1,3,2,2,1,2,2,1,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1104,2,1104,"Thanh pho Ha Noi"
"00499025002",1,"01","017","00499","025","002",12,1,17,499,25,2,12,4,1,9,2,1,4,2,2,1,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1104,2,1104,"Thanh pho Ha Noi"
"00499025011",1,"01","017","00499","025","011",12,1,17,499,25,11,12,4,1,8,2,1,3,2,2,1,2,2,1,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1104,2,1104,"Thanh pho Ha Noi"
"00508034001",1,"01","017","00508","034","001",5,1,17,508,34,1,5,1,1,90,2,1,2,2,2,1,2,2,1,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,852,2,852,"Thanh pho Ha Noi"
"00529008001",1,"01","018","00529","008","001",6,1,18,529,8,1,6,5,1,0,2,1,3,2,2,2,1,2,1,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1046,2,1046,"Thanh pho Ha Noi"
"00529008002",1,"01","018","00529","008","002",6,1,18,529,8,2,6,1,0,NA,2,1,3,2,2,2,1,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1046,2,1046,"Thanh pho Ha Noi"
"00529008004",1,"01","018","00529","008","004",6,1,18,529,8,4,6,1,0,NA,2,1,3,2,2,2,1,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1046,2,1046,"Thanh pho Ha Noi"
"00529008005",1,"01","018","00529","008","005",6,1,18,529,8,5,6,1,0,NA,2,2,3,2,2,2,1,2,1,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1046,2,1046,"Thanh pho Ha Noi"
"00529008007",1,"01","018","00529","008","007",6,1,18,529,8,7,6,1,0,NA,3,1,3,2,2,2,1,2,1,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1046,2,1046,"Thanh pho Ha Noi"
"00529008008",1,"01","018","00529","008","008",6,1,18,529,8,8,6,1,0,NA,3,1,2,2,2,2,1,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1046,2,1046,"Thanh pho Ha Noi"
"00529008010",1,"01","018","00529","008","010",6,1,18,529,8,10,6,1,0,NA,3,1,3,2,2,2,1,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1046,2,1046,"Thanh pho Ha Noi"
"00529008011",1,"01","018","00529","008","011",6,1,18,529,8,11,6,1,0,NA,3,1,2,2,2,2,1,2,1,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1046,2,1046,"Thanh pho Ha Noi"
"00529008014",1,"01","018","00529","008","014",6,1,18,529,8,14,6,1,0,NA,2,1,3,2,2,2,1,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1046,2,1046,"Thanh pho Ha Noi"
"00529008015",1,"01","018","00529","008","015",6,1,18,529,8,15,6,1,0,NA,2,1,3,2,2,2,1,2,1,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1046,2,1046,"Thanh pho Ha Noi"
"00553021006",1,"01","018","00553","021","006",8,1,18,553,21,6,8,1,1,3,2,1,2,2,2,1,2,2,2,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1050,2,1050,"Thanh pho Ha Noi"
"00568006009",1,"01","018","00568","006","009",10,1,18,568,6,9,10,1,2,5,2,1,2,2,1,2,2,2,1,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1073,2,1073,"Thanh pho Ha Noi"
"00568006010",1,"01","018","00568","006","010",10,1,18,568,6,10,10,1,1,7,2,1,4,2,1,2,2,2,1,NA,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1073,2,1073,"Thanh pho Ha Noi"
"00568006013",1,"01","018","00568","006","013",10,1,18,568,6,13,10,1,0,NA,3,1,3,2,2,1,2,2,2,NA,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,1073,2,1073,"Thanh pho Ha Noi"
"00706007001",2,"02","030","00706","007","001",9,2,30,706,7,1,9,4,4,7,1,1,3,1,2,1,2,2,4,1,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,378,2,378,"Tinh Ha Giang"
"00706007002",2,"02","030","00706","007","002",9,2,30,706,7,2,9,4,3,7,1,1,3,2,2,1,2,2,4,1,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,378,2,378,"Tinh Ha Giang"
"00706007003",2,"02","030","00706","007","003",9,2,30,706,7,3,9,4,3,7,1,1,3,2,2,1,2,2,4,1,2,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,378,2,378,"Tinh Ha Giang"
"00706007004",2,"02","030","00706","007","004",9,2,30,706,7,4,9,4,3,7,1,1,3,2,2,1,2,2,5,1,NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,378,2,378,"Tinh Ha Giang"
