"MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","IDHO","M4B11A2_C1","M4B11A2_C2A","M4B11A2_C2B","M4B11A2_C3","M4B11A2_C4A","M4B11A2_C4B","M4B11A2_C5","M4B11A2_C6","M4B11A3_C1","M4B11A3_C2","M4B11A3_C2B","M4B11A4_C1","M4B11A5_C1","M4B11A5_C1_GHIRO","M4B11A5_C3","M4B11A5_C4","M4B11A5_C5","M4B11A6_C1","M4B11A6_C21","M4B11A6_C22","M4B11A6_C23","M4B11A6_C24","M4B11A6_C24_GHIRO","M4B11A6_C3","M4B11A6_C4","M4B11A6_C4_GHIRO","M4B11A6_C5","M4B11A6_C6","M4B11A6_C7","M4B11A7_C11","M4B11A7_C12","M4B11A7_C13","M4B11A7_C14","KYDIEUTRA","WT45","wt45","Province_name"
"01","016","00400","011","006","00400011006",4,2,1.8,99,NA,NA,1,"Khang Dân",2,2,NA,2,1,NA,99,NA,2,2,1,2,2,2,NA,6,3,NA,NA,3,1,99,99,99,99,1,1172,1172,"Thanh pho Ha Noi"
"01","016","00400","011","008","00400011008",4,2,1.8,99,NA,NA,1,"Thơm",2,2,NA,2,1,NA,99,NA,2,2,1,2,2,2,NA,6,3,NA,NA,3,1,99,99,99,99,1,1172,1172,"Thanh pho Ha Noi"
"01","016","00400","011","012","00400011012",5,2,2,8,2,2,1,"TBR225",3,2,NA,3,1,NA,99,NA,1,3,1,2,2,2,NA,8,2,NA,NA,3,1,99,99,99,99,1,1172,1172,"Thanh pho Ha Noi"
"01","016","00415","003","003","00415003003",5,2,1.8,10,2,1.8,1,"TBR225",3,2,NA,3,1,NA,99,NA,1,3,1,2,2,2,NA,8,2,NA,NA,3,1,99,99,99,99,1,1120,1120,"Thanh pho Ha Noi"
"01","016","00415","003","005","00415003005",4,2,2,1,2,2,1,"thơm",2,2,NA,2,4,NA,99,2,2,2,1,2,2,2,NA,5,2,NA,NA,3,1,99,99,99,99,1,1120,1120,"Thanh pho Ha Noi"
"01","016","00415","003","006","00415003006",4,2,1.5,99,NA,NA,1,"TBR225",2,2,2,2,1,NA,99,NA,2,2,1,2,2,2,NA,5,2,NA,NA,3,1,99,99,99,99,1,1120,1120,"Thanh pho Ha Noi"
"01","016","00415","003","007","00415003007",4,2,1.5,99,NA,NA,1,"Thơm",2,2,NA,2,1,NA,99,NA,2,2,1,2,2,2,NA,5,2,NA,NA,3,1,99,99,99,99,1,1120,1120,"Thanh pho Ha Noi"
"01","016","00415","003","009","00415003009",4,2,2,9,2,2,1,"TBR225",3,2,NA,3,1,NA,99,NA,1,3,1,2,2,2,NA,8,2,NA,NA,3,1,99,99,99,99,1,1120,1120,"Thanh pho Ha Noi"
"01","016","00415","003","014","00415003014",4,2,1.5,99,NA,NA,1,"Thơm",2,2,NA,2,1,NA,99,NA,2,2,1,2,2,2,NA,5,3,NA,NA,3,1,99,99,99,99,1,1120,1120,"Thanh pho Ha Noi"
"01","016","00415","003","015","00415003015",4,2,1.8,99,NA,NA,1,"TBR225",3,2,NA,3,1,NA,99,NA,1,3,1,2,2,2,NA,8,2,NA,NA,2,1,99,1,1,1,1,1120,1120,"Thanh pho Ha Noi"
"01","016","00415","003","017","00415003017",4,2,1.8,10,2,1.8,1,"HT01",3,2,NA,3,1,NA,99,NA,1,3,1,2,2,2,NA,10,2,NA,NA,3,1,99,99,99,99,1,1120,1120,"Thanh pho Ha Noi"
"02","027","00811","007","003","00811007003",5,1,4,2,1,4,1,"Nghi Hương",1,1,NA,1,4,NA,2,2,0,3,2,2,1,2,NA,NA,2,NA,NA,2,2,2,2,2,2,1,344,344,"Tinh Ha Giang"
"02","027","00811","007","004","00811007004",99,1,4,1,1,4,1,"Nghi Hương",1,1,NA,1,4,NA,2,2,1,3,2,2,1,2,NA,NA,3,NA,NA,2,2,99,99,2,2,1,344,344,"Tinh Ha Giang"
"02","027","00811","007","005","00811007005",1,1,4,99,NA,NA,99,"nghi hương",0,NA,2,0,3,NA,99,2,0,3,2,2,1,2,NA,NA,3,NA,NA,2,1,99,99,99,99,1,344,344,"Tinh Ha Giang"
"02","027","00811","007","007","00811007007",1,1,300,3,1,3,99,"tạp giao",1,1,NA,2,3,NA,2,2,0,3,2,2,1,2,NA,NA,3,NA,NA,2,1,99,99,99,99,1,344,344,"Tinh Ha Giang"
"02","027","00811","007","010","00811007010",1,99,0,NA,NA,NA,99,"0",0,NA,2,0,3,NA,99,2,0,3,2,2,1,2,NA,NA,3,NA,NA,2,1,99,99,99,99,1,344,344,"Tinh Ha Giang"
"02","027","00811","007","011","00811007011",5,1,10,2,1,10,1,"Nghi Hương",1,1,NA,1,4,NA,2,2,0,3,2,2,1,2,NA,NA,2,NA,NA,2,2,2,2,2,2,1,344,344,"Tinh Ha Giang"
"02","027","00811","007","012","00811007012",5,1,6,2,1,6,1,"Nghi Hương",1,1,NA,1,4,NA,2,2,0,3,2,2,1,2,NA,NA,2,NA,NA,2,2,2,2,2,2,1,344,344,"Tinh Ha Giang"
"02","027","00811","007","013","00811007013",99,99,0,NA,NA,NA,99,"không trồng",0,NA,2,0,4,NA,99,2,0,3,2,2,1,2,NA,NA,3,NA,NA,2,2,99,99,99,99,1,344,344,"Tinh Ha Giang"
"02","027","00811","007","014","00811007014",5,99,0,NA,NA,NA,99,"không biết",0,NA,2,0,4,NA,99,2,0,3,2,2,1,2,NA,NA,2,NA,NA,2,2,99,99,99,99,1,344,344,"Tinh Ha Giang"
"02","027","00811","007","015","00811007015",99,99,0,NA,NA,NA,99,"nghi hương",0,NA,2,0,3,NA,99,2,0,3,2,2,1,2,NA,NA,3,NA,NA,2,1,99,99,99,99,1,344,344,"Tinh Ha Giang"
"02","027","00811","007","016","00811007016",99,99,0,NA,NA,NA,99,"0",0,NA,2,0,3,NA,99,2,0,3,2,2,1,2,NA,NA,3,NA,NA,2,1,99,99,99,99,1,344,344,"Tinh Ha Giang"
"02","031","01006","007","001","01006007001",5,1,2,99,NA,NA,99,"bao thai",1,0,1,1,5,"nguồn",2,NA,2,2,2,2,1,2,NA,NA,3,NA,NA,2,1,2,2,2,2,1,482,482,"Tinh Ha Giang"
"02","031","01006","007","002","01006007002",99,1,5,10,1,5,2,"lúa thuần",2,2,NA,2,5,"nước nguồn",2,NA,1,3,2,2,1,2,NA,NA,3,NA,NA,2,1,2,2,2,2,1,482,482,"Tinh Ha Giang"
"02","031","01006","007","003","01006007003",5,1,5,6,1,7,2,"lúa thuần",1,1,NA,1,5,"nguồn",99,NA,1,3,2,2,1,2,NA,NA,3,NA,NA,2,1,2,2,2,2,1,482,482,"Tinh Ha Giang"
"02","031","01006","007","004","01006007004",5,1,5,8,1,7,2,"lúa thuần",2,2,NA,1,5,"nước nguồn",2,NA,1,3,2,2,1,2,NA,NA,3,NA,NA,2,1,99,99,99,99,1,482,482,"Tinh Ha Giang"
"02","031","01006","007","005","01006007005",4,1,5,10,1,5,99,"lúa thuần",2,2,NA,1,5,"nguồn",99,NA,1,3,2,2,1,2,NA,NA,3,NA,NA,2,1,99,99,99,99,1,482,482,"Tinh Ha Giang"
"02","031","01006","007","006","01006007006",4,1,5,7,1,9,2,"lúa thuần",1,1,NA,1,5,"nước nguồn",99,NA,1,3,2,2,1,2,NA,NA,3,NA,NA,2,1,99,99,99,99,1,482,482,"Tinh Ha Giang"
"02","031","01006","007","008","01006007008",99,1,5,99,NA,NA,99,"lúa thuần",1,1,NA,2,5,"nước nguồn",2,NA,1,3,2,2,1,2,NA,NA,3,NA,NA,2,1,2,2,2,2,1,482,482,"Tinh Ha Giang"
"02","031","01006","007","009","01006007009",5,1,8,8,1,8,3,"lúa thuần",1,1,NA,1,5,"nước nguồn",99,NA,1,3,2,2,1,2,NA,NA,3,NA,NA,2,1,99,99,99,99,1,482,482,"Tinh Ha Giang"
"02","031","01006","007","011","01006007011",5,1,6,99,NA,NA,3,"lúa thuần",1,1,NA,1,5,"nguồn",99,NA,1,3,2,2,1,2,NA,NA,3,NA,NA,2,1,99,99,99,99,1,482,482,"Tinh Ha Giang"
"02","031","01006","007","012","01006007012",5,2,6,8,1,7,3,"lúa thuần",1,1,NA,1,5,"nguồn",99,NA,1,3,2,2,1,2,NA,NA,3,NA,NA,2,1,2,2,2,2,1,482,482,"Tinh Ha Giang"
"02","031","01006","007","013","01006007013",5,1,6,99,NA,NA,3,"lúa thuần",1,1,NA,1,5,"nguồn",99,NA,1,3,2,2,1,2,NA,NA,3,NA,NA,2,1,2,2,2,2,1,482,482,"Tinh Ha Giang"
"02","031","01006","007","015","01006007015",5,1,4,99,NA,NA,3,"lúa thuần",1,1,NA,1,5,"nước nguồn",2,NA,2,3,2,2,1,2,NA,NA,3,NA,NA,2,1,2,2,2,2,1,482,482,"Tinh Ha Giang"
"02","032","01057","001","001","01057001001",1,1,0,99,NA,NA,99,"o",0,NA,2,0,5,"nước khe",99,NA,0,3,2,2,1,2,NA,NA,3,NA,NA,2,2,99,99,99,99,1,412,412,"Tinh Ha Giang"
"02","032","01057","001","002","01057001002",1,1,0,0,1,0,99,"0",0,NA,2,0,5,"nước khe",99,NA,0,3,2,2,1,2,NA,NA,3,NA,NA,2,1,2,2,2,2,1,412,412,"Tinh Ha Giang"
"02","032","01057","001","003","01057001003",1,1,0,0,1,0,99,"0",0,NA,2,0,5,"nước khe",99,NA,0,3,2,2,1,2,NA,NA,3,NA,NA,2,2,99,99,99,99,1,412,412,"Tinh Ha Giang"
"02","032","01057","001","004","01057001004",99,1,0,99,NA,NA,99,"o",0,NA,2,0,5,"nước khe",99,NA,0,3,2,2,1,2,NA,NA,3,NA,NA,2,2,99,99,99,99,1,412,412,"Tinh Ha Giang"
"02","032","01057","001","005","01057001005",99,1,0,0,2,0,99,"0",0,NA,2,0,5,"nước khe",99,NA,0,3,2,2,1,2,NA,NA,3,NA,NA,2,2,99,99,99,99,1,412,412,"Tinh Ha Giang"
"02","032","01057","001","006","01057001006",99,1,0,99,NA,NA,99,"0",0,NA,2,0,5,"nước khe",99,NA,0,3,2,2,1,2,NA,NA,3,NA,NA,2,2,99,99,99,99,1,412,412,"Tinh Ha Giang"
"02","032","01057","001","007","01057001007",99,99,0,NA,NA,NA,99,"không có",0,NA,2,0,5,"nước tự nhiên",2,NA,0,3,2,2,1,2,NA,NA,2,NA,NA,2,2,2,2,2,2,1,412,412,"Tinh Ha Giang"
"02","032","01057","001","008","01057001008",1,1,0,0,1,0,99,"0",0,NA,2,0,5,"nước khe",99,NA,0,3,2,2,1,2,NA,NA,3,NA,NA,2,2,99,99,99,99,1,412,412,"Tinh Ha Giang"
"02","032","01057","001","009","01057001009",99,1,0,0,1,0,99,"0",0,NA,2,0,5,"tự túc",2,NA,0,3,2,2,1,2,NA,NA,3,NA,NA,2,2,2,2,2,2,1,412,412,"Tinh Ha Giang"
"02","032","01057","001","010","01057001010",99,2,0,99,NA,NA,99,"0",0,NA,2,0,4,NA,99,2,0,3,2,2,1,2,NA,NA,3,NA,NA,2,2,2,2,2,2,1,412,412,"Tinh Ha Giang"
"02","032","01057","001","011","01057001011",99,1,0,99,NA,NA,99,"0",0,NA,2,0,5,"nước nguồi",99,NA,0,3,2,2,1,2,NA,NA,3,NA,NA,2,2,99,99,99,99,1,412,412,"Tinh Ha Giang"
"02","032","01057","001","012","01057001012",1,1,0,99,NA,NA,99,"0",0,NA,2,0,5,"nước nguồn tự nhiên",2,NA,0,3,2,2,1,2,NA,NA,3,NA,NA,2,2,2,2,2,2,1,412,412,"Tinh Ha Giang"
"02","032","01057","001","013","01057001013",1,1,0,99,NA,NA,99,"0",0,NA,2,0,5,"nước tự nhiên",99,NA,0,3,2,2,1,2,NA,NA,3,NA,NA,2,2,99,99,99,99,1,412,412,"Tinh Ha Giang"
"02","032","01057","001","014","01057001014",1,1,0,99,NA,NA,99,"0",0,NA,2,0,4,NA,99,2,0,3,2,2,1,2,NA,NA,3,NA,NA,2,2,99,2,2,99,1,412,412,"Tinh Ha Giang"
"02","032","01057","001","015","01057001015",1,1,0,0,1,0,99,"0",0,NA,2,0,3,NA,99,2,0,3,2,2,1,2,NA,NA,3,NA,NA,2,2,2,99,99,99,1,412,412,"Tinh Ha Giang"
"02","034","01171","004","002","01171004002",4,1,7,30,NA,NA,1,"pc15",2,2,NA,2,4,NA,2,2,1,2,2,2,1,2,NA,NA,3,NA,NA,2,1,1,1,1,1,1,320,320,"Tinh Ha Giang"
"02","034","01171","004","013","01171004013",5,2,1.5,99,NA,NA,99,"BC15",1,1,NA,2,4,NA,2,2,1,3,2,2,1,2,NA,NA,3,NA,NA,2,2,2,2,2,99,1,320,320,"Tinh Ha Giang"
"02","034","01171","004","015","01171004015",5,2,35,99,NA,NA,1,"BC15",2,1,NA,2,4,NA,2,2,2,3,2,2,1,2,NA,NA,3,NA,NA,2,2,99,99,99,99,1,320,320,"Tinh Ha Giang"
"02","034","01186","011","001","01186011001",99,2,1,99,NA,NA,99,"lai",2,2,NA,3,4,NA,99,2,0,3,2,2,1,2,NA,NA,2,NA,NA,2,2,99,99,99,99,1,389,389,"Tinh Ha Giang"
"02","034","01186","011","002","01186011002",5,2,1.26,2,2,1.23,1,"Thái Bình",2,2,NA,2,4,NA,2,2,1,2,2,2,1,2,NA,NA,1,NA,NA,2,2,2,2,99,99,1,389,389,"Tinh Ha Giang"
"02","034","01186","011","003","01186011003",1,2,1,99,NA,NA,99,"lai",0,NA,2,1,3,NA,99,2,0,2,2,2,1,2,NA,NA,2,NA,NA,2,1,99,99,99,99,1,389,389,"Tinh Ha Giang"
"02","034","01186","011","005","01186011005",5,2,2.22,0,2,2.15,1,"lúa lai",3,1,NA,3,2,NA,2,NA,1,2,2,2,1,2,NA,NA,1,NA,NA,2,2,2,1,1,1,1,389,389,"Tinh Ha Giang"
"02","034","01186","011","006","01186011006",1,1,4,99,NA,NA,99,"lúa lai",3,2,NA,3,4,NA,2,2,0,3,2,1,2,2,NA,2,2,NA,NA,2,2,99,99,99,99,1,389,389,"Tinh Ha Giang"
"02","034","01186","011","009","01186011009",4,3,1.26,1,2,1.13,1,"San ưu 838",2,2,NA,2,4,NA,2,2,1,2,2,2,1,2,NA,NA,1,NA,NA,2,2,2,2,2,1,1,389,389,"Tinh Ha Giang"
"02","034","01186","011","010","01186011010",4,2,1.25,0,2,1.15,1,"lúa thuần",2,1,NA,2,2,NA,99,NA,0,2,2,2,1,2,NA,NA,1,NA,NA,2,2,2,1,2,2,1,389,389,"Tinh Ha Giang"
"02","034","01186","011","011","01186011011",4,2,1,99,NA,NA,99,"lúa lai",3,2,NA,3,3,NA,99,2,0,3,2,1,2,2,NA,6,2,NA,NA,2,2,99,99,99,99,1,389,389,"Tinh Ha Giang"
"02","034","01186","011","012","01186011012",99,2,1,99,NA,NA,99,"lúa lai",2,0,2,2,4,NA,99,2,0,3,2,2,1,2,NA,NA,3,NA,NA,2,2,99,99,99,99,1,389,389,"Tinh Ha Giang"
"02","034","01186","011","013","01186011013",5,2,5,99,NA,NA,99,"lúa lai",2,0,2,3,3,NA,2,2,0,3,2,2,1,1,"máy gặt",NA,2,NA,NA,2,2,99,99,99,99,1,389,389,"Tinh Ha Giang"
"02","034","01186","011","014","01186011014",4,2,1.26,1,2,1.15,2,"nhi ưu",2,1,NA,1,2,NA,2,NA,1,2,2,2,1,2,NA,NA,1,NA,NA,2,2,2,99,99,2,1,389,389,"Tinh Ha Giang"
"02","034","01186","011","015","01186011015",4,2,1.12,0,2,1.13,1,"thái bình",2,1,NA,1,2,NA,2,NA,1,2,2,2,1,2,NA,NA,1,NA,NA,2,1,2,99,99,2,1,389,389,"Tinh Ha Giang"
"02","034","01186","011","016","01186011016",1,2,1,99,NA,NA,99,"lai",1,1,NA,3,3,NA,99,2,0,3,2,2,1,2,NA,NA,2,NA,NA,2,2,99,99,99,99,1,389,389,"Tinh Ha Giang"
"04","042","01318","009","001","01318009001",5,1,0.4,4,1,0.4,1,"838",1,1,NA,1,4,NA,2,2,1,3,2,2,1,2,NA,NA,2,NA,NA,2,1,99,99,99,99,1,297,297,"Tinh Cao Bang"
"04","042","01318","009","002","01318009002",5,1,0.3,3,1,3,1,"838",1,1,NA,1,4,NA,2,2,1,3,2,2,1,2,NA,NA,2,NA,NA,2,1,99,99,99,99,1,297,297,"Tinh Cao Bang"
"04","042","01318","009","003","01318009003",5,1,0.3,3,1,0.3,1,"838",1,1,NA,1,4,NA,2,2,1,3,2,2,1,2,NA,NA,2,NA,NA,2,1,99,99,99,99,1,297,297,"Tinh Cao Bang"
"04","042","01318","009","004","01318009004",5,1,0.3,2,1,0.3,1,"Thái Bình",1,1,NA,1,4,NA,2,2,1,3,2,2,1,2,NA,NA,3,NA,NA,2,2,2,2,2,2,1,297,297,"Tinh Cao Bang"
"04","042","01318","009","005","01318009005",5,1,0.3,3,1,0.4,1,"Đại thơm",1,1,NA,1,4,NA,2,2,1,2,2,2,1,2,NA,NA,3,NA,NA,2,2,2,2,2,2,1,297,297,"Tinh Cao Bang"
"04","042","01318","009","006","01318009006",5,1,0.3,2,1,0.4,2,"Thái Bình",1,1,NA,1,4,NA,2,2,1,2,2,2,1,2,NA,NA,3,NA,NA,2,2,2,2,2,2,1,297,297,"Tinh Cao Bang"
"04","042","01318","009","007","01318009007",5,1,0.3,3,1,0.3,1,"Thái Bình",1,1,NA,1,4,NA,2,2,1,3,2,2,1,2,NA,NA,3,NA,NA,2,2,2,2,2,2,1,297,297,"Tinh Cao Bang"
"04","042","01318","009","009","01318009009",5,1,0.1,1,1,0.1,2,"đại thơm",0,NA,2,1,4,NA,2,2,0,2,2,2,1,2,NA,NA,2,NA,NA,2,2,2,99,99,99,1,297,297,"Tinh Cao Bang"
"04","042","01318","009","010","01318009010",5,1,0.1,99,NA,NA,99,"đại thơm",0,NA,2,0,4,NA,2,2,0,2,2,2,1,2,NA,NA,2,NA,NA,2,2,99,99,99,99,1,297,297,"Tinh Cao Bang"
"04","042","01318","009","011","01318009011",5,1,0.1,1,1,0.1,2,"đại thơm",0,NA,2,0,4,NA,2,2,0,2,2,2,1,2,NA,NA,2,NA,NA,2,2,99,2,2,99,1,297,297,"Tinh Cao Bang"
"04","042","01318","009","012","01318009012",5,1,0.3,5,1,0.3,1,"838",2,1,NA,1,4,NA,2,2,1,3,2,2,1,2,NA,NA,3,NA,NA,2,1,2,2,2,2,1,297,297,"Tinh Cao Bang"
"04","042","01318","009","013","01318009013",5,1,0.4,2,1,0.3,2,"838",1,1,NA,1,4,NA,2,2,1,3,2,2,1,2,NA,NA,3,NA,NA,2,1,2,2,1,99,1,297,297,"Tinh Cao Bang"
"04","042","01318","009","014","01318009014",5,1,0.3,2,1,0.3,2,"838",2,1,NA,1,4,NA,2,2,1,3,2,2,1,2,NA,NA,3,NA,NA,2,1,99,2,99,2,1,297,297,"Tinh Cao Bang"
"04","042","01318","009","015","01318009015",5,1,0.3,0,1,0.3,1,"838",1,1,NA,1,4,NA,2,2,1,3,2,2,1,2,NA,NA,3,NA,NA,2,1,99,99,99,99,1,297,297,"Tinh Cao Bang"
"04","043","01321","011","002","01321011002",5,1,0,15,1,0.01,1,"nhị ưu",0,NA,2,2,5,"nước chảy tự nhiên qua hệ thống kênh mương thủy lợi",2,NA,2,3,2,2,1,2,NA,NA,3,NA,NA,3,1,2,2,2,2,1,253,253,"Tinh Cao Bang"
"04","043","01321","011","003","01321011003",1,1,0,10,1,0,1,"nhị ưu",0,NA,1,2,5,"nước chạy tự nhiên bằng mương thủy lợi",2,NA,3,3,2,2,1,2,NA,NA,2,NA,NA,2,1,2,2,2,2,1,253,253,"Tinh Cao Bang"
"04","043","01321","011","004","01321011004",5,1,0,10,1,0,1,"838",0,NA,1,2,5,"nước chảy tự nhiên qua hệ thống mương",2,NA,2,3,2,2,1,2,NA,NA,3,NA,NA,3,1,2,2,2,2,1,253,253,"Tinh Cao Bang"
"04","043","01321","011","006","01321011006",5,1,50,99,NA,NA,2,"tam nông",2,1,NA,1,4,NA,2,2,1,2,2,2,1,2,NA,NA,2,NA,NA,2,2,2,2,2,2,1,253,253,"Tinh Cao Bang"
"04","043","01321","011","007","01321011007",5,1,25,99,NA,NA,3,"đoàn kết",0,NA,2,1,4,NA,99,2,0,3,2,2,1,2,NA,NA,2,NA,NA,2,2,99,99,99,99,1,253,253,"Tinh Cao Bang"
"04","043","01321","011","008","01321011008",5,1,3,99,NA,NA,3,"tam nông",0,NA,1,2,4,NA,99,2,0,2,2,2,1,2,NA,NA,2,NA,NA,2,2,99,99,99,99,1,253,253,"Tinh Cao Bang"
"04","043","01321","011","009","01321011009",5,1,10,99,NA,NA,3,"tam nông",0,NA,1,1,4,NA,99,2,0,2,1,2,2,2,NA,5,2,NA,NA,2,2,2,2,2,2,1,253,253,"Tinh Cao Bang"
"04","043","01321","011","010","01321011010",5,1,3,99,NA,NA,3,"đại dương",0,NA,1,1,4,NA,99,2,0,2,1,2,2,2,NA,4,2,NA,NA,2,2,99,99,99,99,1,253,253,"Tinh Cao Bang"
"04","043","01321","011","011","01321011011",5,1,15,99,NA,NA,3,"tam nông",1,1,NA,2,4,NA,99,2,0,2,1,2,2,2,NA,5,2,NA,NA,2,2,99,99,99,99,1,253,253,"Tinh Cao Bang"
"04","043","01321","011","013","01321011013",5,1,15,99,NA,NA,2,"tam nông",1,1,NA,1,4,NA,2,2,0,2,1,2,2,2,NA,3,2,NA,NA,2,2,99,99,99,99,1,253,253,"Tinh Cao Bang"
"04","047","01498","004","001","01498004001",1,1,0.1,99,NA,NA,2,"Địa phương",1,1,NA,1,4,NA,2,2,3,3,1,2,1,2,NA,3,2,NA,NA,3,2,2,2,2,2,1,292,292,"Tinh Cao Bang"
"04","047","01498","004","002","01498004002",1,1,0.1,99,NA,NA,2,"địa phương",1,1,NA,1,4,NA,2,2,3,3,1,2,1,2,NA,2,2,NA,NA,3,2,2,2,2,2,1,292,292,"Tinh Cao Bang"
"04","047","01498","004","003","01498004003",1,99,0,NA,NA,NA,99,"địa phương",0,NA,2,0,3,NA,2,2,0,3,2,2,1,2,NA,NA,2,NA,NA,2,2,99,99,99,99,1,292,292,"Tinh Cao Bang"
"04","047","01498","004","004","01498004004",1,1,8,99,NA,NA,2,"31",0,NA,2,1,3,NA,99,2,3,3,2,2,1,2,NA,NA,2,NA,NA,2,2,2,2,2,2,1,292,292,"Tinh Cao Bang"
"04","047","01498","004","005","01498004005",1,1,8,2,1,11,2,"31",0,NA,2,1,4,NA,2,2,0,3,2,2,1,2,NA,NA,2,NA,NA,2,1,2,2,2,2,1,292,292,"Tinh Cao Bang"
"04","047","01498","004","006","01498004006",1,1,1,8,1,8,3,"địa phương tự để giống",0,NA,2,1,4,NA,2,2,0,3,2,2,1,2,NA,NA,2,NA,NA,2,1,2,2,2,2,1,292,292,"Tinh Cao Bang"
"04","047","01498","004","007","01498004007",1,1,9,1,1,9,2,"Nhị ưu 838",0,NA,2,2,4,NA,2,2,0,3,2,2,1,2,NA,NA,2,NA,NA,2,1,2,2,2,2,1,292,292,"Tinh Cao Bang"
"04","047","01498","004","008","01498004008",1,2,1,99,NA,NA,2,"tẻ lai 31",0,NA,2,2,4,NA,99,2,0,3,2,2,1,2,NA,NA,3,NA,NA,2,2,99,99,99,99,1,292,292,"Tinh Cao Bang"
"04","047","01498","004","009","01498004009",1,1,2,99,NA,NA,1,"tẻ lai",0,NA,2,2,4,NA,2,2,0,2,2,2,1,2,NA,NA,3,NA,NA,3,2,2,2,2,2,1,292,292,"Tinh Cao Bang"
"04","047","01498","004","010","01498004010",1,1,1.5,3,1,1.5,1,"tẻ lai 31",0,NA,2,2,4,NA,99,2,0,3,2,2,1,2,NA,NA,3,NA,NA,2,2,99,99,99,99,1,292,292,"Tinh Cao Bang"
"04","047","01498","004","011","01498004011",1,1,3,4,1,3,1,"tẻ lai 31",0,NA,2,2,4,NA,99,2,0,3,2,2,1,2,NA,NA,3,NA,NA,3,2,2,2,2,2,1,292,292,"Tinh Cao Bang"
"04","047","01498","004","012","01498004012",1,99,40,NA,NA,NA,3,"địa phương",1,1,NA,1,4,NA,2,2,3,3,2,2,1,2,NA,NA,2,NA,NA,2,2,2,2,2,2,1,292,292,"Tinh Cao Bang"
"04","047","01498","004","013","01498004013",1,1,2,3,1,2,2,"31",0,NA,2,1,4,NA,2,2,0,3,2,2,1,2,NA,NA,2,NA,NA,2,1,2,2,2,2,1,292,292,"Tinh Cao Bang"
"04","047","01498","004","014","01498004014",1,1,2,99,NA,NA,1,"tẻ lai 31",0,NA,2,2,4,NA,2,2,0,2,2,2,1,2,NA,NA,3,NA,NA,3,2,99,99,99,99,1,292,292,"Tinh Cao Bang"
"04","047","01498","004","016","01498004016",1,1,9,2,1,9,2,"31",0,NA,2,2,4,NA,2,2,0,3,2,2,2,2,NA,NA,2,NA,NA,2,1,2,2,2,2,1,292,292,"Tinh Cao Bang"
"04","048","01537","004","001","01537004001",1,1,5,3,1,5,1,"Q63",1,1,NA,1,4,NA,99,2,1,2,1,2,2,2,NA,3,3,NA,NA,2,2,99,99,99,99,1,246,246,"Tinh Cao Bang"
"04","048","01537","004","002","01537004002",1,1,4,2,1,4,1,"Q63",1,1,NA,2,4,NA,99,2,1,2,1,2,2,2,NA,3,3,NA,NA,2,2,99,99,99,99,1,246,246,"Tinh Cao Bang"
"04","048","01537","004","003","01537004003",1,1,6,2,1,6,1,"gs55",1,1,NA,2,4,NA,99,2,1,2,1,2,2,2,NA,3,3,NA,NA,2,1,99,99,99,99,1,246,246,"Tinh Cao Bang"
"04","048","01537","004","005","01537004005",1,1,5,2,1,5,1,"Q63",1,1,NA,2,4,NA,2,2,1,2,1,2,2,2,NA,3,2,NA,NA,2,2,2,99,99,99,1,246,246,"Tinh Cao Bang"
"04","048","01537","004","006","01537004006",1,1,6,2,1,6,1,"Q63",1,1,NA,2,4,NA,2,2,1,2,1,2,2,2,NA,4,2,NA,NA,2,2,99,99,99,99,1,246,246,"Tinh Cao Bang"
"04","048","01537","004","010","01537004010",1,1,8,2,1,8,1,"Q63",1,1,NA,2,4,NA,2,2,1,3,1,2,2,2,NA,5,2,NA,NA,2,2,99,99,99,99,1,246,246,"Tinh Cao Bang"
"04","048","01537","004","011","01537004011",1,1,5,2,1,5,1,"GS55",1,1,NA,2,4,NA,99,2,1,2,1,2,2,2,NA,3,3,NA,NA,1,2,99,99,99,99,1,246,246,"Tinh Cao Bang"
"04","048","01537","004","013","01537004013",1,1,6,3,1,6,1,"GS55",1,1,NA,2,4,NA,99,2,1,2,1,2,2,2,NA,3,3,NA,NA,3,2,99,99,99,99,1,246,246,"Tinh Cao Bang"
"04","048","01537","004","014","01537004014",6,1,3,2,1,3,1,"Q63",0,0,2,2,5,"nuớc suối",2,NA,0,3,1,2,2,2,NA,2,2,NA,NA,2,2,2,2,2,2,1,246,246,"Tinh Cao Bang"
"04","048","01537","004","015","01537004015",1,1,3,2,1,4,1,"GS55",1,1,NA,2,4,NA,99,2,1,2,1,2,2,2,NA,3,2,NA,NA,2,2,99,99,99,99,1,246,246,"Tinh Cao Bang"
"04","051","01666","003","001","01666003001",1,1,20,3,1,25,3,"Đoàn kết",2,2,NA,2,5,"Nước khe suối",2,NA,3,3,2,2,1,2,NA,NA,2,NA,NA,2,1,2,2,2,2,1,293,293,"Tinh Cao Bang"
"04","051","01666","003","002","01666003002",1,1,10,99,NA,NA,99,"o",0,0,2,0,4,NA,2,2,0,2,2,2,1,2,NA,NA,2,NA,NA,5,1,2,2,2,2,1,293,293,"Tinh Cao Bang"
"04","051","01666","003","003","01666003003",1,1,2,2,1,2,2,"Đoàn kết",1,1,NA,2,1,NA,2,NA,2,3,1,2,2,2,NA,3,2,NA,NA,2,1,2,2,2,2,1,293,293,"Tinh Cao Bang"
