"IDHO","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","M4B11_MA","M4B11_C3","M4B11_C3AD","M4B11_C3AM","M4B11_C3AY","M4B11_C3B","M4B11_C4","M4B11_C5","wt45"
"03634004002","12","110","03634","004","002",8,6,4000,15,1,2022,NA,2120,16960,238
"03634004003","12","110","03634","004","003",8,6,2000,16,1,2022,1,1100,8800,238
"03634004004","12","110","03634","004","004",8,6,2000,20,7,2021,NA,1160,9280,238
"03634004005","12","110","03634","004","005",8,2,2500,16,1,2022,NA,1350,9450,238
"03634004005","12","110","03634","004","005",8,6,2500,16,7,2022,NA,1370,10960,238
"03634004006","12","110","03634","004","006",8,2,1000,17,1,2022,NA,570,3990,238
"03634004006","12","110","03634","004","006",8,6,3000,17,7,2021,NA,1740,13920,238
"03634004007","12","110","03634","004","007",8,2,1500,16,1,2022,NA,855,5985,238
"03634004007","12","110","03634","004","007",8,6,4500,1,1,2022,NA,2430,19440,238
"03634004008","12","110","03634","004","008",8,6,2000,20,7,2021,NA,1040,8320,238
"03634004009","12","110","03634","004","009",8,2,2000,16,1,2022,NA,1140,7980,238
"03634004009","12","110","03634","004","009",8,4,2000,16,6,2022,NA,1040,8320,238
"03634004009","12","110","03634","004","009",8,6,2000,16,1,2022,NA,1160,9280,238
"03634004010","12","110","03634","004","010",8,6,4000,10,1,2022,NA,2220,17760,238
"03634004011","12","110","03634","004","011",8,6,2000,12,1,2022,NA,1100,8800,238
"03634004012","12","110","03634","004","012",8,6,1000,11,7,2022,NA,500,4000,238
"03634004013","12","110","03634","004","013",8,6,5000,12,1,2022,NA,2725,21800,238
"03634004015","12","110","03634","004","015",8,2,800,12,12,2021,1,440,3080,238
"03634004015","12","110","03634","004","015",8,4,1400,18,7,2021,NA,560,3920,238
"03634004015","12","110","03634","004","015",8,6,1200,14,12,2021,1,480,3840,238
"03643007001","12","110","03643","007","001",7,6,3000,18,1,2022,NA,1650,13200,198
"03643007003","12","110","03643","007","003",7,6,3000,16,1,2022,NA,1650,13200,198
"03643007004","12","110","03643","007","004",7,6,2000,20,1,2021,NA,1100,8800,198
"03643007005","12","110","03643","007","005",7,6,1500,19,1,2022,NA,825,6600,198
"03643007006","12","110","03643","007","006",7,6,6000,18,1,2022,NA,3300,26400,198
"03643007007","12","110","03643","007","007",7,6,3000,19,1,2022,NA,1640,13120,198
"03643007008","12","110","03643","007","008",7,6,2000,18,1,2022,NA,1110,8880,198
"03643007009","12","110","03643","007","009",7,4,2000,11,6,2022,NA,1060,7420,198
"03643007009","12","110","03643","007","009",7,6,1000,11,2,2022,NA,550,4400,198
"03643007010","12","110","03643","007","010",7,2,1500,14,2,2022,NA,810,5670,198
"03643007010","12","110","03643","007","010",7,6,3000,12,6,2022,NA,1590,12720,198
"03643007011","12","110","03643","007","011",7,6,4000,14,2,2022,NA,2180,17440,198
"03643007013","12","110","03643","007","013",7,6,1500,15,6,2022,NA,780,6240,198
"03643007015","12","110","03643","007","015",7,6,2000,11,7,2021,NA,1000,8000,198
"03643007018","12","110","03643","007","018",7,6,3000,28,6,2021,NA,3000,12800,198
"03673013004","14","116","03673","013","004",7,6,1800,8,6,2021,NA,800,9600,432
"03673013006","14","116","03673","013","006",7,1,1000,10,6,2021,NA,920,7360,432
"03673013006","14","116","03673","013","006",7,6,200,10,6,2021,NA,50,750,432
"03673013007","14","116","03673","013","007",7,1,1000,NA,NA,NA,NA,600,4800,432
"03673013007","14","116","03673","013","007",7,6,1000,7,6,2021,NA,600,9000,432
"03673013008","14","116","03673","013","008",7,3,200,7,4,2021,NA,100,800,432
"03673013008","14","116","03673","013","008",7,6,1300,7,4,2021,NA,600,9000,432
"03673013009","14","116","03673","013","009",7,1,300,20,1,2022,1,160,14400,432
"03673013009","14","116","03673","013","009",7,6,300,20,1,2022,1,200,19000,432
"03694010001","14","118","03694","010","001",8,6,4400,10,7,2021,NA,2250,18000,474
"03694010002","14","118","03694","010","002",8,6,4100,7,2,2021,NA,2100,16800,474
"03694010003","14","118","03694","010","003",8,6,3500,8,7,2021,NA,1800,14400,474
"03694010004","14","118","03694","010","004",8,6,4000,10,7,2021,NA,2025,16200,474
"03694010005","14","118","03694","010","005",8,6,4500,9,7,2021,NA,2300,18400,474
"03694010007","14","118","03694","010","007",8,6,8000,5,1,2022,1,3650,25600,474
"03694010008","14","118","03694","010","008",8,6,2300,5,1,2022,1,1060,7420,474
"03694010009","14","118","03694","010","009",8,6,9000,6,1,2022,1,5000,35000,474
"03694010010","14","118","03694","010","010",8,6,2200,7,1,2022,1,1400,9800,474
"03694010011","14","118","03694","010","011",8,6,6000,12,2,2022,NA,4000,80000,474
"03694010012","14","118","03694","010","012",8,6,2000,12,1,2022,NA,100,3000,474
"03694010013","14","118","03694","010","013",8,6,16000,9,1,2022,NA,4400,110000,474
"03694010014","14","118","03694","010","014",8,6,6000,15,2,2022,NA,3000,24000,474
"03694010015","14","118","03694","010","015",8,6,8000,15,7,2021,NA,4000,32000,474
"03706016001","14","118","03706","016","001",10,6,1800,10,7,2021,NA,900,7200,477
"03706016002","14","118","03706","016","002",10,6,900,15,7,2021,NA,450,3600,477
"03706016003","14","118","03706","016","003",10,6,1350,15,7,2021,NA,675,5400,477
"03706016005","14","118","03706","016","005",10,6,360,15,6,2021,NA,180,1440,477
"03706016006","14","118","03706","016","006",10,6,1200,11,6,2021,NA,640,4480,477
"03706016008","14","118","03706","016","008",10,6,600,13,6,2021,NA,240,1680,477
"03706016009","14","118","03706","016","009",10,6,1500,10,6,2021,NA,800,5600,477
"03706016010","14","118","03706","016","010",10,6,200,5,6,2021,NA,100,700,477
"03706016011","14","118","03706","016","011",10,1,3000,NA,NA,NA,NA,1200,12000,477
"03706016013","14","118","03706","016","013",10,1,1500,NA,NA,NA,NA,600,6000,477
"03706016015","14","118","03706","016","015",10,2,2500,14,2,2021,NA,700,7000,477
"03709011003","14","118","03709","011","003",1,1,5000,NA,NA,NA,NA,2400,19200,477
"03709011004","14","118","03709","011","004",1,6,2600,5,2,2021,NA,1350,10800,477
"03709011005","14","118","03709","011","005",1,1,10000,NA,NA,NA,NA,5000,50000,477
"03709011007","14","118","03709","011","007",1,1,1000,NA,NA,NA,NA,300,2400,477
"03709011008","14","118","03709","011","008",1,1,1000,NA,NA,NA,NA,100,1000,477
"03709011010","14","118","03709","011","010",1,6,2600,5,2,2021,NA,1350,10800,477
"03709011012","14","118","03709","011","012",1,6,3500,5,2,2021,NA,1800,14400,477
"03709011013","14","118","03709","011","013",1,1,2500,NA,NA,NA,NA,1200,9600,477
"03709011014","14","118","03709","011","014",1,1,1000,NA,NA,NA,NA,350,2800,477
"03709011015","14","118","03709","011","015",1,1,1000,NA,NA,NA,NA,400,3200,477
"03763004001","14","119","03763","004","001",11,6,1500,8,2,2022,NA,1200,9600,515
"03763004002","14","119","03763","004","002",11,6,500,10,2,2022,NA,400,3200,515
"03763004003","14","119","03763","004","003",11,6,50,5,2,2022,NA,90,720,515
"03763004004","14","119","03763","004","004",11,6,1600,14,5,2022,NA,820,6560,515
"03763004005","14","119","03763","004","005",11,5,6000,16,4,2022,NA,650,5200,515
"03763004005","14","119","03763","004","005",11,6,1200,12,5,2022,NA,600,4800,515
"03763004006","14","119","03763","004","006",11,5,7200,13,4,2022,NA,790,6320,515
"03763004006","14","119","03763","004","006",11,6,4000,13,5,2022,NA,2100,16800,515
"03763004007","14","119","03763","004","007",11,6,3700,10,4,2022,NA,500,4000,515
"03763004008","14","119","03763","004","008",11,6,8000,10,4,2022,NA,960,7680,515
"03763004009","14","119","03763","004","009",11,6,10000,10,4,2022,NA,1200,9600,515
"03763004010","14","119","03763","004","010",11,6,10000,10,4,2022,NA,1200,9600,515
"03763004011","14","119","03763","004","011",11,5,3000,15,4,2022,NA,340,2720,515
"03763004011","14","119","03763","004","011",11,6,900,15,5,2022,NA,460,3680,515
"03763004012","14","119","03763","004","012",11,6,1600,16,4,2022,NA,820,6560,515
"03763004013","14","119","03763","004","013",11,6,5000,5,2,2022,NA,1600,12000,515
"03763004014","14","119","03763","004","014",11,6,500,9,2,2022,NA,600,4800,515
"03763004016","14","119","03763","004","016",11,6,8000,10,4,2022,NA,960,7680,515
"03766005001","14","119","03766","005","001",12,6,3000,10,2,2022,NA,2000,16000,501
"03766005003","14","119","03766","005","003",12,6,1500,16,2,2022,NA,800,6400,501
"03766005004","14","119","03766","005","004",12,6,200,11,7,2022,1,120,960,501
"03766005005","14","119","03766","005","005",12,6,4000,16,2,2022,NA,3600,28800,501
"03766005006","14","119","03766","005","006",12,6,500,14,2,2022,NA,500,4000,501
"03766005007","14","119","03766","005","007",12,6,2000,15,2,2022,NA,1200,9600,501
"03766005008","14","119","03766","005","008",12,6,2000,14,2,2022,NA,1900,15200,501
"03766005009","14","119","03766","005","009",12,6,800,18,3,2022,NA,520,4160,501
"03766005010","14","119","03766","005","010",12,6,1400,18,3,2022,NA,710,5680,501
"03766005011","14","119","03766","005","011",12,6,1000,18,7,2022,NA,550,4400,501
"03766005012","14","119","03766","005","012",12,6,1000,15,2,2022,NA,500,4000,501
"03766005013","14","119","03766","005","013",12,6,1000,10,2,2022,NA,500,4000,501
"03766005014","14","119","03766","005","014",12,6,1800,10,2,2022,NA,1000,8000,501
"03766005020","14","119","03766","005","020",12,6,1000,15,2,2022,NA,900,7200,501
"03775007001","14","119","03775","007","001",4,6,800,10,3,2022,NA,460,3220,463
"03775007002","14","119","03775","007","002",4,6,600,10,3,2022,NA,320,2560,463
"03775007003","14","119","03775","007","003",4,6,400,5,3,2022,NA,240,1680,463
"03775007004","14","119","03775","007","004",4,6,80,15,2,2022,NA,40,280,463
"03775007005","14","119","03775","007","005",4,6,160,13,2,2022,NA,100,800,463
"03775007007","14","119","03775","007","007",4,6,320,13,2,2022,NA,240,1960,463
"03775007011","14","119","03775","007","011",4,6,240,25,2,2022,NA,60,480,463
"03775007012","14","119","03775","007","012",4,6,400,25,2,2022,NA,120,9600,463
"03775007016","14","119","03775","007","016",4,6,800,10,1,2022,1,480,3360,463
"03778003002","14","119","03778","003","002",6,6,400,20,1,2022,1,200,1700,473
"03778003004","14","119","03778","003","004",6,6,2000,8,1,2022,1,980,8330,473
"03778003005","14","119","03778","003","005",6,6,250,14,6,2021,NA,120,1020,473
"03778003006","14","119","03778","003","006",6,6,200,14,6,2021,NA,240,2040,473
"03778003007","14","119","03778","003","007",6,6,100,14,6,2021,NA,50,425,473
"03778003008","14","119","03778","003","008",6,6,200,16,6,2021,1,240,2040,473
"03778003009","14","119","03778","003","009",6,6,300,15,6,2021,NA,100,900,473
"03778003010","14","119","03778","003","010",6,6,500,17,6,2021,NA,500,4500,473
"03778003011","14","119","03778","003","011",6,6,200,16,6,2021,NA,200,1800,473
"03778003012","14","119","03778","003","012",6,6,4000,10,1,2022,1,1980,16830,473
"03778003013","14","119","03778","003","013",6,6,600,14,6,2021,NA,400,3400,473
"03796001001","14","119","03796","001","001",8,6,500,2,5,2021,NA,950,6650,416
"03796001002","14","119","03796","001","002",8,6,500,10,5,2021,NA,1100,7700,416
"03796001004","14","119","03796","001","004",8,6,600,6,5,2022,NA,670,4690,416
"03796001005","14","119","03796","001","005",8,1,7600,NA,NA,NA,NA,830,6640,416
"03796001006","14","119","03796","001","006",8,1,7600,NA,NA,NA,NA,830,6640,416
"03796001008","14","119","03796","001","008",8,1,14000,NA,NA,NA,NA,1540,12320,416
"03796001009","14","119","03796","001","009",8,6,5800,5,5,2022,NA,640,4480,416
"03796001010","14","119","03796","001","010",8,6,7000,8,5,2021,NA,800,5600,416
"03796001011","14","119","03796","001","011",8,6,9000,5,5,2021,NA,1000,7000,416
"03796001013","14","119","03796","001","013",8,6,9000,5,5,2022,NA,1000,7000,416
"03796001014","14","119","03796","001","014",8,6,3500,4,5,2021,NA,1800,12600,416
"03796001015","14","119","03796","001","015",8,6,6500,5,5,2021,NA,800,5600,416
"03796001016","14","119","03796","001","016",8,1,11000,NA,NA,NA,NA,1200,9600,416
"03808011001","14","120","03808","011","001",3,1,960,NA,NA,NA,NA,360,2160,503
"03808011002","14","120","03808","011","002",3,2,800,20,2,2021,2,400,3600,503
"03808011002","14","120","03808","011","002",3,4,800,20,7,2021,2,400,3600,503
"03808011003","14","120","03808","011","003",3,2,1400,20,2,2021,NA,760,6840,503
"03808011003","14","120","03808","011","003",3,4,1400,20,7,2021,NA,760,6840,503
"03808011004","14","120","03808","011","004",3,6,320,20,2,2021,NA,160,1440,503
"03808011005","14","120","03808","011","005",3,2,400,19,2,2021,NA,200,1800,503
"03808011005","14","120","03808","011","005",3,4,400,20,7,2021,NA,200,1800,503
"03808011006","14","120","03808","011","006",3,6,1200,20,2,2021,NA,640,5760,503
"03808011008","14","120","03808","011","008",3,2,360,20,2,2021,2,180,1620,503
"03808011008","14","120","03808","011","008",3,4,360,20,7,2021,2,180,1620,503
"03808011009","14","120","03808","011","009",3,6,300,15,2,2021,NA,150,1350,503
"03808011010","14","120","03808","011","010",3,2,800,18,2,2021,2,400,3600,503
"03808011010","14","120","03808","011","010",3,4,800,20,7,2021,2,400,3600,503
"03808011011","14","120","03808","011","011",3,6,640,20,2,2021,NA,320,2880,503
"03808011013","14","120","03808","011","013",3,2,640,20,2,2021,NA,320,2880,503
"03808011013","14","120","03808","011","013",3,4,640,20,7,2021,NA,320,2880,503
"03808011014","14","120","03808","011","014",3,6,800,20,2,2021,NA,400,3600,503
"03835006001","14","120","03835","006","001",2,6,400,20,2,2021,NA,200,1800,471
"03835006002","14","120","03835","006","002",2,6,2200,24,2,2021,NA,900,8100,471
"03835006003","14","120","03835","006","003",2,6,1800,20,2,2021,NA,900,8100,471
"03835006005","14","120","03835","006","005",2,6,1600,20,2,2021,NA,800,7200,471
"03835006006","14","120","03835","006","006",2,6,3200,20,2,2021,NA,1600,14400,471
"03835006007","14","120","03835","006","007",2,4,400,15,6,2021,NA,140,840,471
"03835006008","14","120","03835","006","008",2,6,440,15,2,2022,NA,350,2100,471
"03835006009","14","120","03835","006","009",2,6,200,15,6,2021,NA,70,450,471
"03835006011","14","120","03835","006","011",2,6,1300,23,2,2021,NA,550,4950,471
"03835006012","14","120","03835","006","012",2,1,400,NA,NA,NA,NA,160,960,471
"03835006013","14","120","03835","006","013",2,6,2000,20,2,2021,NA,1120,10080,471
"03835006014","14","120","03835","006","014",2,6,880,25,2,2021,NA,250,2250,471
"03835006015","14","120","03835","006","015",2,6,1760,23,2,2021,NA,700,6300,471
"03850008003","14","120","03850","008","003",9,6,1000,22,7,2021,NA,350,3150,488
"03850008006","14","120","03850","008","006",9,6,1200,23,7,2021,NA,430,3870,488
"03850008009","14","120","03850","008","009",9,6,2000,13,7,2021,NA,1000,8000,488
"03850008010","14","120","03850","008","010",9,6,2500,20,7,2021,NA,1360,12240,488
"03850008011","14","120","03850","008","011",9,6,2000,15,7,2021,NA,1000,8000,488
"03850008012","14","120","03850","008","012",9,6,900,24,7,2021,NA,500,4500,488
"03850008020","14","120","03850","008","020",9,6,1600,20,7,2021,NA,800,7200,488
"03910016002","14","122","03910","016","002",1,1,2800,NA,NA,NA,NA,1400,11400,531
"03910016005","14","122","03910","016","005",1,1,3000,NA,NA,NA,NA,1500,12000,531
"03910016006","14","122","03910","016","006",1,1,2020,NA,NA,NA,NA,1150,9200,531
"03910016007","14","122","03910","016","007",1,1,4600,NA,NA,NA,NA,2400,19200,531
"03910016008","14","122","03910","016","008",1,1,2000,NA,NA,NA,NA,1400,11200,531
"03910016009","14","122","03910","016","009",1,1,2000,NA,NA,NA,NA,980,7840,531
"03910016010","14","122","03910","016","010",1,1,2500,NA,NA,NA,NA,1500,12000,531
"03910016011","14","122","03910","016","011",1,1,2400,NA,NA,NA,NA,1500,12000,531
"03910016012","14","122","03910","016","012",1,1,2000,NA,NA,NA,NA,1200,9600,531
"03910016013","14","122","03910","016","013",1,1,2594,NA,NA,NA,NA,1240,9920,531
"03910016015","14","122","03910","016","015",1,1,1000,NA,NA,NA,NA,600,4800,531
"03925006001","14","122","03925","006","001",10,1,2000,NA,NA,NA,NA,1200,9600,444
"03925006002","14","122","03925","006","002",10,2,1100,10,2,2022,1,525,4200,444
"03925006002","14","122","03925","006","002",10,4,580,30,6,2022,NA,330,2640,444
"03925006003","14","122","03925","006","003",10,1,1800,NA,NA,2022,2,800,6400,444
"03925006004","14","122","03925","006","004",10,1,2200,NA,NA,NA,NA,1060,8480,444
"03925006005","14","122","03925","006","005",10,1,2400,NA,NA,NA,NA,1200,9600,444
"03925006006","14","122","03925","006","006",10,1,2000,NA,NA,NA,NA,1160,9280,444
"03925006007","14","122","03925","006","007",10,1,1870,NA,NA,NA,NA,1120,8960,444
"03925006008","14","122","03925","006","008",10,1,1800,NA,NA,NA,NA,1120,8960,444
"03925006009","14","122","03925","006","009",10,1,2000,NA,NA,NA,NA,1550,12400,444
"03925006010","14","122","03925","006","010",10,1,2400,NA,NA,NA,NA,1400,11200,444
"03925006011","14","122","03925","006","011",10,1,2800,NA,NA,NA,NA,1520,12160,444
"03925006012","14","122","03925","006","012",10,1,900,NA,NA,NA,NA,570,4560,444
"03925006013","14","122","03925","006","013",10,1,2400,NA,NA,NA,NA,1300,10400,444
"03925006014","14","122","03925","006","014",10,1,2400,NA,NA,NA,NA,1280,10240,444
"03925006016","14","122","03925","006","016",10,1,2600,NA,NA,NA,NA,1200,9600,444
"03928006001","14","122","03928","006","001",3,2,500,20,2,2021,NA,280,2240,462
"03928006001","14","122","03928","006","001",3,4,500,25,7,2021,NA,280,2240,462
"03928006002","14","122","03928","006","002",3,2,1200,5,2,2021,NA,900,7200,462
"03928006002","14","122","03928","006","002",3,4,1200,25,7,2021,NA,950,7600,462
"03928006004","14","122","03928","006","004",3,2,1200,5,2,2021,NA,700,5600,462
"03928006004","14","122","03928","006","004",3,4,1200,25,7,2021,NA,750,6000,462
"03928006005","14","122","03928","006","005",3,2,1200,20,2,2021,NA,800,6400,462
"03928006005","14","122","03928","006","005",3,4,1200,15,7,2021,NA,700,5600,462
"03928006006","14","122","03928","006","006",3,2,600,10,2,2021,NA,360,3060,462
"03928006006","14","122","03928","006","006",3,4,600,25,7,2021,1,360,3060,462
"03928006007","14","122","03928","006","007",3,2,630,5,2,2021,NA,320,2560,462
"03928006007","14","122","03928","006","007",3,4,630,25,7,2021,NA,480,3840,462
"03928006008","14","122","03928","006","008",3,2,1700,20,2,2021,NA,750,6000,462
"03928006008","14","122","03928","006","008",3,4,1700,20,7,2021,NA,720,5760,462
"03928006009","14","122","03928","006","009",3,2,800,5,2,2021,NA,500,4000,462
"03928006009","14","122","03928","006","009",3,4,800,25,7,2021,NA,500,4000,462
"03928006010","14","122","03928","006","010",3,2,1600,5,2,2022,NA,920,7360,462
"03928006010","14","122","03928","006","010",3,4,1600,25,7,2021,NA,950,7600,462
"03928006011","14","122","03928","006","011",3,2,600,20,2,2021,NA,420,3360,462
"03928006011","14","122","03928","006","011",3,4,600,25,7,2021,NA,420,3360,462
"03928006012","14","122","03928","006","012",3,2,1400,20,2,2021,NA,700,5600,462
"03928006012","14","122","03928","006","012",3,4,1400,25,7,2021,NA,700,5600,462
"03928006013","14","122","03928","006","013",3,2,1800,9,3,2021,NA,1200,9600,462
"03928006013","14","122","03928","006","013",3,4,1800,28,7,2021,NA,1120,8960,462
"03928006014","14","122","03928","006","014",3,2,300,5,2,2021,NA,150,1200,462
"03928006014","14","122","03928","006","014",3,4,300,25,7,2021,NA,150,1200,462
"03928006015","14","122","03928","006","015",3,2,500,20,2,2021,NA,350,2800,462
"03928006015","14","122","03928","006","015",3,4,500,25,7,2021,NA,350,2800,462
"03946007001","14","122","03946","007","001",6,2,400,5,2,2022,NA,200,1600,431
"03946007001","14","122","03946","007","001",6,4,400,25,7,2021,NA,250,2000,431
"03946007007","14","122","03946","007","007",6,2,500,5,2,2022,NA,160,1280,431
"03946007007","14","122","03946","007","007",6,4,500,25,7,2021,2,200,1600,431
"03946007008","14","122","03946","007","008",6,1,500,NA,NA,NA,NA,300,2400,431
"03946007009","14","122","03946","007","009",6,1,1340,NA,NA,NA,NA,800,6400,431
"03946007011","14","122","03946","007","011",6,1,2100,NA,NA,NA,NA,1120,8960,431
"03946007012","14","122","03946","007","012",6,1,800,NA,NA,NA,NA,450,3600,431
"03946007013","14","122","03946","007","013",6,1,1600,NA,NA,NA,NA,960,7680,431
"03946007014","14","122","03946","007","014",6,1,2100,NA,NA,NA,NA,700,5600,431
"03982034009","14","123","03982","034","009",7,4,1000,10,6,2021,NA,500,5000,494
"03982034012","14","123","03982","034","012",7,1,4000,NA,NA,NA,NA,2000,20000,494
"03982034012","14","123","03982","034","012",7,6,3000,20,6,2022,NA,1500,18000,494
"04030011001","14","123","04030","011","001",7,4,3000,5,5,2021,NA,2500,25500,472
"04030011002","14","123","04030","011","002",7,4,750,2,6,2021,NA,390,3980,472
"04030011003","14","123","04030","011","003",7,4,680,3,5,2021,NA,360,3670,472
"04030011004","14","123","04030","011","004",7,1,2700,NA,NA,NA,NA,1400,14000,472
"04030011005","14","123","04030","011","005",7,1,3000,NA,NA,NA,NA,1600,16000,472
"04030011006","14","123","04030","011","006",7,1,2100,NA,NA,NA,NA,1200,12000,472
"04030011007","14","123","04030","011","007",7,1,5000,NA,NA,NA,NA,600,6000,472
"04030011008","14","123","04030","011","008",7,1,2000,NA,NA,NA,NA,400,4000,472
"04030011009","14","123","04030","011","009",7,4,1500,15,6,2021,NA,920,9200,472
"04030011010","14","123","04030","011","010",7,1,1200,NA,NA,NA,NA,600,6000,472
"04030011011","14","123","04030","011","011",7,1,3000,NA,NA,NA,NA,1500,15000,472
"04030011011","14","123","04030","011","011",7,6,2000,18,6,2022,NA,1000,12000,472
"04030011012","14","123","04030","011","012",7,1,850,NA,NA,NA,NA,400,4000,472
"04030011013","14","123","04030","011","013",7,4,1200,5,7,2021,NA,750,7500,472
"04030011013","14","123","04030","011","013",7,5,3000,20,7,2021,NA,450,4500,472
"04030011014","14","123","04030","011","014",7,4,1200,30,6,2021,NA,760,7600,472
"04030011015","14","123","04030","011","015",7,1,2000,NA,NA,NA,NA,900,9000,472
"04056007001","14","128","04056","007","001",12,4,1300,10,7,2022,NA,680,5440,511
"04056007003","14","128","04056","007","003",12,2,3000,10,2,2022,NA,1550,12400,511
"04056007003","14","128","04056","007","003",12,4,3000,20,5,2022,NA,1450,11600,511
"04056007004","14","128","04056","007","004",12,1,3500,NA,NA,NA,NA,1800,14400,511
"04056007005","14","128","04056","007","005",12,1,1500,NA,NA,NA,NA,750,6000,511
"04056007006","14","128","04056","007","006",12,1,3000,NA,NA,NA,NA,1500,12000,511
"04056007007","14","128","04056","007","007",12,4,1500,10,5,2022,NA,880,7100,511
"04056007007","14","128","04056","007","007",12,5,2000,8,6,2022,NA,320,3200,511
"04056007008","14","128","04056","007","008",12,1,4500,NA,NA,NA,NA,2300,18400,511
"04056007009","14","128","04056","007","009",12,4,6000,10,7,2022,NA,2700,21600,511
"04056007009","14","128","04056","007","009",12,5,15000,30,7,2022,NA,2200,22000,511
"04056007010","14","128","04056","007","010",12,1,3500,NA,NA,NA,NA,1600,12800,511
"04056007011","14","128","04056","007","011",12,1,3500,NA,NA,NA,NA,1440,11520,511
"04056007012","14","128","04056","007","012",12,1,5000,NA,NA,NA,NA,2000,16000,511
"04056007013","14","128","04056","007","013",12,4,3600,5,5,2022,NA,2000,16000,511
"04056007014","14","128","04056","007","014",12,1,5500,NA,NA,NA,NA,3010,24080,511
"04056007015","14","128","04056","007","015",12,4,3000,10,7,2022,NA,1500,12000,511
"04058001001","14","128","04058","001","001",2,6,3000,25,2,2021,NA,1560,15600,471
"04058001002","14","128","04058","001","002",2,1,4200,NA,NA,NA,NA,2200,19800,471
"04058001003","14","128","04058","001","003",2,1,3500,NA,NA,NA,NA,1800,16200,471
"04058001004","14","128","04058","001","004",2,1,4200,NA,NA,NA,NA,2100,17000,471
"04058001005","14","128","04058","001","005",2,1,10000,NA,NA,NA,NA,3200,25600,471
"04058001009","14","128","04058","001","009",2,5,3200,10,6,2021,NA,800,6400,471
"04058001010","14","128","04058","001","010",2,1,3500,NA,NA,NA,NA,1000,8000,471
"04058001011","14","128","04058","001","011",2,6,3000,20,3,2021,NA,1650,19800,471
"04058001012","14","128","04058","001","012",2,2,3000,20,2,2021,NA,1300,10400,471
"04058001012","14","128","04058","001","012",2,4,3000,22,8,2021,NA,1200,9600,471
"04058001013","14","128","04058","001","013",2,1,5000,NA,NA,NA,NA,2800,22400,471
"04072001001","14","124","04072","001","001",9,4,1500,9,7,2021,NA,900,7200,446
"04072001001","14","124","04072","001","001",9,6,2000,2,3,2022,NA,1100,9900,446
"04072001002","14","124","04072","001","002",9,6,2100,10,2,2022,NA,1000,9000,446
"04072001003","14","124","04072","001","003",9,6,3000,15,2,2022,NA,1680,15120,446
"04072001004","14","124","04072","001","004",9,4,1000,2,6,2021,NA,550,4200,446
"04072001004","14","124","04072","001","004",9,6,2000,3,2,2022,NA,1000,9000,446
"04072001005","14","124","04072","001","005",9,6,4000,8,2,2022,NA,1900,17100,446
"04072001006","14","124","04072","001","006",9,2,1500,6,2,2022,NA,840,6720,446
"04072001006","14","124","04072","001","006",9,4,1700,4,6,2021,NA,900,7200,446
"04072001006","14","124","04072","001","006",9,6,1000,3,3,2022,NA,560,5040,446
"04072001007","14","124","04072","001","007",9,6,1600,5,2,2022,NA,900,8100,446
"04072001008","14","124","04072","001","008",9,4,600,5,6,2021,NA,300,2400,446
"04072001008","14","124","04072","001","008",9,6,1000,8,2,2022,NA,650,5850,446
"04072001009","14","124","04072","001","009",9,6,800,8,2,2022,NA,350,3150,446
"04072001010","14","124","04072","001","010",9,4,800,5,6,2021,NA,370,2960,446
"04072001010","14","124","04072","001","010",9,6,1200,10,2,2022,NA,750,6750,446
"04072001011","14","124","04072","001","011",9,6,2400,4,3,2022,NA,1200,10800,446
"04072001012","14","124","04072","001","012",9,4,500,8,6,2021,NA,260,2080,446
"04072001012","14","124","04072","001","012",9,6,1000,8,2,2022,NA,580,5220,446
"04072001014","14","124","04072","001","014",9,4,700,9,7,2021,NA,400,3200,446
"04072001016","14","124","04072","001","016",9,4,1200,2,6,2021,NA,670,5360,446
"04072001016","14","124","04072","001","016",9,6,1200,6,2,2022,NA,650,5850,446
"04087007001","14","124","04087","007","001",1,6,1500,10,2,2021,1,800,10400,455
"04087007003","14","124","04087","007","003",1,6,1200,12,2,2021,1,700,9100,455
"04087007004","14","124","04087","007","004",1,6,8000,12,2,2021,1,2400,31200,455
"04087007005","14","124","04087","007","005",1,6,2800,12,2,2021,1,1500,19500,455
"04087007006","14","124","04087","007","006",1,1,1600,NA,NA,NA,NA,750,6750,455
"04087007007","14","124","04087","007","007",1,6,4000,10,2,2021,NA,2200,23400,455
"04087007008","14","124","04087","007","008",1,6,800,8,2,2021,1,420,5460,455
"04087007009","14","124","04087","007","009",1,6,1000,9,2,2021,NA,600,7800,455
"04087007011","14","124","04087","007","011",1,6,2000,9,2,2021,1,1200,15600,455
"04087007013","14","124","04087","007","013",1,6,2700,10,2,2021,1,1200,15600,455
"04087007014","14","124","04087","007","014",1,6,1200,9,2,2021,1,650,8450,455
"04090005001","14","124","04090","005","001",12,6,1400,2,2,2022,1,800,5200,469
"04090005003","14","124","04090","005","003",12,6,3200,4,2,2022,1,1700,11050,469
"04090005004","14","124","04090","005","004",12,6,2400,2,2,2022,1,1300,8550,469
"04090005005","14","124","04090","005","005",12,6,1200,2,2,2022,1,650,4225,469
"04090005006","14","124","04090","005","006",12,6,2400,4,2,2022,1,1300,8450,469
"04090005007","14","124","04090","005","007",12,6,1800,4,2,2022,1,950,6200,469
"04090005008","14","124","04090","005","008",12,6,2000,4,2,2022,1,1100,6900,469
