"IDHO","MATINH","MAHUYEN","MAXA","MADIABAN","HOSO","KYDIEUTRA","M4B11_MA","M4B11_C3","M4B11_C3AD","M4B11_C3AM","M4B11_C3AY","M4B11_C3B","M4B11_C4","M4B11_C5","wt45"
"00529008011","01","018","00529","008","011",6,2,720,15,2,2022,NA,420,3400,1046
"00529008011","01","018","00529","008","011",6,4,720,1,7,2021,NA,400,3200,1046
"00529008014","01","018","00529","008","014",6,1,36000,NA,NA,NA,NA,16000,128000,1046
"00529008015","01","018","00529","008","015",6,1,1440,NA,NA,NA,NA,800,6400,1046
"00553021006","01","018","00553","021","006",8,2,2880,15,1,2022,NA,880,7920,1050
"00553021006","01","018","00553","021","006",8,4,1440,15,6,2021,NA,800,7200,1050
"00568006009","01","018","00568","006","009",10,2,288,18,11,2021,NA,170,1700,1073
"00568006009","01","018","00568","006","009",10,4,288,8,6,2022,NA,170,1700,1073
"00568006010","01","018","00568","006","010",10,2,1680,30,11,2021,NA,1100,11000,1073
"00568006010","01","018","00568","006","010",10,4,1680,17,5,2022,NA,1050,10500,1073
"00568006013","01","018","00568","006","013",10,2,900,5,12,2021,NA,500,5000,1073
"00568006013","01","018","00568","006","013",10,4,900,5,6,2022,NA,520,5200,1073
"00706007001","02","030","00706","007","001",9,1,3200,NA,NA,NA,NA,1700,11900,378
"00706007002","02","030","00706","007","002",9,1,1500,NA,NA,NA,NA,800,5600,378
"00706007003","02","030","00706","007","003",9,1,700,NA,NA,NA,NA,400,2800,378
"00706007004","02","030","00706","007","004",9,1,5000,NA,NA,NA,NA,2700,18900,378
"00706007005","02","030","00706","007","005",9,1,2500,NA,NA,NA,NA,1400,9800,378
"00706007006","02","030","00706","007","006",9,1,2000,NA,NA,NA,NA,1150,8050,378
"00706007007","02","030","00706","007","007",9,1,2600,NA,NA,NA,NA,1400,9800,378
"00706007008","02","030","00706","007","008",9,1,4000,NA,NA,NA,NA,2250,15750,378
"00706007009","02","030","00706","007","009",9,1,3000,NA,NA,NA,NA,1650,11550,378
"00706007010","02","030","00706","007","010",9,1,2700,NA,NA,NA,NA,1550,10850,378
"00706007011","02","030","00706","007","011",9,1,2700,NA,NA,NA,NA,1550,10850,378
"00706007012","02","030","00706","007","012",9,1,2300,NA,NA,NA,NA,1300,9100,378
"00706007013","02","030","00706","007","013",9,1,2700,NA,NA,NA,NA,1500,10500,378
"00706007014","02","030","00706","007","014",9,1,2700,NA,NA,NA,NA,1500,10500,378
"00709001001","02","030","00709","001","001",12,1,1200,NA,NA,NA,NA,700,4900,378
"00709001002","02","030","00709","001","002",12,1,2200,NA,NA,NA,NA,1200,8400,378
"00709001003","02","030","00709","001","003",12,1,2000,NA,NA,NA,NA,1100,7700,378
"00709001004","02","030","00709","001","004",12,1,1500,NA,NA,NA,NA,800,5600,378
"00709001005","02","030","00709","001","005",12,1,2000,NA,NA,NA,NA,1100,7700,378
"00709001006","02","030","00709","001","006",12,1,1800,NA,NA,NA,NA,950,6650,378
"00709001007","02","030","00709","001","007",12,1,2000,NA,NA,NA,NA,1100,7700,378
"00709001008","02","030","00709","001","008",12,1,2000,NA,NA,NA,NA,1100,7700,378
"00709001009","02","030","00709","001","009",12,1,2000,NA,NA,NA,NA,1100,7700,378
"00709001010","02","030","00709","001","010",12,1,3300,NA,NA,NA,NA,1800,12600,378
"00709001011","02","030","00709","001","011",12,1,2000,NA,NA,NA,NA,1100,7700,378
"00709001012","02","030","00709","001","012",12,1,2000,NA,NA,NA,NA,1100,7700,378
"00709001013","02","030","00709","001","013",12,1,1800,NA,NA,NA,NA,1000,7000,378
"00709001014","02","030","00709","001","014",12,1,2100,NA,NA,NA,NA,1200,8400,378
"00709001015","02","030","00709","001","015",12,1,4000,NA,NA,NA,NA,2100,14700,378
"00712003002","02","026","00712","003","002",9,1,1330,NA,NA,NA,NA,735,7350,322
"00712003003","02","026","00712","003","003",9,1,1660,NA,NA,NA,NA,880,8800,322
"00712003004","02","026","00712","003","004",9,1,660,NA,NA,NA,NA,350,3500,322
"00712003005","02","026","00712","003","005",9,1,1340,NA,NA,NA,NA,735,7350,322
"00712003012","02","026","00712","003","012",9,1,1250,NA,NA,NA,NA,712,7120,322
"00712003013","02","026","00712","003","013",9,1,1670,NA,NA,NA,NA,880,8800,322
"00724002006","02","026","00724","002","006",2,1,1660,NA,NA,NA,NA,890,8010,408
"00724002012","02","026","00724","002","012",2,1,1700,NA,NA,NA,NA,920,8280,408
"00724002015","02","026","00724","002","015",2,1,1670,NA,NA,NA,NA,919,8271,408
"00820021005","02","028","00820","021","005",1,4,1670,8,7,2021,NA,984,5884,294
"00820021009","02","028","00820","021","009",1,4,2000,22,5,2021,1,1180,7064,294
"00844012003","02","028","00844","012","003",6,4,338,12,9,2021,1,196,1179,348
"00844012005","02","028","00844","012","005",6,4,668,19,10,2021,NA,393,2361,348
"00844012006","02","028","00844","012","006",6,4,335,17,9,2021,1,196,1177,348
"00844012007","02","028","00844","012","007",6,4,335,17,9,2021,1,197,1180,348
"00844012008","02","028","00844","012","008",6,4,666,22,9,2021,1,387,2324,348
"00844012009","02","028","00844","012","009",6,4,666,10,9,2021,1,392,2342,348
"00844012010","02","028","00844","012","010",6,4,1665,18,9,2021,1,981,5884,348
"00844012011","02","028","00844","012","011",6,4,336,19,9,2021,1,186,1114,348
"00844012012","02","028","00844","012","012",6,4,6680,19,9,2021,1,3935,23589,348
"00844012013","02","028","00844","012","013",6,4,1005,6,9,2021,1,587,3523,348
"00844012015","02","028","00844","012","015",6,4,1670,14,9,2021,1,981,5884,348
"00847007001","02","028","00847","007","001",10,1,1865,NA,NA,NA,NA,1026,6154,341
"00847007006","02","028","00847","007","006",10,4,3350,11,8,2022,NA,1843,11055,341
"00847007009","02","028","00847","007","009",10,4,666,6,8,2022,NA,386,2320,341
"00847007010","02","028","00847","007","010",10,4,833,2,8,2022,1,466,2780,341
"00859018001","02","028","00859","018","001",9,1,2338,NA,NA,NA,NA,1371,7625,357
"00859018002","02","028","00859","018","002",9,1,1675,NA,NA,NA,NA,980,5879,357
"00859018003","02","028","00859","018","003",9,1,2004,NA,NA,NA,NA,1162,6374,357
"00859018004","02","028","00859","018","004",9,1,2672,NA,NA,NA,NA,1603,9020,357
"00859018006","02","028","00859","018","006",9,1,1670,NA,NA,NA,NA,989,5932,357
"00859018007","02","028","00859","018","007",9,1,2335,NA,NA,NA,NA,1384,8306,357
"00859018008","02","028","00859","018","008",9,1,2672,NA,NA,NA,NA,1580,9000,357
"00859018009","02","028","00859","018","009",9,1,2004,NA,NA,NA,NA,1192,6882,357
"00859018011","02","028","00859","018","011",9,1,2338,NA,NA,NA,NA,1580,9000,357
"00859018012","02","028","00859","018","012",9,1,1665,NA,NA,NA,NA,988,5929,357
"00859018013","02","028","00859","018","013",9,1,2335,NA,NA,NA,NA,1377,8264,357
"00859018014","02","028","00859","018","014",9,1,1675,NA,NA,NA,NA,1009,6051,357
"00859018015","02","028","00859","018","015",9,1,3360,NA,NA,NA,NA,1982,11858,357
"00898003002","02","029","00898","003","002",10,4,4000,16,5,2022,NA,2480,24800,348
"00898003003","02","029","00898","003","003",10,4,3800,14,5,2022,NA,2150,21500,348
"00898003004","02","029","00898","003","004",10,4,1825,3,5,2022,NA,1360,13600,348
"00898003005","02","029","00898","003","005",10,4,3360,4,5,2022,NA,1250,12500,348
"00898003006","02","029","00898","003","006",10,4,2590,1,5,2022,NA,1550,15500,348
